config,target,split,bin,observations,mean_probability,event_rate
target_a_btc_eth_upside__random_forest,target_a_btc_eth_upside,development_cpcv,7,29,0.49152443910069954,0.27586206896551724
target_a_btc_eth_upside__random_forest,target_a_btc_eth_upside,development_cpcv,8,28,0.5169286141272755,0.39285714285714285
target_a_btc_eth_upside__random_forest,target_a_btc_eth_upside,development_cpcv,9,29,0.5493664813987721,0.5172413793103449
target_a_btc_eth_upside__random_forest,target_a_btc_eth_upside,development_cpcv,10,29,0.6034453523635503,0.20689655172413793
target_a_btc_eth_upside__random_forest,target_a_btc_eth_upside,holdout,1,8,0.35067910374644945,0.0
target_a_btc_eth_upside__random_forest,target_a_btc_eth_upside,holdout,2,7,0.3770059301314416,0.0
target_a_btc_eth_upside__random_forest,target_a_btc_eth_upside,holdout,3,7,0.400153156532031,0.2857142857142857
target_a_btc_eth_upside__random_forest,target_a_btc_eth_upside,holdout,4,7,0.4176774819232665,0.0
target_a_btc_eth_upside__random_forest,target_a_btc_eth_upside,holdout,5,8,0.4344941219200339,0.125
target_a_btc_eth_upside__random_forest,target_a_btc_eth_upside,holdout,6,7,0.4511030244244301,0.0
target_a_btc_eth_upside__random_forest,target_a_btc_eth_upside,holdout,7,7,0.4735633034319457,0.2857142857142857
target_a_btc_eth_upside__random_forest,target_a_btc_eth_upside,holdout,8,7,0.5182027932538712,0.14285714285714285
target_a_btc_eth_upside__random_forest,target_a_btc_eth_upside,holdout,9,7,0.5471665030884393,0.14285714285714285
target_a_btc_eth_upside__random_forest,target_a_btc_eth_upside,holdout,10,8,0.6044205357970732,0.375
target_a_btc_eth_upside__gradient_boosting,target_a_btc_eth_upside,development_cpcv,1,29,0.08554240894800574,0.3448275862068966
target_a_btc_eth_upside__gradient_boosting,target_a_btc_eth_upside,development_cpcv,2,29,0.1455794328261458,0.27586206896551724
target_a_btc_eth_upside__gradient_boosting,target_a_btc_eth_upside,development_cpcv,3,28,0.17958556678206347,0.21428571428571427
target_a_btc_eth_upside__gradient_boosting,target_a_btc_eth_upside,development_cpcv,4,29,0.20974982389058583,0.3448275862068966
target_a_btc_eth_upside__gradient_boosting,target_a_btc_eth_upside,development_cpcv,5,29,0.24313390398534812,0.2413793103448276
