name,family,benchmark_group,split,cost_bps,selected_development_candidate,CAGR,Sharpe,Sortino,Calmar,Annualized Volatility,Maximum Drawdown,Hit Rate,Turnover,Exposure,Transaction Costs,Cash Allocation,Annual Turnover,Worst Month,Best Month,Average Holdings,multiplier,expansion_model,leadership_model,top20_model
balanced_logistic_regression_m0_5,Balanced BTC/ETH expansion probability exposure multiplier.,balanced_btc_eth,development,10,False,0.1997566284269765,0.7597005352886032,0.7559326011341365,0.43787927125506687,0.29984702463789287,-0.45619110458100964,0.32676518883415434,0.0180623973727422,0.30842911877394635,0.033,0.6915708812260537,6.592775041050903,-0.22336765343852127,0.24611835548060168,1.2337164750957854,0.5,target_a_btc_eth_upside__logistic_regression,,
balanced_logistic_regression_m0_5,Balanced BTC/ETH expansion probability exposure multiplier.,balanced_btc_eth,holdout,10,False,0.10438409015201411,0.6380146363159706,0.7006478334961942,0.614867136436505,0.1810725853121909,-0.16976690404528305,0.21561338289962825,0.01858736059479554,0.20817843866171004,0.01,0.79182156133829,6.784386617100372,-0.057144844928577854,0.12567730320073967,0.8327137546468402,0.5,target_a_btc_eth_upside__logistic_regression,,
balanced_logistic_regression_m0_5,Balanced BTC/ETH expansion probability exposure multiplier.,balanced_btc_eth,development,25,False,0.18794205438591294,0.7266217547665006,0.7248627648374553,0.4085068397034425,0.2998875014835599,-0.4600707653324737,0.3262178434592228,0.0180623973727422,0.30842911877394635,0.08249999999999999,0.6915708812260537,6.592775041050903,-0.22336765343852127,0.2442636784558221,1.2337164750957854,0.5,target_a_btc_eth_upside__logistic_regression,,
balanced_logistic_regression_m0_5,Balanced BTC/ETH expansion probability exposure multiplier.,balanced_btc_eth,holdout,25,False,0.09321840991566321,0.5820518656971894,0.6427968811322332,0.543135423731075,0.18099826827787824,-0.17163014202848026,0.21561338289962825,0.01858736059479554,0.20817843866171004,0.025,0.79182156133829,6.784386617100372,-0.057847427918136574,0.12567730320073967,0.8327137546468402,0.5,target_a_btc_eth_upside__logistic_regression,,
balanced_logistic_regression_m0_5,Balanced BTC/ETH expansion probability exposure multiplier.,balanced_btc_eth,development,50,False,0.1684897632072826,0.6713917178630112,0.6725916051557388,0.3558755145998505,0.3000079381363418,-0.4734514072898045,0.3251231527093596,0.0180623973727422,0.30842911877394635,0.16499999999999998,0.6915708812260537,6.592775041050903,-0.22336765343852127,0.24117561932017106,1.2337164750957854,0.5,target_a_btc_eth_upside__logistic_regression,,
balanced_logistic_regression_m0_5,Balanced BTC/ETH expansion probability exposure multiplier.,balanced_btc_eth,holdout,50,False,0.07484104223776056,0.48843436772482934,0.5434386033636357,0.4283255585230809,0.18096477037042713,-0.174729340214536,0.2137546468401487,0.01858736059479554,0.20817843866171004,0.05,0.79182156133829,6.784386617100372,-0.05901839956740085,0.12567730320073967,0.8327137546468402,0.5,target_a_btc_eth_upside__logistic_regression,,
balanced_logistic_regression_m0_5,Balanced BTC/ETH expansion probability exposure multiplier.,balanced_btc_eth,development,100,False,0.13046527798228746,0.560694227870807,0.565648796754283,0.2613102342941491,0.300447126756332,-0.49927351041071966,0.32457580733442803,0.0180623973727422,0.30842911877394635,0.32999999999999996,0.6915708812260537,6.592775041050903,-0.22336765343852127,0.23874673363390309,1.2337164750957854,0.5,target_a_btc_eth_upside__logistic_regression,,
balanced_logistic_regression_m0_5,Balanced BTC/ETH expansion probability exposure multiplier.,balanced_btc_eth,holdout,100,False,0.0389417318789802,0.3005324566934988,0.3390055154450524,0.2152612346223247,0.1812365982366953,-0.18090452722387929,0.2137546468401487,0.01858736059479554,0.20817843866171004,0.1,0.79182156133829,6.784386617100372,-0.06136034286592962,0.12567730320073967,0.8327137546468402,0.5,target_a_btc_eth_upside__logistic_regression,,
dynamic_tilt_logistic_regression_m0_5,Expansion exposure multiplier with dynamic ETH/BTC leadership tilt.,dynamic_btc_eth_tilt,development,10,False,0.2121645403950334,0.7978625086977192,0.8021635168365501,0.47303000022299,0.29739271861022265,-0.44852237763993275,0.32676518883415434,0.025396825396825397,0.30842911877394635,0.0464,0.6915708812260537,9.269841269841269,-0.2187364256117985,0.24318760030343234,1.2337164750957854,0.5,target_a_btc_eth_upside__logistic_regression,target_b_eth_leadership__logistic_regression,
dynamic_tilt_logistic_regression_m0_5,Expansion exposure multiplier with dynamic ETH/BTC leadership tilt.,dynamic_btc_eth_tilt,holdout,10,False,0.08665778487294684,0.5617125162087632,0.6062749811928945,0.5236859653618725,0.1750088596173285,-0.16547662264171126,0.2211895910780669,0.022676579925650555,0.20817843866171004,0.012199999999999999,0.79182156133829,8.276951672862454,-0.057144844928577854,0.09169708444204416,0.8327137546468402,0.5,target_a_btc_eth_upside__logistic_regression,target_b_eth_leadership__logistic_regression,
