config,model,feature,importance,method,target
target_a_btc_eth_upside__random_forest,random_forest,volatility_of_volatility,0.12331050118647913,model_importance,target_a_btc_eth_upside
target_a_btc_eth_upside__random_forest,random_forest,eth_btc_relative_strength_30d,0.10679849044821753,model_importance,target_a_btc_eth_upside
target_a_btc_eth_upside__random_forest,random_forest,downside_to_upside_volatility_ratio,0.08154403879199026,model_importance,target_a_btc_eth_upside
target_a_btc_eth_upside__random_forest,random_forest,upside_semivariance,0.07697187644922025,model_importance,target_a_btc_eth_upside
target_a_btc_eth_upside__random_forest,random_forest,risk_appetite_recovery_score,0.06966182804856767,model_importance,target_a_btc_eth_upside
target_a_btc_eth_upside__random_forest,random_forest,recovery_from_drawdown,0.06362449249151392,model_importance,target_a_btc_eth_upside
target_a_btc_eth_upside__random_forest,random_forest,tvl_acceleration,0.061098728890233135,model_importance,target_a_btc_eth_upside
target_a_btc_eth_upside__random_forest,random_forest,tvl_percentile,0.05760768633824736,model_importance,target_a_btc_eth_upside
target_a_btc_eth_upside__random_forest,random_forest,dispersion_acceleration,0.046932714903806974,model_importance,target_a_btc_eth_upside
target_a_btc_eth_upside__random_forest,random_forest,distance_from_90d_lows,0.04406161608364104,model_importance,target_a_btc_eth_upside
target_a_btc_eth_upside__random_forest,random_forest,volume_confirmation_of_price_trend,0.043077118617498716,model_importance,target_a_btc_eth_upside
target_a_btc_eth_upside__random_forest,random_forest,combined_crypto_liquidity_impulse,0.0412408860363585,model_importance,target_a_btc_eth_upside
target_a_btc_eth_upside__random_forest,random_forest,eth_btc_relative_strength_14d,0.03544617648044718,model_importance,target_a_btc_eth_upside
target_a_btc_eth_upside__random_forest,random_forest,top20_above_30dma_pct,0.03427857523491095,model_importance,target_a_btc_eth_upside
target_a_btc_eth_upside__random_forest,random_forest,stablecoin_supply_percentile,0.03338009004777613,model_importance,target_a_btc_eth_upside
target_a_btc_eth_upside__random_forest,random_forest,stablecoin_supply_acceleration,0.02797705141883863,model_importance,target_a_btc_eth_upside
target_a_btc_eth_upside__random_forest,random_forest,market_dollar_volume_growth_30d,0.025607809138113658,model_importance,target_a_btc_eth_upside
target_a_btc_eth_upside__random_forest,random_forest,jump_intensity,0.01939522918511699,model_importance,target_a_btc_eth_upside
target_a_btc_eth_upside__random_forest,random_forest,top20_30d_high_pct,0.006156237405942333,model_importance,target_a_btc_eth_upside
target_a_btc_eth_upside__random_forest,random_forest,falling_vix_after_high_vix,0.0018288528030798062,model_importance,target_a_btc_eth_upside
target_a_btc_eth_upside__gradient_boosting,gradient_boosting,volatility_of_volatility,0.1740761116555837,model_importance,target_a_btc_eth_upside
