feature,horizon,method,full_sample_ic,mean_ic,n_ic_observations,newey_west_t,p_value,ci_low,ci_high,ic_information_ratio,rolling_ic_stability
equity_momentum_21d,1w,market_time_series,0.09535755618413605,0.06667399452041525,312,8.557825820125716,0.0,0.05140364057693032,0.08194434846390018,7.2903510972181635,0.9163763066202091
equity_momentum_21d,2w,market_time_series,0.07656376937079847,0.016240424324266384,311,1.5274035329771118,0.1266606984764711,-0.004599668675596479,0.037080517324129245,1.3288810421099542,0.4090909090909091
equity_momentum_21d,4w,market_time_series,-0.0004043246274082457,-0.08001787900725935,309,-4.3468919058025905,1.3808022442329815e-05,-0.11609769103223101,-0.04393806698228768,-3.8982980799748015,0.6443661971830986
equity_momentum_63d,1w,market_time_series,0.03316861648952615,-0.04628702765493348,312,-4.970207674335731,6.688122686782094e-07,-0.06454030400636776,-0.028033751303499187,-4.279524435661692,0.27526132404181186
equity_momentum_63d,2w,market_time_series,0.03781547307886749,-0.08975852216193757,311,-11.034328951606415,0.0,-0.10570210189469383,-0.07381494242918131,-9.042971865764079,0.0
equity_momentum_63d,4w,market_time_series,0.04470507745687338,-0.13370617666514423,309,-9.010572061052656,0.0,-0.16279024640988662,-0.10462210692040183,-7.830624702567217,0.035211267605633804
equity_drawdown_252d,1w,market_time_series,0.017670127155844012,-0.03896478989488834,312,-2.8628187913686087,0.0041989062665472865,-0.0656416401461999,-0.01228793964357677,-2.499533706681596,0.3797909407665505
equity_drawdown_252d,2w,market_time_series,-0.01715394277249717,-0.10918433823277901,311,-7.882063569121793,3.1086244689504383e-15,-0.13633475399123635,-0.08203392247432167,-6.815904747944183,0.9020979020979021
equity_drawdown_252d,4w,market_time_series,-0.03822904885535208,-0.16612121160647408,309,-8.973580896306723,0.0,-0.20240523005029243,-0.12983719316265574,-7.915715689857695,0.9471830985915493
equity_realized_vol_21d,1w,market_time_series,0.08905819700818113,0.11668773125533069,312,10.086147098398293,0.0,0.09401227837632523,0.13936318413433615,8.680761826560978,0.9303135888501742
equity_realized_vol_21d,2w,market_time_series,0.09861194326108137,0.14931332856159996,311,9.59076034339859,0.0,0.11879915517990636,0.17982750194329356,8.369386076090208,0.8881118881118881
equity_realized_vol_21d,4w,market_time_series,0.11638247772301814,0.1696341065301706,309,8.684662577159134,0.0,0.13135019557275793,0.2079180174875833,7.702025898710925,0.8661971830985915
vix_level,1w,market_time_series,0.05823357832171433,0.042405711626024946,312,3.9092014934844497,9.260170319747019e-05,0.021144286517716056,0.06366713673433383,3.3646444180596515,0.8048780487804879
vix_level,2w,market_time_series,0.10383640425005675,0.11470363640165464,311,6.816360628327761,9.337419726307417e-12,0.08172135456449231,0.14768591823881697,6.010484334395042,0.7937062937062938
vix_level,4w,market_time_series,0.17016358249961935,0.2005376916652728,309,11.152474306845855,0.0,0.16529404394642877,0.23578133938411683,9.84177839707789,1.0
vix_change_5d,1w,market_time_series,-0.07291836598958003,-0.08571272550919316,312,-4.847444631166803,1.250619210857451e-06,-0.12036953023428001,-0.051055920784106305,-4.340486944642128,0.6550522648083623
vix_change_5d,2w,market_time_series,-0.11836629816705989,-0.1352603098256529,311,-12.410224432461014,0.0,-0.15662255099228642,-0.11389806865901939,-10.935056861463142,0.8916083916083916
vix_change_5d,4w,market_time_series,-0.0886631861317027,-0.07072510451641065,309,-4.644460466563362,3.4096632872682164e-06,-0.10057167245473927,-0.04087853657808202,-4.1764470835967575,0.7147887323943662
vix_change_21d,1w,market_time_series,-0.08672805228989354,-0.06600385507357817,312,-8.726749445766202,0.0,-0.08082810971136614,-0.0511796004357902,-7.30370015976754,0.9163763066202091
vix_change_21d,2w,market_time_series,-0.08953207338935494,-0.04725275773339816,311,-3.9030187943665466,9.500032262521607e-05,-0.07098192995545806,-0.02352358551133826,-3.393770884152064,0.6818181818181818
vix_change_21d,4w,market_time_series,-0.007710975260263697,0.03895199913976755,309,2.0700063470302035,0.03845175008957824,0.002070026085203555,0.07583397219433155,1.849590622051712,0.44366197183098594
vix_percentile_252d,1w,market_time_series,-0.03529359007325454,-0.004117461959796684,312,-0.33016893565421424,0.7412723176684388,-0.028560177702302042,0.020325253782708677,-0.2890761096110176,0.5435540069686411
vix_percentile_252d,2w,market_time_series,-0.01530309708769932,0.028870770927016988,311,1.966590791596614,0.04923040592846539,9.675690297475045e-05,0.05764478495105922,1.7164348202290454,0.4755244755244755
vix_percentile_252d,4w,market_time_series,0.027997332193687757,0.10773772816269844,309,5.495635879287182,3.8930504597800564e-08,0.06931343080435917,0.14616202552103771,4.880643934006343,0.778169014084507
nasdaq_vol_level,1w,market_time_series,0.03703059779122926,0.012715118232392587,312,1.0974111632869117,0.2724616956515238,-0.009994357093924879,0.035424593558710055,0.9475065023775245,0.5470383275261324
nasdaq_vol_level,2w,market_time_series,0.06520818696974184,0.0625461622565538,311,3.2999036186468658,0.0009671803846282856,0.025396447540608852,0.09969587697249874,2.9221159577246474,0.6398601398601399
nasdaq_vol_level,4w,market_time_series,0.13099263033131373,0.14391996680063537,309,6.875466487727535,6.178613176643921e-12,0.10289247645757955,0.1849474571436912,6.095212931334885,0.8485915492957746
dow_vol_level,1w,market_time_series,0.0794344964613681,0.07143880121019387,312,6.388667330808294,1.6733769925281194e-10,0.049521859362751545,0.09335574305763619,5.524396941433826,0.8885017421602788
dow_vol_level,2w,market_time_series,0.11186826299339053,0.11601108259571509,311,7.433822038586923,1.0547118733938987e-13,0.085423624259031,0.14659854093239919,6.535985965119095,0.8811188811188811
dow_vol_level,4w,market_time_series,0.1491832957338933,0.15199420438752287,309,7.050958791718944,1.7768009286101005e-12,0.10974340568062557,0.19424500309442017,6.285957574080507,0.8028169014084507
rates_10y_level,1w,market_time_series,-0.11160635256800631,-0.015814520210891435,304,-0.8853548734523984,0.3759652629638792,-0.05082472972436937,0.0191956893025865,,0.5223880597014925
rates_10y_level,2w,market_time_series,-0.11881546799036188,-0.021376850671258794,300,-0.8608258641947983,0.38933395770141876,-0.0700494441171568,0.02729574277463922,,0.5335820895522388
rates_10y_level,4w,market_time_series,-0.15971247856690726,-0.04554469949478781,300,-1.258156025769426,0.20833533478248611,-0.11649584480698583,0.025406445817410216,,0.5447761194029851
rates_10y_change_21d,1w,market_time_series,-0.02958317062512401,-0.01603297597175437,296,-1.2026298514115032,0.22911959059887788,-0.04216290519956797,0.010096953256059228,-1.0898757774044217,0.6420664206642066
rates_10y_change_21d,2w,market_time_series,-0.03352985318047776,-0.012385030104359018,296,-0.6226461427488817,0.5335170817668329,-0.05137131354518303,0.026601253336464993,-0.5701038275782309,0.6273062730627307
rates_10y_change_21d,4w,market_time_series,0.02584549888281869,0.05718888203720915,296,2.4218499300655436,0.01544172596235538,0.010905994149974792,0.10347176992444351,2.224952134129418,0.6014760147601476
rates_10y_change_63d,1w,market_time_series,0.009347972201945871,0.0037960373813867706,302,0.2110582322105806,0.8328418319059625,-0.03145600272901591,0.03904807749178945,0.19070833988071423,0.6209386281588448
rates_10y_change_63d,2w,market_time_series,0.012282755643548773,0.0033180219945694927,302,0.1364891274628143,0.8914346191439888,-0.04432916595545971,0.050965209944598695,0.1235390462080593,0.6101083032490975
rates_10y_change_63d,4w,market_time_series,0.007371963956621095,-0.019616083616482198,302,-0.724990020124145,0.46845815292481463,-0.07264788104966821,0.033415713816703815,-0.6579739050175603,0.4657039711191336
fed_funds_level,1w,market_time_series,-0.0683280910592446,0.014807180971300916,296,1.0068240945836762,0.31401931371165714,-0.014018186697070669,0.0436325486396725,,0.4026548672566372
fed_funds_level,2w,market_time_series,-0.0522235015466223,0.03256172909444799,291,1.4181397032175762,0.15614998166710548,-0.01244158678502176,0.07756504497391774,,0.27876106194690264
fed_funds_level,4w,market_time_series,-0.07163924408892217,0.07344982537767793,293,2.319581114585246,0.020363548459845227,0.01138618085365796,0.13551346990169788,,0.20353982300884957
sofr_level,1w,market_time_series,-0.08121920325538314,-0.006438740514754563,301,-0.44858778400990407,0.6537290477465341,-0.03457131981976817,0.021693838790259046,,0.4925373134328358
sofr_level,2w,market_time_series,-0.07126538420726339,-0.006186170500051277,303,-0.28743530464767025,0.7737790319691429,-0.04836920780983074,0.03599686680972819,,0.39552238805970147
sofr_level,4w,market_time_series,-0.08448530933462897,0.03536278973488416,296,1.1840507192103866,0.2363929862100982,-0.023174455972457444,0.09390003544222576,,0.30223880597014924
real_yield_10y_level,1w,market_time_series,-0.08661926739578937,0.0015316508449999412,303,0.0903572344389579,0.9280033396002381,-0.03169242550970469,0.03475572719970457,,0.5895522388059702
real_yield_10y_level,2w,market_time_series,-0.07601947399899943,0.04154105555861258,298,1.7721971723753085,0.0763618328457425,-0.004402178165065752,0.0874842892822909,,0.3656716417910448
real_yield_10y_level,4w,market_time_series,-0.10872337347191167,0.027099067666011813,301,0.7914150100873557,0.42870185372942027,-0.04001385279719807,0.09421198812922169,,0.48880597014925375
real_yield_10y_change_21d,1w,market_time_series,-0.08041048133396995,-0.05124037965913998,296,-3.002386065932857,0.0026787222335675764,-0.0846908227155728,-0.017789936602707168,-2.7603441340611727,0.7675276752767528
real_yield_10y_change_21d,2w,market_time_series,-0.0430160620275777,-0.016939802690081985,296,-0.6773396702731507,0.4981904665193748,-0.06595806447175398,0.03207845909159,-0.6268390339109894,0.6900369003690037
real_yield_10y_change_21d,4w,market_time_series,0.021975944676616406,0.07615415961875997,296,3.361646702718005,0.000774791870548075,0.0317526605760182,0.12055565866150175,3.0943447016887693,0.7011070110701108
yield_curve_slope_10y2y,1w,market_time_series,0.07793390424305378,0.028426850073789575,301,1.8259166955598147,0.06786281093719504,-0.0020874807717067463,0.05894118091928589,,0.6529850746268657
yield_curve_slope_10y2y,2w,market_time_series,0.07649982631349948,0.04848427984333353,300,2.18033315027464,0.029232775480411366,0.004899569643902028,0.09206899004276503,,0.6156716417910447
yield_curve_slope_10y2y,4w,market_time_series,0.11668542724940771,0.06978982821221529,300,2.0719506662586067,0.03827004220613417,0.0037708512532006605,0.1358088051712299,,0.5597014925373134
yield_curve_slope_change_21d,1w,market_time_series,0.027341481435328795,-0.03522742097625945,296,-2.626279959577951,0.008632378518153905,-0.06151774271506003,-0.008937099237458869,-2.372173045558259,0.4022140221402214
yield_curve_slope_change_21d,2w,market_time_series,0.04442087332074105,-0.0037216213491581686,296,-0.2068597892659687,0.8361193607589346,-0.03898404654176681,0.031540803843450475,-0.1884224094016807,0.5387453874538746
yield_curve_slope_change_21d,4w,market_time_series,0.1360474025386347,0.05601123963401211,296,2.84492464717774,0.004442193035763431,0.017422509422274808,0.09459996984574942,2.5814479598949975,0.6309963099630996
yield_curve_slope_10y3m,1w,market_time_series,0.03491647025562649,-0.009267241165247011,299,-0.4186638827399821,0.6754617948493997,-0.05265238479170369,0.034117902461209666,,0.47761194029850745
yield_curve_slope_10y3m,2w,market_time_series,0.01836896441894723,0.008321846295864969,303,0.2636214085035205,0.7920716603211462,-0.05355028629187028,0.07019397888360022,,0.458955223880597
yield_curve_slope_10y3m,4w,market_time_series,0.054402854459243186,0.027328528918103927,298,0.6159882707052138,0.5379022611267992,-0.05962753701178963,0.1142845948479975,,0.4216417910447761
credit_spread_level,1w,market_time_series,0.08611063044754075,0.07150863279694931,302,4.852257624706271,1.220639159305037e-06,0.042623744334229864,0.10039352125966877,,0.7686567164179104
credit_spread_level,2w,market_time_series,0.115484952595613,0.13120223763371489,303,6.6902835740607625,2.227373840923974e-11,0.09276494526555351,0.16963953000187626,,0.8432835820895522
credit_spread_level,4w,market_time_series,0.165070513076698,0.1827214434254035,301,7.005724844710273,2.4571455981003965e-12,0.13160124714989566,0.23384163970091135,,0.8731343283582089
credit_spread_change_21d,1w,market_time_series,-0.06003155731268123,-0.03633513142598601,296,-3.572177151010227,0.000354025790627599,-0.056271672807981066,-0.016398590043990958,-3.089411534512491,0.6642066420664207
credit_spread_change_21d,2w,market_time_series,-0.03906272919647193,0.025402280780850914,296,2.0009463142128405,0.04539817571162352,0.0005198189292673246,0.0502847426324345,1.7637879092525788,0.3948339483394834
credit_spread_change_21d,4w,market_time_series,-0.01160352040369945,0.09341239805626,296,3.761356497090475,0.00016899436677930701,0.04473626211118433,0.14208853400133567,3.466599409065639,0.3726937269372694
usd_trend_21d,1w,market_time_series,-0.02940882424334571,-0.01483959248951147,296,-0.9096861026892509,0.36298807536096067,-0.046812820610132914,0.01713363563110997,-0.8299213627166343,0.43911439114391143
usd_trend_21d,2w,market_time_series,-0.007948469572029325,0.02253540198299802,296,1.1924908657849362,0.23306883021058833,-0.014504200712492976,0.059575004678489016,1.0879477762852146,0.34317343173431736
usd_trend_21d,4w,market_time_series,0.05246342110886885,0.14364143213094133,296,8.820956255448959,0.0,0.11172457427295893,0.17555828998892373,7.897237642259472,0.9114391143911439
usd_trend_63d,1w,market_time_series,-0.0004048770575589525,0.061011449009826385,302,5.133132736546059,2.849587872333359e-07,0.03771525812664977,0.084307639893003,4.504499168510918,0.18772563176895307
usd_trend_63d,2w,market_time_series,-0.018026822372454572,0.052854867999190265,302,3.3095829222943163,0.0009343508493708796,0.02155317720892086,0.08415655878945967,2.9387682592359425,0.259927797833935
usd_trend_63d,4w,market_time_series,-0.037133287447606474,0.02588507410029119,302,0.9840823937308131,0.32507500287721225,-0.025670309432410002,0.07744045763299238,0.8929035865861781,0.4584837545126354
usd_change_5d,1w,market_time_series,-0.05174388278202316,-0.05831795438586162,293,-3.817676296521975,0.00013471451869140338,-0.08825846838397682,-0.028377440387746422,-3.5050438113056517,0.5932835820895522
usd_change_5d,2w,market_time_series,-0.07638265730588634,-0.038594161804998126,293,-2.518593020414463,0.011782475656628932,-0.06862861220038124,-0.008559711409615013,-2.3141302084476387,0.6529850746268657
usd_change_5d,4w,market_time_series,0.021692870395677164,0.08853270792408505,293,5.741831487271261,9.365800135441305e-09,0.05831166993021804,0.11875374591795206,5.253954980964913,0.7238805970149254
macro_risk_on_composite,1w,market_time_series,0.05580130567574063,0.01443665939042655,312,1.344047033151814,0.17893317829232602,-0.006616065482513173,0.03548938426336627,1.1653354678555434,0.5749128919860628
macro_risk_on_composite,2w,market_time_series,0.07125125264647852,-0.011096622457361269,311,-0.7553576261890328,0.4500344308059816,-0.03989010949231599,0.017696864577593445,-0.6602338688518199,0.479020979020979
macro_risk_on_composite,4w,market_time_series,0.08418995002533455,-0.05752208655084951,309,-3.3932974345282814,0.0006905661154761322,-0.09074737605611152,-0.024296797045587494,-2.9838494209605564,0.2992957746478873
