feature,target,target_description,development_observations,development_auc,development_directed_auc,auc_direction,development_ic,newey_west_t_stat,p_value,median_cpcv_directed_auc,positive_cpcv_fold_fraction,cpcv_fold_count,holdout_auc_diagnostic,holdout_directed_auc_diagnostic,holdout_ic_diagnostic,holdout_sign_consistent_diagnostic
btc_active_address_growth_30d,target_a_btc_30d_upside,BTC 30-day forward return > +15%,287,0.4936920222634508,0.5063079777365491,-1,-0.009681809304038636,0.0733934980053201,0.9414929914833005,0.5159112825458052,0.6,15,0.5205882352941177,0.5205882352941177,0.018016361874072424,False
btc_active_address_growth_30d,target_b_eth_30d_upside,ETH 30-day forward return > +20%,287,0.5220125786163521,0.5220125786163521,1,0.03350277994354644,0.20757379888660876,0.8355617642136796,0.4921875,0.4,15,0.6642228739002932,0.6642228739002932,0.20353277331350492,True
btc_active_address_growth_30d,target_c_btc_eth_50_50_30d_upside,BTC/ETH 50-50 30-day forward return > +15%,287,0.49038235984048795,0.509617640159512,-1,-0.015158895134978801,-0.35337603315324756,0.7238065510585068,0.53,0.7333333333333333,15,0.5238095238095237,0.5238095238095237,0.028361519782546994,False
btc_active_address_growth_30d,target_d_eth_beats_btc_30d,ETH beats BTC over next 30 days by > +5%,287,0.5560663825969949,0.5560663825969949,1,0.09037798007689135,0.8381259142967153,0.40195999007817274,0.5439453125,0.8,15,0.5285087719298245,0.5285087719298245,0.04085869051358869,True
btc_active_address_growth_30d,target_e_top20_leadership,Top-20 equal-weight basket beats BTC/ETH 50-50 by > +5%,287,0.47593896713615025,0.5240610328638498,-1,-0.03596513367340332,-1.0617847233501705,0.28833342656263417,0.5297435897435898,0.7333333333333333,15,0.3920634920634921,0.6079365079365079,-0.12857222301421306,True
btc_active_address_growth_7d,target_a_btc_30d_upside,BTC 30-day forward return > +15%,287,0.4755720470006184,0.5244279529993816,-1,-0.0374932811283849,-0.05528112085059978,0.9559145025426198,0.5270994639666466,0.6666666666666666,15,0.5058823529411764,0.5058823529411764,0.005147531964020693,False
btc_active_address_growth_7d,target_b_eth_30d_upside,ETH 30-day forward return > +20%,287,0.5158490566037736,0.5158490566037736,1,0.02412200155935344,0.9827154198840414,0.3257475193758969,0.5159279778393352,0.6666666666666666,15,0.56158357771261,0.56158357771261,0.07632478999256435,True
btc_active_address_growth_7d,target_c_btc_eth_50_50_30d_upside,BTC/ETH 50-50 30-day forward return > +15%,287,0.48334506216279616,0.5166549378372038,-1,-0.02625076962398768,0.04364877774798647,0.9651843697026488,0.5086805555555556,0.8666666666666667,15,0.4984126984126984,0.5015873015873016,-0.0018907679855031329,True
btc_active_address_growth_7d,target_d_eth_beats_btc_30d,ETH beats BTC over next 30 days by > +5%,287,0.5463108320251177,0.5463108320251177,1,0.07465221154351226,1.6254550062943918,0.10406564350189415,0.5493827160493827,0.9333333333333333,15,0.49122807017543857,0.5087719298245614,-0.012571904773411904,False
btc_active_address_growth_7d,target_e_top20_leadership,Top-20 equal-weight basket beats BTC/ETH 50-50 by > +5%,287,0.511867501304121,0.511867501304121,1,0.01773890061940218,1.6512704147762827,0.09868337053827879,0.5108571428571429,0.6,15,0.5507936507936508,0.5507936507936508,0.06050457553610025,True
