config,model,feature,importance,method
eth_30d_gt_20__logistic_regression,logistic_regression,vix_change_5d,-0.263341446054574,coefficient
eth_30d_gt_20__logistic_regression,logistic_regression,cross_sectional_dispersion,-0.25518293538274806,coefficient
eth_30d_gt_20__logistic_regression,logistic_regression,volatility_4h_7d,0.24883447242138562,coefficient
eth_30d_gt_20__logistic_regression,logistic_regression,equity_momentum_21d,-0.24768058461627018,coefficient
eth_30d_gt_20__logistic_regression,logistic_regression,stablecoin_supply_change_7d,0.16255508538515176,coefficient
eth_30d_gt_20__logistic_regression,logistic_regression,vix_change_21d,-0.09427819715307419,coefficient
eth_30d_gt_20__logistic_regression,logistic_regression,vix_level,0.019624754219186438,coefficient
eth_30d_gt_20__logistic_regression,logistic_regression,volatility_expansion_probability,0.018049049452470153,coefficient
eth_30d_gt_20__logistic_regression,logistic_regression,tvl_growth_30d,0.013483435650440401,coefficient
eth_30d_gt_20__elastic_net_logistic,elastic_net_logistic,dow_vol_level,0.5470704859698993,coefficient
eth_30d_gt_20__elastic_net_logistic,elastic_net_logistic,equity_realized_vol_21d,-0.3330507259632668,coefficient
eth_30d_gt_20__elastic_net_logistic,elastic_net_logistic,vix_change_5d,-0.23104728245666278,coefficient
eth_30d_gt_20__elastic_net_logistic,elastic_net_logistic,cross_sectional_dispersion,-0.20431646310107004,coefficient
eth_30d_gt_20__elastic_net_logistic,elastic_net_logistic,volatility_4h_7d,0.19332872011423666,coefficient
eth_30d_gt_20__elastic_net_logistic,elastic_net_logistic,stablecoin_supply_change_7d,0.15391431088854726,coefficient
eth_30d_gt_20__elastic_net_logistic,elastic_net_logistic,equity_momentum_21d,-0.14312377804228268,coefficient
eth_30d_gt_20__elastic_net_logistic,elastic_net_logistic,tvl_growth_30d,0.008056339616866028,coefficient
eth_30d_gt_20__elastic_net_logistic,elastic_net_logistic,vix_level,0.0,coefficient
eth_30d_gt_20__elastic_net_logistic,elastic_net_logistic,vix_change_21d,0.0,coefficient
eth_30d_gt_20__elastic_net_logistic,elastic_net_logistic,volatility_expansion_probability,0.0,coefficient
eth_30d_gt_20__random_forest,random_forest,volatility_expansion_probability,0.1450422053611601,model_importance
eth_30d_gt_20__random_forest,random_forest,dow_vol_level,0.1236919253277027,model_importance
eth_30d_gt_20__random_forest,random_forest,vix_level,0.103100699479027,model_importance
eth_30d_gt_20__random_forest,random_forest,volatility_4h_7d,0.09791609698653132,model_importance
eth_30d_gt_20__random_forest,random_forest,vix_change_5d,0.09729435965625075,model_importance
eth_30d_gt_20__random_forest,random_forest,stablecoin_supply_change_7d,0.09449304190663853,model_importance
eth_30d_gt_20__random_forest,random_forest,vix_change_21d,0.07430141746556342,model_importance
eth_30d_gt_20__random_forest,random_forest,cross_sectional_dispersion,0.07428225616869304,model_importance
eth_30d_gt_20__random_forest,random_forest,equity_realized_vol_21d,0.06779995996901789,model_importance
eth_30d_gt_20__random_forest,random_forest,tvl_growth_30d,0.06422603678138619,model_importance
eth_30d_gt_20__random_forest,random_forest,equity_momentum_21d,0.057852000898029034,model_importance
eth_30d_gt_20__gradient_boosting,gradient_boosting,volatility_expansion_probability,0.24061566762497102,model_importance
eth_30d_gt_20__gradient_boosting,gradient_boosting,tvl_growth_30d,0.14022813483811464,model_importance
eth_30d_gt_20__gradient_boosting,gradient_boosting,dow_vol_level,0.1310918754569991,model_importance
eth_30d_gt_20__gradient_boosting,gradient_boosting,vix_change_5d,0.11776468542669138,model_importance
eth_30d_gt_20__gradient_boosting,gradient_boosting,equity_momentum_21d,0.09674071999372189,model_importance
eth_30d_gt_20__gradient_boosting,gradient_boosting,vix_change_21d,0.07115810197396101,model_importance
eth_30d_gt_20__gradient_boosting,gradient_boosting,equity_realized_vol_21d,0.058298509806459155,model_importance
eth_30d_gt_20__gradient_boosting,gradient_boosting,stablecoin_supply_change_7d,0.055648364134021466,model_importance
eth_30d_gt_20__gradient_boosting,gradient_boosting,volatility_4h_7d,0.051045099840384536,model_importance
eth_30d_gt_20__gradient_boosting,gradient_boosting,cross_sectional_dispersion,0.034706844865875185,model_importance
eth_30d_gt_20__gradient_boosting,gradient_boosting,vix_level,0.002701996038800786,model_importance
eth_30d_gt_20__xgboost,xgboost,volatility_expansion_probability,0.14456409215927124,model_importance
eth_30d_gt_20__xgboost,xgboost,dow_vol_level,0.10737750679254532,model_importance
eth_30d_gt_20__xgboost,xgboost,vix_change_5d,0.0923086553812027,model_importance
eth_30d_gt_20__xgboost,xgboost,cross_sectional_dispersion,0.09148739278316498,model_importance
eth_30d_gt_20__xgboost,xgboost,equity_realized_vol_21d,0.08893091976642609,model_importance
eth_30d_gt_20__xgboost,xgboost,stablecoin_supply_change_7d,0.08876420557498932,model_importance
eth_30d_gt_20__xgboost,xgboost,tvl_growth_30d,0.08237893879413605,model_importance
eth_30d_gt_20__xgboost,xgboost,vix_change_21d,0.07724685966968536,model_importance
eth_30d_gt_20__xgboost,xgboost,vix_level,0.07703673094511032,model_importance
eth_30d_gt_20__xgboost,xgboost,equity_momentum_21d,0.07514569908380508,model_importance
eth_30d_gt_20__xgboost,xgboost,volatility_4h_7d,0.07475896924734116,model_importance
btc_eth_50_50_30d_gt_15__logistic_regression,logistic_regression,equity_realized_vol_21d,-0.7761071618231606,coefficient
btc_eth_50_50_30d_gt_15__logistic_regression,logistic_regression,vix_level,0.506036998848342,coefficient
btc_eth_50_50_30d_gt_15__logistic_regression,logistic_regression,dow_vol_level,0.47187586973931983,coefficient
btc_eth_50_50_30d_gt_15__logistic_regression,logistic_regression,equity_momentum_21d,-0.4457728824777169,coefficient
btc_eth_50_50_30d_gt_15__logistic_regression,logistic_regression,cross_sectional_dispersion,-0.3233008510699749,coefficient
btc_eth_50_50_30d_gt_15__logistic_regression,logistic_regression,vix_change_5d,-0.2843847935940216,coefficient
btc_eth_50_50_30d_gt_15__logistic_regression,logistic_regression,volatility_expansion_probability,0.2408104463671566,coefficient
btc_eth_50_50_30d_gt_15__logistic_regression,logistic_regression,volatility_4h_7d,0.23680855206936144,coefficient
btc_eth_50_50_30d_gt_15__logistic_regression,logistic_regression,stablecoin_supply_change_7d,0.21102640896555902,coefficient
btc_eth_50_50_30d_gt_15__logistic_regression,logistic_regression,vix_change_21d,-0.1286841647898188,coefficient
btc_eth_50_50_30d_gt_15__logistic_regression,logistic_regression,tvl_growth_30d,0.016509527582178107,coefficient
btc_eth_50_50_30d_gt_15__elastic_net_logistic,elastic_net_logistic,equity_realized_vol_21d,-0.5996749969366532,coefficient
btc_eth_50_50_30d_gt_15__elastic_net_logistic,elastic_net_logistic,dow_vol_level,0.4526809495885288,coefficient
btc_eth_50_50_30d_gt_15__elastic_net_logistic,elastic_net_logistic,vix_level,0.3782848415640243,coefficient
btc_eth_50_50_30d_gt_15__elastic_net_logistic,elastic_net_logistic,equity_momentum_21d,-0.33683600255996293,coefficient
btc_eth_50_50_30d_gt_15__elastic_net_logistic,elastic_net_logistic,cross_sectional_dispersion,-0.26155962015175466,coefficient
btc_eth_50_50_30d_gt_15__elastic_net_logistic,elastic_net_logistic,vix_change_5d,-0.24112303742421967,coefficient
btc_eth_50_50_30d_gt_15__elastic_net_logistic,elastic_net_logistic,volatility_expansion_probability,0.20359928021531512,coefficient
btc_eth_50_50_30d_gt_15__elastic_net_logistic,elastic_net_logistic,stablecoin_supply_change_7d,0.203176973704274,coefficient
btc_eth_50_50_30d_gt_15__elastic_net_logistic,elastic_net_logistic,volatility_4h_7d,0.17104075670181135,coefficient
btc_eth_50_50_30d_gt_15__elastic_net_logistic,elastic_net_logistic,vix_change_21d,-0.015719738240311483,coefficient
btc_eth_50_50_30d_gt_15__elastic_net_logistic,elastic_net_logistic,tvl_growth_30d,0.00927732896646407,coefficient
btc_eth_50_50_30d_gt_15__random_forest,random_forest,volatility_expansion_probability,0.14259553857146662,model_importance
btc_eth_50_50_30d_gt_15__random_forest,random_forest,dow_vol_level,0.11883530936994972,model_importance
btc_eth_50_50_30d_gt_15__random_forest,random_forest,vix_level,0.1061290068869535,model_importance
btc_eth_50_50_30d_gt_15__random_forest,random_forest,equity_momentum_21d,0.10073051316606674,model_importance
btc_eth_50_50_30d_gt_15__random_forest,random_forest,vix_change_21d,0.09026922556760018,model_importance
btc_eth_50_50_30d_gt_15__random_forest,random_forest,volatility_4h_7d,0.0821293739390268,model_importance
btc_eth_50_50_30d_gt_15__random_forest,random_forest,stablecoin_supply_change_7d,0.08152812367262063,model_importance
btc_eth_50_50_30d_gt_15__random_forest,random_forest,tvl_growth_30d,0.07775084220342988,model_importance
btc_eth_50_50_30d_gt_15__random_forest,random_forest,cross_sectional_dispersion,0.0758466011306463,model_importance
btc_eth_50_50_30d_gt_15__random_forest,random_forest,equity_realized_vol_21d,0.06591293966382022,model_importance
btc_eth_50_50_30d_gt_15__random_forest,random_forest,vix_change_5d,0.05827252582841925,model_importance
btc_eth_50_50_30d_gt_15__gradient_boosting,gradient_boosting,volatility_expansion_probability,0.16545344459809555,model_importance
btc_eth_50_50_30d_gt_15__gradient_boosting,gradient_boosting,tvl_growth_30d,0.14689981752859105,model_importance
btc_eth_50_50_30d_gt_15__gradient_boosting,gradient_boosting,volatility_4h_7d,0.10724120286757717,model_importance
