name,family,benchmark_group,split,cost_bps,selected_development_candidate,CAGR,Sharpe,Sortino,Calmar,Annualized Volatility,Maximum Drawdown,Hit Rate,Turnover,Exposure,Transaction Costs,Cash Allocation,Annual Turnover,Worst Month,Best Month,Average Holdings,overlay_type,rebalance_days,threshold,secondary_threshold,top_k
convex_upside_t40_7d,Convex-upside exposure participation overlay.,convex,development,10,False,0.2396503179987628,0.6786131352016289,0.6641269670270381,0.31862712968690443,0.5500750851287493,-0.7521340641465547,0.3470169677066229,0.029009304871373837,0.5603448275862069,0.053000000000000005,0.43965517241379315,10.58839627805145,-0.4105176007687238,0.5171626168136121,1.3103448275862069,convex_upside,7,0.4,,5
convex_upside_t40_7d,Convex-upside exposure participation overlay.,convex,holdout,10,False,0.21058064227594486,0.8041486324980818,0.942604896850745,0.8831987748661714,0.2880718294893163,-0.2384294999818739,0.23048327137546468,0.031598513011152414,0.3252788104089219,0.017,0.6747211895910781,11.533457249070633,-0.12381750394191471,0.246415793598165,0.8847583643122676,convex_upside,7,0.4,,5
convex_upside_t40_7d,Convex-upside exposure participation overlay.,convex,development,25,False,0.2201138334108217,0.6497255017102996,0.6371185234427378,0.29043374957176243,0.5500870486961534,-0.757879666999356,0.3459222769567597,0.029009304871373837,0.5603448275862069,0.1325,0.43965517241379315,10.58839627805145,-0.4105176007687238,0.5171626168136121,1.3103448275862069,convex_upside,7,0.4,,5
convex_upside_t40_7d,Convex-upside exposure participation overlay.,convex,holdout,25,False,0.18978749266662698,0.7438203010105541,0.8746346399149217,0.7827849870093243,0.2881776439554408,-0.24245162569062695,0.22862453531598512,0.031598513011152414,0.3252788104089219,0.0425,0.6747211895910781,11.533457249070633,-0.12513553741559447,0.2445206579453003,0.8847583643122676,convex_upside,7,0.4,,5
convex_upside_t40_7d,Convex-upside exposure participation overlay.,convex,development,50,False,0.18819662857356412,0.6015214754425519,0.5914908781001241,0.2453121638086787,0.5501625569724543,-0.7671720213610788,0.3448275862068966,0.029009304871373837,0.5603448275862069,0.265,0.43965517241379315,10.58839627805145,-0.4105176007687238,0.5171626168136121,1.3103448275862069,convex_upside,7,0.4,,5
convex_upside_t40_7d,Convex-upside exposure participation overlay.,convex,holdout,50,False,0.1558824716279925,0.6431164041324035,0.7602585471561439,0.6257445624570521,0.2884683667788662,-0.24911518370356034,0.22676579925650558,0.031598513011152414,0.3252788104089219,0.085,0.6747211895910781,11.533457249070633,-0.127330055412176,0.24136530232033437,0.8847583643122676,convex_upside,7,0.4,,5
convex_upside_t40_7d,Convex-upside exposure participation overlay.,convex,development,100,False,0.12670881038418402,0.5049620212787647,0.49911092078322367,0.1610855206026842,0.5505218212432542,-0.7865934188877847,0.34318555008210183,0.029009304871373837,0.5603448275862069,0.53,0.43965517241379315,10.58839627805145,-0.4105176007687238,0.5171626168136121,1.3103448275862069,convex_upside,7,0.4,,5
convex_upside_t40_7d,Convex-upside exposure participation overlay.,convex,holdout,100,False,0.09079992406994353,0.4416638007676429,0.5268311348874721,0.3461768504659687,0.2894768651657747,-0.26229346054689384,0.22676579925650558,0.031598513011152414,0.3252788104089219,0.17,0.6747211895910781,11.533457249070633,-0.1317108246820219,0.23506660530718304,0.8847583643122676,convex_upside,7,0.4,,5
convex_upside_t50_7d,Convex-upside exposure participation overlay.,convex,development,10,False,0.25767718433224296,0.715382466175079,0.6887819232670551,0.3467366636931684,0.5182320597572172,-0.7431495175262594,0.34209085933223865,0.029556650246305417,0.5210727969348659,0.054000000000000006,0.47892720306513414,10.788177339901477,-0.4320897947253527,0.5171626168136121,1.2950191570881227,convex_upside,7,0.5,,5
convex_upside_t50_7d,Convex-upside exposure participation overlay.,convex,holdout,10,False,0.25278818486800425,0.9397492805466243,1.1589475657278514,1.4006578622629942,0.2807165608040419,-0.1804781822018856,0.23048327137546468,0.02973977695167286,0.31552044609665425,0.016,0.6844795539033457,10.855018587360595,-0.057686720710772965,0.246415793598165,0.8847583643122676,convex_upside,7,0.5,,5
