name,family,benchmark_group,split,cost_bps,selected_development_candidate,CAGR,Sharpe,Sortino,Calmar,Annualized Volatility,Maximum Drawdown,Hit Rate,Turnover,Exposure,Transaction Costs,Cash Allocation,Annual Turnover,Worst Month,Best Month,Average Holdings,overlay_type,rebalance_days,threshold,secondary_threshold,top_k
convex_upside_t40_14d,convex,convex,holdout,25,True,0.3331691912585475,1.1754991228215101,1.5088575522957315,1.4480058885316167,0.27638786607244425,-0.23008828479033694,0.258364312267658,0.024163568773234202,0.3382899628252788,0.0325,0.6617100371747212,8.819702602230484,-0.09998328175657689,0.2538200387098206,0.9888475836431226,convex_upside,14,0.4,,5
relative_winner_e60_b60_7d,relative,relative,holdout,25,True,0.25499260999660356,0.9794804212846799,1.2576043393662555,1.4138047799439046,0.2674011710590258,-0.18035913699960815,0.23048327137546468,0.030483271375464683,0.2894981412639405,0.04100000000000001,0.7105018587360594,11.12639405204461,-0.057847427918136574,0.24370167889322558,0.8847583643122676,relative_winner,7,0.6,0.6,5
regime_transition_t40_7d,transition,transition,holdout,25,True,0.2701659396873093,1.0186861363342525,1.330670940107439,1.3296593924121978,0.2694816601647044,-0.2031843201567497,0.26022304832713755,0.03066914498141264,0.3025092936802974,0.04125,0.6974907063197027,11.194237918215613,-0.05843627327568768,0.2445206579453003,0.9888475836431226,regime_transition,7,0.4,,5
cross_sectional_top3_t40_7d,cross_sectional,cross_sectional,holdout,25,True,0.2506806098543801,0.9700672636549106,1.2341802107524358,1.3610143521675673,0.26610866572870884,-0.1841866027754544,0.23048327137546468,0.027881040892193308,0.2894981412639405,0.037500000000000006,0.7105018587360594,10.176579925650557,-0.05983982286898448,0.2445206579453003,0.8847583643122676,cross_sectional_leadership,7,0.4,,3
combined_cross_sectional_relative_transition_7d,combined,combined,holdout,25,True,0.28658917065808476,1.0490713566675753,1.3463675280357978,1.4199884826487248,0.27549509073242945,-0.2018249965827229,0.26394052044609667,0.03410780669144982,0.3025092936802974,0.045875,0.6974907063197027,12.449349442379184,-0.06173179941382545,0.24515730745526265,0.9888475836431226,combined,7,0.4,0.4,5
