config,target,split,bin,observations,mean_probability,event_rate
btc_leads_eth_30d_gt_5__elastic_net_logistic,btc_leads_eth_30d_gt_5,development_cpcv,5,26,0.46502117582930325,0.46153846153846156
btc_leads_eth_30d_gt_5__elastic_net_logistic,btc_leads_eth_30d_gt_5,development_cpcv,6,26,0.4871634060592013,0.2692307692307692
btc_leads_eth_30d_gt_5__elastic_net_logistic,btc_leads_eth_30d_gt_5,development_cpcv,7,26,0.5084090269563797,0.4230769230769231
btc_leads_eth_30d_gt_5__elastic_net_logistic,btc_leads_eth_30d_gt_5,development_cpcv,8,26,0.5315986836398565,0.2692307692307692
btc_leads_eth_30d_gt_5__elastic_net_logistic,btc_leads_eth_30d_gt_5,development_cpcv,9,26,0.5574026649541987,0.4230769230769231
btc_leads_eth_30d_gt_5__elastic_net_logistic,btc_leads_eth_30d_gt_5,development_cpcv,10,26,0.6188334865569673,0.4230769230769231
btc_leads_eth_30d_gt_5__elastic_net_logistic,btc_leads_eth_30d_gt_5,holdout,1,8,0.3981126837203341,0.375
btc_leads_eth_30d_gt_5__elastic_net_logistic,btc_leads_eth_30d_gt_5,holdout,2,7,0.43191716046795153,0.42857142857142855
btc_leads_eth_30d_gt_5__elastic_net_logistic,btc_leads_eth_30d_gt_5,holdout,3,7,0.44724126372790796,0.42857142857142855
btc_leads_eth_30d_gt_5__elastic_net_logistic,btc_leads_eth_30d_gt_5,holdout,4,7,0.4653251246870731,0.14285714285714285
btc_leads_eth_30d_gt_5__elastic_net_logistic,btc_leads_eth_30d_gt_5,holdout,5,8,0.4744144778975934,0.25
btc_leads_eth_30d_gt_5__elastic_net_logistic,btc_leads_eth_30d_gt_5,holdout,6,7,0.49542507571751676,0.2857142857142857
btc_leads_eth_30d_gt_5__elastic_net_logistic,btc_leads_eth_30d_gt_5,holdout,7,7,0.5153518398381187,0.42857142857142855
btc_leads_eth_30d_gt_5__elastic_net_logistic,btc_leads_eth_30d_gt_5,holdout,8,7,0.5291599617482816,0.7142857142857143
btc_leads_eth_30d_gt_5__elastic_net_logistic,btc_leads_eth_30d_gt_5,holdout,9,7,0.5489431621645114,0.8571428571428571
btc_leads_eth_30d_gt_5__elastic_net_logistic,btc_leads_eth_30d_gt_5,holdout,10,8,0.6178943593101303,0.625
risk_off_to_risk_on_2_4w__gradient_boosting,risk_off_to_risk_on_2_4w,development_cpcv,1,27,0.042337040265785414,0.07407407407407407
risk_off_to_risk_on_2_4w__gradient_boosting,risk_off_to_risk_on_2_4w,development_cpcv,2,26,0.07280069115100297,0.0
risk_off_to_risk_on_2_4w__gradient_boosting,risk_off_to_risk_on_2_4w,development_cpcv,3,26,0.1013121645318559,0.11538461538461539
risk_off_to_risk_on_2_4w__gradient_boosting,risk_off_to_risk_on_2_4w,development_cpcv,4,26,0.1239513441552115,0.11538461538461539
risk_off_to_risk_on_2_4w__gradient_boosting,risk_off_to_risk_on_2_4w,development_cpcv,5,26,0.15194561045412291,0.34615384615384615
risk_off_to_risk_on_2_4w__gradient_boosting,risk_off_to_risk_on_2_4w,development_cpcv,6,26,0.18607124598741642,0.2692307692307692
risk_off_to_risk_on_2_4w__gradient_boosting,risk_off_to_risk_on_2_4w,development_cpcv,7,26,0.23364238242011018,0.15384615384615385
risk_off_to_risk_on_2_4w__gradient_boosting,risk_off_to_risk_on_2_4w,development_cpcv,8,26,0.2887386253612234,0.3076923076923077
risk_off_to_risk_on_2_4w__gradient_boosting,risk_off_to_risk_on_2_4w,development_cpcv,9,26,0.3462406836465304,0.4230769230769231
risk_off_to_risk_on_2_4w__gradient_boosting,risk_off_to_risk_on_2_4w,development_cpcv,10,26,0.5035559567785648,0.34615384615384615
risk_off_to_risk_on_2_4w__gradient_boosting,risk_off_to_risk_on_2_4w,holdout,1,8,0.03636072304485115,0.25
risk_off_to_risk_on_2_4w__gradient_boosting,risk_off_to_risk_on_2_4w,holdout,2,7,0.06201121413290456,0.0
risk_off_to_risk_on_2_4w__gradient_boosting,risk_off_to_risk_on_2_4w,holdout,3,7,0.08207482315279198,0.42857142857142855
risk_off_to_risk_on_2_4w__gradient_boosting,risk_off_to_risk_on_2_4w,holdout,4,7,0.10948648125453543,0.2857142857142857
risk_off_to_risk_on_2_4w__gradient_boosting,risk_off_to_risk_on_2_4w,holdout,5,8,0.15225304170670778,0.125
risk_off_to_risk_on_2_4w__gradient_boosting,risk_off_to_risk_on_2_4w,holdout,6,7,0.17757931711755326,0.14285714285714285
risk_off_to_risk_on_2_4w__gradient_boosting,risk_off_to_risk_on_2_4w,holdout,7,7,0.206990415631243,0.14285714285714285
risk_off_to_risk_on_2_4w__gradient_boosting,risk_off_to_risk_on_2_4w,holdout,8,7,0.23803809472531404,0.0
risk_off_to_risk_on_2_4w__gradient_boosting,risk_off_to_risk_on_2_4w,holdout,9,7,0.2930603041989669,0.14285714285714285
risk_off_to_risk_on_2_4w__gradient_boosting,risk_off_to_risk_on_2_4w,holdout,10,8,0.5032054517644692,0.625
