family,candidate,overlay_type,description,median_fold_sharpe,worst_fold_sharpe,positive_fold_fraction,development_sharpe,development_cagr,development_max_drawdown,development_turnover,development_exposure,selection_score
convex,convex_upside_t40_14d,convex_upside,Convex-upside exposure participation overlay.,0.969513088584222,-1.20566534817884,0.8,0.7843744248612518,0.30543704333729593,-0.7404643955128773,6.692665571975916,0.5632183908045977,0.988096751539512
convex,convex_upside_t60_7d,convex_upside,Convex-upside exposure participation overlay.,0.9573569851702807,-1.1474745641209614,0.7333333333333333,0.6749980147148931,0.22959379970208427,-0.7408840487248674,11.087848932676518,0.5019157088122606,0.9638216774733737
convex,convex_upside_t40_7d,convex_upside,Convex-upside exposure participation overlay.,0.9106656817842107,-1.1139337363461168,0.7333333333333333,0.6497255017102996,0.2201138334108217,-0.757879666999356,10.58839627805145,0.5603448275862069,0.9255155810310148
convex,convex_upside_t50_7d,convex_upside,Convex-upside exposure participation overlay.,0.9114515758416576,-1.2183112146035897,0.7333333333333333,0.6841821199790747,0.2375072887063019,-0.7483363319075651,10.788177339901477,0.5210727969348659,0.9002071055240936
convex,convex_upside_t50_14d,convex_upside,Convex-upside exposure participation overlay.,0.876002068671523,-1.3220201926171908,0.8,0.7716788888088171,0.28684208765459074,-0.754688759038506,6.592775041050903,0.5172413793103449,0.8654970205172253
convex,convex_upside_t60_14d,convex_upside,Convex-upside exposure participation overlay.,0.812167175640816,-1.2116029013955434,0.8,0.7946586987944332,0.2953459513269936,-0.7480268396033247,6.992337164750958,0.4942528735632184,0.8292664502919302
relative,relative_winner_e60_b60_7d,relative_winner,ETH/BTC relative-winner tilt overlay.,0.8949722309120883,-1.0841717363136114,0.7333333333333333,0.6568121965494043,0.21933732582561993,-0.7310938042187767,12.356458675424193,0.49808429118773945,0.8994396963958091
relative,relative_winner_e50_b60_7d,relative_winner,ETH/BTC relative-winner tilt overlay.,0.9102924521244168,-1.1029260042107156,0.7333333333333333,0.6667920705595388,0.22655248512803716,-0.7233399883218339,12.756020799124247,0.49808429118773945,0.8900932444488588
relative,relative_winner_e40_b60_7d,relative_winner,ETH/BTC relative-winner tilt overlay.,0.8828833927467645,-1.1102858514087364,0.7333333333333333,0.6563263774013892,0.2204203836660663,-0.7336212591966464,12.576217843459222,0.49808429118773945,0.8698343710549526
relative,relative_winner_e60_b50_7d,relative_winner,ETH/BTC relative-winner tilt overlay.,0.9010192276440295,-1.043286240288003,0.7333333333333333,0.6756936186878726,0.2307272440315693,-0.7372921273416927,13.572625889436233,0.49808429118773945,0.8548997064335504
relative,relative_winner_e60_b40_7d,relative_winner,ETH/BTC relative-winner tilt overlay.,0.8897973831082299,-1.0984318486733196,0.7333333333333333,0.6785790579206036,0.2314591602312588,-0.7401926218939379,13.10314039408867,0.49808429118773945,0.8533657345687998
relative,relative_winner_e50_b40_7d,relative_winner,ETH/BTC relative-winner tilt overlay.,0.9310636003423118,-1.1136929100468478,0.7333333333333333,0.6936385029321332,0.24241397629276196,-0.7238398467642382,13.882286535303773,0.49808429118773945,0.8518593793987445
relative,relative_winner_e50_b50_7d,relative_winner,ETH/BTC relative-winner tilt overlay.,0.9108204324622983,-1.0709041593692912,0.7333333333333333,0.6810527707623129,0.235117407456662,-0.7298190461058844,13.952209906951287,0.49808429118773945,0.8388172306057444
relative,relative_winner_e40_b50_7d,relative_winner,ETH/BTC relative-winner tilt overlay.,0.8800039665395697,-1.0720633324800342,0.7333333333333333,0.6696516278049112,0.22845898003579435,-0.7403840434372964,13.852319376026273,0.49808429118773945,0.8127054979515809
relative,relative_winner_e40_b40_7d,relative_winner,ETH/BTC relative-winner tilt overlay.,0.8705987852610493,-1.1144996006415406,0.7333333333333333,0.6630115341997443,0.22389803352001825,-0.7434653378712746,13.762417898193757,0.49808429118773945,0.7971863235243096
relative,relative_winner_e50_b40_14d,relative_winner,ETH/BTC relative-winner tilt overlay.,0.7492801755540608,-1.1562958149415903,0.8,0.860785909206486,0.3302869963173427,-0.725643759138608,8.700465243568692,0.4885057471264368,0.7802062218186633
relative,relative_winner_e50_b60_14d,relative_winner,ETH/BTC relative-winner tilt overlay.,0.7342515346099647,-1.1434895015455397,0.8,0.8615399980292523,0.33510660593940456,-0.7270375094662653,8.111111111111109,0.4885057471264368,0.7683791592235798
