selection,candidate,CAGR,Sharpe,Sortino,Calmar,Annualized Volatility,Maximum Drawdown,Hit Rate,Turnover,Exposure,Transaction Costs,Cash Allocation,Annual Turnover,Worst Month,Best Month,Average Holdings,CAGR_50bps,Sharpe_50bps,Maximum_Drawdown_50bps,PBO,deflated_sharpe_probability,beats_frozen_sharpe,beats_frozen_cagr,beats_frozen_drawdown,survives_50bps,turnover_acceptable,exposure_acceptable,cash_reduction_false_improvement,pbo_acceptable,dsr_acceptable,replacement_candidate
expansion_first,expansion_first__btc_eth_only__confidence_weight__vol_target_macro_gate,0.1131841450473614,0.9929840342105375,1.0156128783599188,1.5264957800916565,0.11452277840172362,-0.07414638580957322,0.1691449814126394,0.01501254249758983,0.10270489332576943,0.02019186965925832,0.8972951066742305,5.479578011620288,-0.021684971039176104,0.0576888650282823,0.5204460966542751,0.09800445737038554,0.8711024220641944,-0.0761998784566813,0.7857142857142857,0.05924364043016521,True,False,True,True,True,False,True,False,False,False
hybrid,hybrid__btc_eth_only__confidence_weight__vol_target,0.2528131861975591,1.167825356633814,1.0590199249553136,1.803751111490408,0.2119377532900704,-0.14015968421977243,0.13011152416356878,0.023859462759024317,0.16861641106356032,0.03209097741088771,0.8313835889364397,8.708703907043876,-0.05561172915070789,0.14772908069078805,0.3903345724907063,0.22566366025072737,1.0616764080935912,-0.14345552898558223,0.7857142857142857,0.09167956674641886,True,True,True,True,True,True,True,False,False,False
overall,expansion_first__btc_eth_only__confidence_weight__vol_target_macro_gate,0.1131841450473614,0.9929840342105375,1.0156128783599188,1.5264957800916565,0.11452277840172362,-0.07414638580957322,0.1691449814126394,0.01501254249758983,0.10270489332576943,0.02019186965925832,0.8972951066742305,5.479578011620288,-0.021684971039176104,0.0576888650282823,0.5204460966542751,0.09800445737038554,0.8711024220641944,-0.0761998784566813,0.7857142857142857,0.05924364043016521,True,False,True,True,True,False,True,False,False,False
