feature,target,target_type,full_sample_ic,development_ic,holdout_diagnostic_ic,newey_west_t_stat,p_value,auc,sign_stability,cpcv_fold_stability,macro_tier1_redundancy,crypto_tier1_redundancy
active_address_growth_7d,btc_forward_30d_return,continuous,-0.013082784870173437,-0.023542514396172935,0.0658089596445761,0.13791109019439746,0.8903106854570476,,False,0.6,0.06856619133168129,0.09302689180737961
active_address_growth_7d,eth_forward_30d_return,continuous,0.01591012195753634,0.029076106820009263,0.0626619770455387,1.0485786376533552,0.2943720920574735,,True,0.8666666666666667,0.06856619133168129,0.09302689180737961
active_address_growth_7d,btc_eth_50_50_forward_30d_return,continuous,0.006651091152748876,0.014119518692689424,0.06454399605084538,0.7283739975519584,0.46638467610238604,,True,0.4666666666666667,0.06856619133168129,0.09302689180737961
active_address_growth_7d,btc_upward_expansion_30d,binary,-0.03221398720908377,-0.0374932811283849,0.005147531964020693,-0.05528112085059978,0.9559145025426198,0.5244279529993816,False,0.6666666666666666,0.06856619133168129,0.09302689180737961
active_address_growth_7d,eth_upward_expansion_30d,binary,0.018986498894648606,0.02412200155935344,0.07632478999256435,0.9827154198840414,0.3257475193758969,0.5158490566037736,True,0.6666666666666666,0.06856619133168129,0.09302689180737961
active_address_growth_7d,eth_outperforms_btc_30d,binary,0.057284118169696085,0.07465221154351226,-0.012571904773411904,1.6254550062943918,0.10406564350189415,0.5463108320251177,False,0.9333333333333333,0.06856619133168129,0.09302689180737961
active_address_growth_7d,frozen_macro_positive_next_period,binary,-0.01896490426630224,0.022452612816811334,-0.1356222452011225,1.187756165579701,0.23492948870626615,0.5133087633087634,False,0.6,0.06856619133168129,0.09302689180737961
active_address_growth_7d,frozen_macro_drawdown_avoidance,binary,-0.02702959271969789,-0.028599741404880294,-0.020364050766749086,-0.4084160045477853,0.6829682854215966,0.5165128703254007,True,0.6666666666666666,0.06856619133168129,0.09302689180737961
active_address_growth_30d,btc_forward_30d_return,continuous,0.04762960938266792,-0.012965185221282781,0.06756756756756759,-0.01952279244950518,0.9844240547615344,,False,0.6666666666666666,0.1529106056545081,0.2759009283399527
active_address_growth_30d,eth_forward_30d_return,continuous,0.1001531505403179,0.04383066120870999,0.14257065284462547,0.7908751308731451,0.42901686197618544,,True,0.7333333333333333,0.1529106056545081,0.2759009283399527
active_address_growth_30d,btc_eth_50_50_forward_30d_return,continuous,0.08639004980523514,0.026775561836537443,0.12344193508577073,0.4873026567456382,0.6260438652627942,,True,0.7333333333333333,0.1529106056545081,0.2759009283399527
active_address_growth_30d,btc_upward_expansion_30d,binary,0.04805300015154186,-0.009681809304038636,0.018016361874072424,0.0733934980053201,0.9414929914833005,0.5063079777365491,False,0.6,0.1529106056545081,0.2759009283399527
active_address_growth_30d,eth_upward_expansion_30d,binary,0.09396438850112702,0.03350277994354644,0.20353277331350492,0.20757379888660876,0.8355617642136796,0.5220125786163521,True,0.4,0.1529106056545081,0.2759009283399527
active_address_growth_30d,eth_outperforms_btc_30d,binary,0.07843442993905557,0.09037798007689135,0.04085869051358869,0.8381259142967153,0.40195999007817274,0.5560663825969949,True,0.8,0.1529106056545081,0.2759009283399527
active_address_growth_30d,frozen_macro_positive_next_period,binary,-0.0013894602193738996,0.003713316735088028,0.13839004612359443,0.38579055924441114,0.6996517877132523,0.5022010647010647,True,0.4666666666666667,0.1529106056545081,0.2759009283399527
active_address_growth_30d,frozen_macro_drawdown_avoidance,binary,0.012894642926813657,-0.03238500129670269,0.07874099629809646,-0.6835878472971709,0.4942354607679778,0.5186983972802331,False,0.6,0.1529106056545081,0.2759009283399527
