k,z,v,both_dir,cost_level,n_trades,sharpe,net_pnl,cost_pct_of_gross,win_rate_pct
3,2.5,3.0,False,pessimistic,56,-1.6923,-18506.42,106.1,28.57
3,3.0,1.5,True,optimistic,133,-1.2973,-17662.36,98.4,38.35
3,3.0,1.5,True,base,104,-1.4952,-18537.81,122.6,35.58
3,3.0,1.5,True,pessimistic,82,-1.5287,-20313.91,215.4,30.49
3,3.0,1.5,False,optimistic,388,0.1057,-13855.97,282.3,46.91
3,3.0,1.5,False,base,102,-1.3412,-18174.28,183.8,32.35
3,3.0,1.5,False,pessimistic,88,-1.6386,-19759.33,420.6,31.82
3,3.0,2.0,True,optimistic,190,-0.9363,-16413.9,328.9,42.11
3,3.0,2.0,True,base,104,-1.1268,-16786.0,156.2,37.5
3,3.0,2.0,True,pessimistic,85,-1.4559,-19465.32,285.6,32.94
3,3.0,2.0,False,optimistic,383,0.1602,-13251.97,265.2,47.0
3,3.0,2.0,False,base,101,-1.3228,-17788.84,192.9,32.67
3,3.0,2.0,False,pessimistic,77,-1.8603,-20310.97,209.6,27.27
3,3.0,3.0,True,optimistic,195,-0.8573,-17507.26,272.9,41.03
3,3.0,3.0,True,base,126,-1.3223,-18345.21,174.8,36.51
3,3.0,3.0,True,pessimistic,78,-1.4035,-18911.33,206.5,33.33
3,3.0,3.0,False,optimistic,352,0.1205,-14650.98,437.8,46.02
3,3.0,3.0,False,base,314,-0.1491,-20573.58,576.8,43.95
3,3.0,3.0,False,pessimistic,71,-1.7365,-19430.45,183.8,28.17
3,4.0,1.5,True,optimistic,133,-1.1858,-19041.66,71.9,36.09
3,4.0,1.5,True,base,116,-1.3775,-19022.96,132.6,36.21
3,4.0,1.5,True,pessimistic,94,-1.3621,-19606.51,346.2,37.23
3,4.0,1.5,False,optimistic,137,-0.3166,-20481.67,51.1,40.15
3,4.0,1.5,False,base,125,-0.3825,-18932.26,95.9,39.2
3,4.0,1.5,False,pessimistic,119,-0.6268,-22726.66,169.3,36.97
3,4.0,2.0,True,optimistic,133,-1.1858,-19041.66,71.9,36.09
3,4.0,2.0,True,base,116,-1.3775,-19022.96,132.6,36.21
3,4.0,2.0,True,pessimistic,94,-1.3621,-19606.51,346.2,37.23
3,4.0,2.0,False,optimistic,137,-0.2846,-20163.92,52.8,40.15
3,4.0,2.0,False,base,126,-0.3591,-18708.92,100.1,38.89
3,4.0,2.0,False,pessimistic,119,-0.594,-22459.89,177.6,36.97
3,4.0,3.0,True,optimistic,131,-1.169,-18402.13,74.1,36.64
3,4.0,3.0,True,base,118,-1.5297,-20233.52,117.6,35.59
3,4.0,3.0,True,pessimistic,95,-1.3019,-19506.31,380.6,37.89
3,4.0,3.0,False,optimistic,132,-0.2897,-20510.51,50.2,39.39
3,4.0,3.0,False,base,120,-0.3521,-18930.79,94.0,38.33
3,4.0,3.0,False,pessimistic,114,-0.5901,-22665.77,165.6,36.84
6,2.5,1.5,True,optimistic,90,-1.6073,-18608.41,42.6,26.67
6,2.5,1.5,True,base,82,-1.7455,-19754.2,60.8,25.61
6,2.5,1.5,True,pessimistic,78,-1.9766,-21995.22,113.7,26.92
6,2.5,1.5,False,optimistic,101,-1.7641,-19556.36,56.3,28.71
6,2.5,1.5,False,base,93,-1.907,-20244.64,94.8,30.11
6,2.5,1.5,False,pessimistic,50,-2.2331,-19471.28,63.3,18.0
6,2.5,2.0,True,optimistic,90,-1.8014,-19895.99,38.2,25.56
6,2.5,2.0,True,base,83,-1.8884,-20545.83,57.7,25.3
6,2.5,2.0,True,pessimistic,72,-1.6889,-19937.25,116.6,27.78
6,2.5,2.0,False,optimistic,100,-1.8347,-19682.09,53.9,29.0
6,2.5,2.0,False,base,53,-2.1359,-18574.51,35.0,16.98
6,2.5,2.0,False,pessimistic,50,-2.4985,-20736.82,55.5,16.0
6,2.5,3.0,True,optimistic,103,-1.7972,-20851.19,44.2,26.21
6,2.5,3.0,True,base,78,-1.7459,-20301.6,53.2,23.08
6,2.5,3.0,True,pessimistic,73,-1.9404,-21742.33,99.5,24.66
6,2.5,3.0,False,optimistic,94,-1.6924,-19570.05,50.9,26.6
6,2.5,3.0,False,base,83,-1.7167,-19774.42,82.1,27.71
6,2.5,3.0,False,pessimistic,46,-1.9857,-18587.73,62.5,17.39
6,3.0,1.5,True,optimistic,149,-1.6247,-20731.03,82.7,36.91
6,3.0,1.5,True,base,132,-1.6205,-19492.86,167.3,37.88
6,3.0,1.5,True,pessimistic,69,-1.867,-19508.88,92.8,30.43
6,3.0,1.5,False,optimistic,243,0.0351,-20516.89,137.8,45.27
6,3.0,1.5,False,base,209,-0.1549,-22098.72,228.7,43.06
6,3.0,1.5,False,pessimistic,187,-0.2963,-20089.18,1300.2,43.32
6,3.0,2.0,True,optimistic,143,-1.5667,-20202.5,77.4,37.06
6,3.0,2.0,True,base,124,-1.6919,-20187.69,130.6,36.29
6,3.0,2.0,True,pessimistic,67,-1.9714,-20274.47,79.5,28.36
6,3.0,2.0,False,optimistic,197,-0.0938,-19990.52,95.0,44.16
6,3.0,2.0,False,base,193,-0.2809,-22279.95,168.7,42.49
6,3.0,2.0,False,pessimistic,176,-0.4016,-20143.4,8585.3,42.61
6,3.0,3.0,True,optimistic,146,-1.3516,-20888.7,80.1,35.62
6,3.0,3.0,True,base,134,-1.349,-20147.81,166.9,36.57
6,3.0,3.0,True,pessimistic,105,-1.5832,-21386.65,300.9,34.29
6,3.0,3.0,False,optimistic,176,-0.1998,-20828.38,74.1,43.75
6,3.0,3.0,False,base,174,-0.426,-23661.14,119.9,40.8
6,3.0,3.0,False,pessimistic,157,-0.5003,-20950.99,769.1,40.76
6,4.0,1.5,True,optimistic,109,-1.5623,-20191.25,40.1,31.19
6,4.0,1.5,True,base,98,-1.5623,-19234.74,68.9,32.65
6,4.0,1.5,True,pessimistic,80,-1.6889,-20128.88,118.9,32.5
6,4.0,1.5,False,optimistic,103,-0.6716,-20255.95,26.5,34.95
6,4.0,1.5,False,base,99,-0.6575,-20338.17,43.0,35.35
6,4.0,1.5,False,pessimistic,89,-0.5661,-20201.49,87.9,34.83
6,4.0,2.0,True,optimistic,109,-1.5623,-20191.25,40.1,31.19
6,4.0,2.0,True,base,98,-1.5623,-19234.74,68.9,32.65
6,4.0,2.0,True,pessimistic,80,-1.6889,-20128.88,118.9,32.5
6,4.0,2.0,False,optimistic,102,-0.6846,-20331.37,26.3,34.31
6,4.0,2.0,False,base,98,-0.6698,-20406.08,42.6,34.69
6,4.0,2.0,False,pessimistic,88,-0.5772,-20254.7,86.9,34.09
6,4.0,3.0,True,optimistic,111,-1.4534,-21026.25,38.2,30.63
6,4.0,3.0,True,base,103,-1.4673,-21023.73,64.7,32.04
6,4.0,3.0,True,pessimistic,80,-1.6207,-20836.01,115.8,32.5
6,4.0,3.0,False,optimistic,96,-0.7334,-20399.81,24.6,33.33
6,4.0,3.0,False,base,94,-0.7947,-21300.63,38.5,32.98
6,4.0,3.0,False,pessimistic,70,-0.7165,-20074.29,65.6,27.14
