asset,entry_time,direction,hold,gross_ret,cost_bps,net_ret,k,z
BTC,2023-09-28 17:00:00+00:00,-1.0,4,-0.0007352669499354203,22.5,-0.00298526694993542,3,2.5
BTC,2023-10-01 23:00:00+00:00,-1.0,4,0.0005785466337157041,22.5,-0.0016714533662842957,3,2.5
BTC,2023-10-02 00:00:00+00:00,-1.0,4,-0.004274206218845,22.5,-0.0065242062188450006,3,2.5
BTC,2023-10-02 01:00:00+00:00,-1.0,4,-0.0049550855862143806,22.5,-0.007205085586214381,3,2.5
BTC,2023-10-02 17:00:00+00:00,1.0,4,-0.005589485338762135,22.5,-0.007839485338762135,3,2.5
BTC,2023-10-02 23:00:00+00:00,1.0,4,0.0010633780581192909,22.5,-0.001186621941880709,3,2.5
BTC,2023-10-05 17:00:00+00:00,1.0,4,0.0011951567003474217,22.5,-0.0010548432996525781,3,2.5
BTC,2023-10-05 18:00:00+00:00,1.0,4,-0.0014516111428436451,22.5,-0.003701611142843645,3,2.5
BTC,2023-10-06 13:00:00+00:00,1.0,4,0.022912722523077855,22.5,0.020662722523077857,3,2.5
BTC,2023-10-06 16:00:00+00:00,-1.0,4,-0.00037222353454868795,22.5,-0.0026222235345486878,3,2.5
BTC,2023-10-11 04:00:00+00:00,1.0,4,0.0004294705664569243,22.5,-0.0018205294335430756,3,2.5
BTC,2023-10-11 17:00:00+00:00,1.0,4,0.001836423396783582,22.5,-0.0004135766032164179,3,2.5
BTC,2023-10-11 18:00:00+00:00,1.0,4,0.003837056504599312,22.5,0.0015870565045993123,3,2.5
BTC,2023-10-16 06:00:00+00:00,-1.0,4,0.0052579926502719365,22.5,0.0030079926502719367,3,2.5
BTC,2023-10-16 07:00:00+00:00,-1.0,4,0.0017938025738730712,22.5,-0.00045619742612692865,3,2.5
BTC,2023-10-16 15:00:00+00:00,-1.0,4,-0.01239458397463622,22.5,-0.01464458397463622,3,2.5
BTC,2023-10-16 19:00:00+00:00,-1.0,4,0.0015307927544812028,22.5,-0.000719207245518797,3,2.5
BTC,2023-10-16 20:00:00+00:00,-1.0,4,-0.000828942746750938,22.5,-0.003078942746750938,3,2.5
BTC,2023-10-18 10:00:00+00:00,1.0,4,0.0024205106428154544,22.5,0.00017051064281545453,3,2.5
BTC,2023-10-20 04:00:00+00:00,-1.0,4,-0.00023600071142237944,22.5,-0.0024860007114223793,3,2.5
BTC,2023-10-20 05:00:00+00:00,-1.0,4,-0.014291074047545926,22.5,-0.016541074047545925,3,2.5
BTC,2023-10-20 09:00:00+00:00,-1.0,4,0.007350864214136776,22.5,0.005100864214136776,3,2.5
BTC,2023-10-20 10:00:00+00:00,-1.0,4,0.005186770715210676,22.5,0.002936770715210676,3,2.5
BTC,2023-10-20 11:00:00+00:00,-1.0,4,0.008980671959266995,22.5,0.0067306719592669945,3,2.5
BTC,2023-10-23 04:00:00+00:00,-1.0,4,0.0071083725893344996,22.5,0.004858372589334499,3,2.5
BTC,2023-10-23 17:00:00+00:00,-1.0,4,-0.009772957320588915,22.5,-0.012022957320588916,3,2.5
BTC,2023-10-23 21:00:00+00:00,-1.0,4,-0.06376431850120068,22.5,-0.06601431850120068,3,2.5
BTC,2023-10-23 23:00:00+00:00,-1.0,4,-0.035897036442292585,22.5,-0.03814703644229259,3,2.5
BTC,2023-10-24 00:00:00+00:00,-1.0,4,-0.030022689987099005,22.5,-0.03227268998709901,3,2.5
BTC,2023-10-24 01:00:00+00:00,-1.0,4,-0.025991530983479505,22.5,-0.028241530983479503,3,2.5
BTC,2023-10-24 02:00:00+00:00,-1.0,4,0.008243678335706939,22.5,0.0059936783357069385,3,2.5
BTC,2023-10-24 03:00:00+00:00,-1.0,4,0.01695346617693838,22.5,0.01470346617693838,3,2.5
BTC,2023-10-24 16:00:00+00:00,1.0,4,0.0034915102266217524,22.5,0.0012415102266217525,3,2.5
BTC,2023-11-01 21:00:00+00:00,-1.0,4,0.001316631565889459,22.5,-0.0009333684341105409,3,2.5
BTC,2023-11-01 22:00:00+00:00,-1.0,4,-0.004624189283857882,22.5,-0.006874189283857883,3,2.5
BTC,2023-11-07 19:00:00+00:00,-1.0,4,0.003164029504575172,22.5,0.0009140295045751722,3,2.5
BTC,2023-11-07 20:00:00+00:00,-1.0,4,0.0018157007364302258,22.5,-0.00043429926356977405,3,2.5
BTC,2023-11-07 21:00:00+00:00,-1.0,4,0.007386370014480836,22.5,0.005136370014480836,3,2.5
BTC,2023-11-09 03:00:00+00:00,-1.0,4,-0.011202432968259846,22.5,-0.013452432968259846,3,2.5
BTC,2023-11-09 04:00:00+00:00,-1.0,4,-0.002829067779634542,22.5,-0.005079067779634542,3,2.5
BTC,2023-11-09 05:00:00+00:00,-1.0,4,0.000893582010668359,22.5,-0.0013564179893316409,3,2.5
BTC,2023-11-09 15:00:00+00:00,-1.0,4,0.04023807262481416,22.5,0.037988072624814156,3,2.5
BTC,2023-11-09 17:00:00+00:00,1.0,4,0.005817713478986963,22.5,0.0035677134789869635,3,2.5
BTC,2023-11-09 18:00:00+00:00,1.0,4,-0.0022664591354687458,22.5,-0.004516459135468746,3,2.5
