target,model,fold,auc
target_btc_eth_1w,gb_depth3,10,0.517989417989418
target_btc_eth_1w,gb_depth3,11,0.4938238453276047
target_btc_eth_1w,gb_depth3,12,0.5030555555555556
target_btc_eth_1w,gb_depth3,13,0.47106544077879936
target_btc_eth_1w,gb_depth3,14,0.5384615384615384
target_btc_eth_2w,logistic_C0.25,0,0.4146933819064967
target_btc_eth_2w,logistic_C0.25,1,0.5612403100775194
target_btc_eth_2w,logistic_C0.25,2,0.5216426193118757
target_btc_eth_2w,logistic_C0.25,3,0.5443181818181818
target_btc_eth_2w,logistic_C0.25,4,0.4924812030075188
target_btc_eth_2w,logistic_C0.25,5,0.6159420289855073
target_btc_eth_2w,logistic_C0.25,6,0.5858585858585859
target_btc_eth_2w,logistic_C0.25,7,0.6255760368663594
target_btc_eth_2w,logistic_C0.25,8,0.5432432432432432
target_btc_eth_2w,logistic_C0.25,9,0.5633727175080558
target_btc_eth_2w,logistic_C0.25,10,0.49999999999999994
target_btc_eth_2w,logistic_C0.25,11,0.6248612652608212
target_btc_eth_2w,logistic_C0.25,12,0.5838815789473684
target_btc_eth_2w,logistic_C0.25,13,0.541125541125541
target_btc_eth_2w,logistic_C0.25,14,0.5357142857142857
target_btc_eth_2w,logistic_C1,0,0.4201578627808136
target_btc_eth_2w,logistic_C1,1,0.558656330749354
target_btc_eth_2w,logistic_C1,2,0.5205327413984462
target_btc_eth_2w,logistic_C1,3,0.5363636363636364
target_btc_eth_2w,logistic_C1,4,0.4828141783029001
target_btc_eth_2w,logistic_C1,5,0.610248447204969
target_btc_eth_2w,logistic_C1,6,0.5768799102132436
target_btc_eth_2w,logistic_C1,7,0.6244239631336406
target_btc_eth_2w,logistic_C1,8,0.5497297297297299
target_btc_eth_2w,logistic_C1,9,0.5725026852846402
target_btc_eth_2w,logistic_C1,10,0.49840425531914895
target_btc_eth_2w,logistic_C1,11,0.6254162042175361
target_btc_eth_2w,logistic_C1,12,0.5833333333333333
target_btc_eth_2w,logistic_C1,13,0.5313852813852814
target_btc_eth_2w,logistic_C1,14,0.54004329004329
target_btc_eth_2w,elastic_net_C0.25_l1_0.5,0,0.3800850030358227
target_btc_eth_2w,elastic_net_C0.25_l1_0.5,1,0.5529715762273901
target_btc_eth_2w,elastic_net_C0.25_l1_0.5,2,0.525527192008879
target_btc_eth_2w,elastic_net_C0.25_l1_0.5,3,0.5551136363636364
target_btc_eth_2w,elastic_net_C0.25_l1_0.5,4,0.5080558539205156
target_btc_eth_2w,elastic_net_C0.25_l1_0.5,5,0.6086956521739131
target_btc_eth_2w,elastic_net_C0.25_l1_0.5,6,0.5628507295173962
target_btc_eth_2w,elastic_net_C0.25_l1_0.5,7,0.6509216589861752
target_btc_eth_2w,elastic_net_C0.25_l1_0.5,8,0.538918918918919
target_btc_eth_2w,elastic_net_C0.25_l1_0.5,9,0.5257787325456498
target_btc_eth_2w,elastic_net_C0.25_l1_0.5,10,0.4803191489361702
target_btc_eth_2w,elastic_net_C0.25_l1_0.5,11,0.655937846836848
target_btc_eth_2w,elastic_net_C0.25_l1_0.5,12,0.5981359649122807
target_btc_eth_2w,elastic_net_C0.25_l1_0.5,13,0.560064935064935
target_btc_eth_2w,elastic_net_C0.25_l1_0.5,14,0.5340909090909091
target_btc_eth_2w,elastic_net_C1_l1_0.5,0,0.4134790528233151
target_btc_eth_2w,elastic_net_C1_l1_0.5,1,0.5622739018087856
target_btc_eth_2w,elastic_net_C1_l1_0.5,2,0.5244173140954496
target_btc_eth_2w,elastic_net_C1_l1_0.5,3,0.5335227272727272
target_btc_eth_2w,elastic_net_C1_l1_0.5,4,0.48872180451127817
target_btc_eth_2w,elastic_net_C1_l1_0.5,5,0.5957556935817805
target_btc_eth_2w,elastic_net_C1_l1_0.5,6,0.5729517396184063
target_btc_eth_2w,elastic_net_C1_l1_0.5,7,0.6284562211981567
target_btc_eth_2w,elastic_net_C1_l1_0.5,8,0.5562162162162163
target_btc_eth_2w,elastic_net_C1_l1_0.5,9,0.560687432867884
target_btc_eth_2w,elastic_net_C1_l1_0.5,10,0.5
target_btc_eth_2w,elastic_net_C1_l1_0.5,11,0.623196448390677
target_btc_eth_2w,elastic_net_C1_l1_0.5,12,0.5899122807017544
target_btc_eth_2w,elastic_net_C1_l1_0.5,13,0.5330086580086579
target_btc_eth_2w,elastic_net_C1_l1_0.5,14,0.5297619047619047
target_btc_eth_2w,gb_depth2,0,0.49544626593806923
target_btc_eth_2w,gb_depth2,1,0.5320413436692507
target_btc_eth_2w,gb_depth2,2,0.5288568257491676
target_btc_eth_2w,gb_depth2,3,0.4880681818181818
target_btc_eth_2w,gb_depth2,4,0.45918367346938777
target_btc_eth_2w,gb_depth2,5,0.6045548654244307
target_btc_eth_2w,gb_depth2,6,0.5081369248035914
target_btc_eth_2w,gb_depth2,7,0.5671082949308756
target_btc_eth_2w,gb_depth2,8,0.62
target_btc_eth_2w,gb_depth2,9,0.49838882921589683
target_btc_eth_2w,gb_depth2,10,0.4848404255319149
target_btc_eth_2w,gb_depth2,11,0.6148723640399556
target_btc_eth_2w,gb_depth2,12,0.571546052631579
target_btc_eth_2w,gb_depth2,13,0.564935064935065
target_btc_eth_2w,gb_depth2,14,0.5048701298701298
target_btc_eth_2w,gb_depth3,0,0.48816029143898004
