name,category,split,cost_bps,CAGR,Sharpe,Sortino,Calmar,Annualized Volatility,Maximum Drawdown,Hit Rate,Turnover,Exposure,Transaction Costs,Cash Allocation,Annual Turnover,Worst Month,Average Holdings
volatility_shock_continuation_u20_r14_top_momentum_k5_balanced,strategy,development,10,0.6117246795191678,1.572081337142716,1.3472547937403858,3.4175196182429715,0.33989435571039617,-0.17899668410204184,0.1685823754789272,0.01972560818641629,0.1768773940029294,0.03603868615658257,0.8231226059970707,7.199846988041946,-0.14385603994740126,1.7837985769020253
volatility_shock_continuation_u20_r14_top_momentum_k5_balanced,strategy,holdout,10,-0.12789460085375814,-0.4756278741351693,-0.37361966873487573,-0.3216108034760049,0.23113348504547854,-0.39766885773568317,0.18029739776951673,0.022704993289617063,0.20384286643646418,0.012215286389813982,0.7961571335635358,8.287322550710227,-0.1590212764417247,1.8773234200743494
volatility_shock_continuation_u20_r14_top_momentum_k5_balanced,strategy,development,25,0.5944445275085826,1.5404835036303044,1.3216250406426833,3.320980667830157,0.33985550737584647,-0.17899668410204184,0.16803503010399562,0.01972560818641629,0.1768773940029294,0.0900967153914564,0.8231226059970707,7.199846988041946,-0.1457818687581034,1.7837985769020253
volatility_shock_continuation_u20_r14_top_momentum_k5_balanced,strategy,holdout,25,-0.13869990525946096,-0.5291090349902453,-0.416562708876979,-0.3416486914663033,0.23126520975389353,-0.40597230056460176,0.18029739776951673,0.022704993289617063,0.20384286643646418,0.03053821597453495,0.7961571335635358,8.287322550710227,-0.16093234461939676,1.8773234200743494
volatility_shock_continuation_u20_r14_top_momentum_k5_balanced,strategy,development,50,0.5660134441105831,1.4874711406946373,1.2786562620904147,3.162144857319882,0.33986688644205204,-0.17899668410204184,0.16694033935413247,0.01972560818641629,0.1768773940029294,0.1801934307829128,0.8231226059970707,7.199846988041946,-0.14898676477162176,1.7837985769020253
volatility_shock_continuation_u20_r14_top_momentum_k5_balanced,strategy,holdout,50,-0.15643813250811156,-0.617766232381235,-0.488785798546712,-0.37284663752516434,0.2316132071268275,-0.4195776943209074,0.17843866171003717,0.022704993289617063,0.20384286643646418,0.0610764319490699,0.7961571335635358,8.287322550710227,-0.16411262926571968,1.8773234200743494
volatility_shock_continuation_u20_r14_top_momentum_k5_balanced,strategy,development,100,0.5105121269266932,1.3802982980930776,1.1881312619665805,2.8520758889346958,0.3401749831676033,-0.17899668410204161,0.16584564860426929,0.01972560818641629,0.1768773940029294,0.3603868615658256,0.8231226059970707,7.199846988041946,-0.1553784867824648,1.7837985769020253
volatility_shock_continuation_u20_r14_top_momentum_k5_balanced,strategy,holdout,100,-0.19092036486911368,-0.7926504335928785,-0.6301836142035812,-0.4281374678453668,0.2327879015389512,-0.4459323913647044,0.17843866171003717,0.022704993289617063,0.20384286643646418,0.1221528638981398,0.7961571335635358,8.287322550710227,-0.17045508987162472,1.8773234200743494
btc_buy_hold,benchmark,development,0,0.6694754454370575,1.121247667247388,1.4932051537142361,0.873655174396313,0.6503008302381711,-0.7662925431645939,0.5134099616858238,0.0,1.0,0.0,0.0,0.0,-0.3729069866897433,1.0
btc_buy_hold,benchmark,holdout,0,-0.21821159706853388,-0.33192186171076005,-0.46807366395507555,-0.42653704055876956,0.44404818879221286,-0.5115888570490235,0.49070631970260226,0.0,1.0,0.0,0.0,0.0,-0.17650783621446742,1.0
eth_buy_hold,benchmark,development,0,0.9149468368238329,1.201602180661991,1.6325594227112128,1.1537422380928313,0.8431784130084603,-0.7930253453633336,0.5238095238095238,0.0,1.0,0.0,0.0,0.0,-0.4484731448581286,1.0
eth_buy_hold,benchmark,holdout,0,-0.3510212516138813,-0.23851086051698195,-0.355579393263979,-0.5199146817004417,0.7232706923508007,-0.6751516430846409,0.49256505576208176,0.0,1.0,0.0,0.0,0.0,-0.32214578050827136,1.0
btc_eth_50_50,benchmark,development,0,0.8391754124633044,1.2218838168592847,1.595736110134128,1.100504646341974,0.7129619382103335,-0.7625369100009565,0.5270935960591133,0.0,1.0,0.0,0.0,0.0,-0.4105176007687238,2.0
btc_eth_50_50,benchmark,holdout,0,-0.27206512833669316,-0.284780677797741,-0.409522389245089,-0.45948250290703135,0.5616554100620985,-0.5921120534849638,0.5037174721189591,0.0,1.0,0.0,0.0,0.0,-0.2510281674199146,2.0
equal_weight_top10,benchmark,development,0,0.5591392521805687,0.9638403015784003,1.2140078645641013,0.616321131104789,0.8416745029177239,-0.9072206419051076,0.5435139573070608,0.009633278598795841,0.9999999999999999,0.0,1.1102230246251565e-16,3.516146688560482,-0.5482348553336509,10.0
equal_weight_top10,benchmark,holdout,0,-0.39027663837450566,-0.412801386519125,-0.6102824829688935,-0.6153442400088264,0.6642023675727488,-0.6342411499113205,0.49070631970260226,0.004089219330855019,0.9999999999999998,0.0,2.220446049250313e-16,1.492565055762082,-0.28247868822351674,10.0
pure_cross_sectional_momentum_top10,benchmark,development,25,0.515003185337727,0.9287143614281075,1.185578058973024,0.5522965192785032,0.8664607573827271,-0.9324758845312032,0.5276409414340448,0.07873127978696687,1.0,0.3596051204269712,0.0,28.736917122242907,-0.6733278752906771,6.422003284072249
pure_cross_sectional_momentum_top10,benchmark,holdout,25,-0.36814740744775953,-0.4121725357114311,-0.6247275744731627,-0.5621820205703263,0.6334263463599498,-0.6548544670181355,0.5018587360594795,0.07389552785276844,1.0,0.09938948496197354,0.0,26.971867666260483,-0.23818730812944722,6.496282527881041
