split,feature,target,observations,spearman_ic,bottom_quintile_target,top_quintile_target,top_minus_bottom
development,stablecoin_supply_change_7d_shock_z,target_btc_eth_1w,261,0.051150437699529566,0.015447104417766975,0.025384585420630063,0.009937481002863088
development,stablecoin_supply_change_7d_shock_z,target_btc_eth_2w,261,-0.021729065003610937,0.03831229909302122,0.03414132443255779,-0.004170974660463428
development,stablecoin_supply_change_7d_shock_z,target_top10_basket_1w,261,0.05129082552088606,0.01037925915001799,0.033491085447224775,0.023111826297206785
development,stablecoin_supply_change_7d_shock_z,target_csm_spread_1w,261,0.04003617686165725,0.004222667795570934,0.01890967978901947,0.014687011993448535
development,stablecoin_supply_change_7d_shock_z,target_reversal_spread_1w,261,-0.01956452777721533,0.003015259008205515,-0.03294491122284212,-0.03596017023104763
development,tvl_growth_30d_shock_z,target_btc_eth_1w,261,0.047308670972793114,0.015314620300368204,0.02011953276794071,0.0048049124675725065
development,tvl_growth_30d_shock_z,target_btc_eth_2w,261,0.03174249633844264,0.046825657161117064,0.04539482330671184,-0.0014308338544052265
development,tvl_growth_30d_shock_z,target_top10_basket_1w,261,0.06625157767563664,0.009040841259487238,0.022957084106957754,0.013916242847470516
development,tvl_growth_30d_shock_z,target_csm_spread_1w,261,0.09077962486754275,-0.005324251366194034,0.01679640564121474,0.022120657007408777
development,tvl_growth_30d_shock_z,target_reversal_spread_1w,261,-0.11092527723220012,0.019366556207118926,-0.025108115319536318,-0.04447467152665524
development,cross_sectional_dispersion_shock_z,target_btc_eth_1w,261,0.012799589635599112,-0.0014462771325347724,0.011247873593277403,0.012694150725812176
development,cross_sectional_dispersion_shock_z,target_btc_eth_2w,261,0.02920539143229325,0.0182357224144566,0.04144891201704445,0.023213189602587846
development,cross_sectional_dispersion_shock_z,target_top10_basket_1w,261,0.037407279918467075,-0.00809871283356657,0.008535204607161277,0.016633917440727848
development,cross_sectional_dispersion_shock_z,target_csm_spread_1w,261,0.0713851823354324,0.010203347066791584,0.02724235051624724,0.017039003449455657
development,cross_sectional_dispersion_shock_z,target_reversal_spread_1w,261,-0.06836481935192122,-0.006924527204196769,-0.037778468107429575,-0.030853940903232804
development,volatility_4h_7d_shock_z,target_btc_eth_1w,261,0.10273688757500286,0.005936269048334987,0.0407165540100346,0.03478028496169961
development,volatility_4h_7d_shock_z,target_btc_eth_2w,261,0.10945660463954754,0.030752003310276735,0.08449272427286639,0.05374072096258965
development,volatility_4h_7d_shock_z,target_top10_basket_1w,261,0.11289070673119107,-0.00031940854180895667,0.04639610401437983,0.04671551255618879
development,volatility_4h_7d_shock_z,target_csm_spread_1w,261,-0.026324066387240906,0.013092563077908395,0.01594478777520999,0.0028522246973015936
development,volatility_4h_7d_shock_z,target_reversal_spread_1w,261,0.02899076005156553,-0.005738386420233388,-0.01666888042104589,-0.010930494000812502
development,market_volume_change_7d_shock_z,target_btc_eth_1w,261,0.07129676500563575,0.017547196785927338,0.019862307135996366,0.002315110350069028
development,market_volume_change_7d_shock_z,target_btc_eth_2w,261,0.03770087944870783,0.046893206543685104,0.02236405544787024,-0.024529151095814862
development,market_volume_change_7d_shock_z,target_top10_basket_1w,261,0.06412416222892665,0.01969653484849781,0.020446741003539114,0.000750206155041306
development,market_volume_change_7d_shock_z,target_csm_spread_1w,261,-0.021055473437679283,0.013095308907524104,0.013068277846193296,-2.7031061330808764e-05
development,market_volume_change_7d_shock_z,target_reversal_spread_1w,261,-0.0790363185993615,0.012469579730661392,-0.025990905539339672,-0.038460485270001066
development,market_breadth_7d_shock_z,target_btc_eth_1w,261,0.048655179163207586,0.020996894987348847,0.04827990867135528,0.027283013684006433
development,market_breadth_7d_shock_z,target_btc_eth_2w,261,-0.013139085184360258,0.0419917136291798,0.04793806358809112,0.005946349958911322
development,market_breadth_7d_shock_z,target_top10_basket_1w,261,0.09187505483899273,0.011508182073931988,0.05092762731880748,0.03941944524487549
development,market_breadth_7d_shock_z,target_csm_spread_1w,261,0.01719953294051741,0.009874260877311651,0.011591032155981897,0.0017167712786702455
development,market_breadth_7d_shock_z,target_reversal_spread_1w,261,-0.03897719372844406,-0.005835701727830652,-0.0343315972843589,-0.02849589555652825
development,combined_liquidity_risk_shock_index,target_btc_eth_1w,261,0.01216109502500658,0.026782126563531735,0.029664333764268802,0.002882207200737067
development,combined_liquidity_risk_shock_index,target_btc_eth_2w,261,-0.05908167466472284,0.04906572611024077,0.038073461160618535,-0.010992264949622237
development,combined_liquidity_risk_shock_index,target_top10_basket_1w,261,-0.0026828922590965234,0.022367701926084317,0.03121532739637289,0.008847625470288573
development,combined_liquidity_risk_shock_index,target_csm_spread_1w,261,0.06956081559924676,0.0005304079401202984,0.022004848139969235,0.021474440199848937
development,combined_liquidity_risk_shock_index,target_reversal_spread_1w,261,-0.10040024027915578,0.0006449575315360358,-0.03014749603793709,-0.030792453569473126
holdout,stablecoin_supply_change_7d_shock_z,target_btc_eth_1w,76,0.1755023923444976,-0.03277097414141189,0.008062818695701336,0.04083379283711323
holdout,stablecoin_supply_change_7d_shock_z,target_btc_eth_2w,75,0.09419630156472261,-0.04945801773264217,-0.017493744676737488,0.031964273055904685
holdout,stablecoin_supply_change_7d_shock_z,target_top10_basket_1w,76,0.15420369104579632,-0.03232388777979044,0.009664766397143403,0.04198865417693384
holdout,stablecoin_supply_change_7d_shock_z,target_csm_spread_1w,76,-0.05399863294600137,0.01506146658516113,0.00936051699275345,-0.0057009495924076805
holdout,stablecoin_supply_change_7d_shock_z,target_reversal_spread_1w,76,0.11784005468215994,0.011600291063515032,0.033902200496984725,0.022301909433469692
holdout,tvl_growth_30d_shock_z,target_btc_eth_1w,76,0.15693779904306218,-0.010226957927642753,0.014907749424948512,0.025134707352591264
holdout,tvl_growth_30d_shock_z,target_btc_eth_2w,75,0.17715504978662874,-0.03191075964981756,0.025533625813791653,0.05744438546360921
holdout,tvl_growth_30d_shock_z,target_top10_basket_1w,76,0.09126452494873546,-0.010378886134905917,0.0026081125973486906,0.012986998732254607
holdout,tvl_growth_30d_shock_z,target_csm_spread_1w,76,0.07792207792207792,-0.0049264881262364325,0.010561789113983335,0.015488277240219768
holdout,tvl_growth_30d_shock_z,target_reversal_spread_1w,76,-0.13137388926862612,0.016584818761487326,-0.008178741773508372,-0.024763560534995697
holdout,cross_sectional_dispersion_shock_z,target_btc_eth_1w,76,-0.10419685577580316,0.004775722575689388,-0.02107576449606987,-0.025851487071759258
holdout,cross_sectional_dispersion_shock_z,target_btc_eth_2w,75,-0.13999999999999999,-0.00808403182080376,-0.03759035601962014,-0.029506324198816377
