feature,horizon,method,full_sample_ic,mean_ic,n_ic_observations,newey_west_t,p_value,ci_low,ci_high,ic_information_ratio,rolling_ic_stability,elastic_net_abs_coef,random_forest_importance,gradient_boosting_importance,feature_tier,tier_reason
momentum_7d,1w,cross_sectional,0.0125322122320051,0.0125322122320051,363,0.8858569702561736,0.3756946058768862,-0.01519589377096148,0.040260318234971684,0.31705799973611337,0.6923076923076923,0.007223085668796944,0.004660455058719954,0.013137777376465614,Tier 3,"unstable, insignificant, redundant, or no holdout support"
momentum_7d,2w,cross_sectional,0.02195904255510808,0.02195904255510808,362,1.5008942388900832,0.13338291851280992,-0.006717010888764065,0.05063509599898022,0.5533204083852193,0.7329376854599406,0.007223085668796944,0.004660455058719954,0.013137777376465614,Tier 3,"unstable, insignificant, redundant, or no holdout support"
momentum_7d,4w,cross_sectional,0.035595332428618724,0.035595332428618724,360,2.349776004458798,0.018784711581193214,0.005904480437745049,0.0652861844194924,0.9142248574326953,0.8776119402985074,0.007223085668796944,0.004660455058719954,0.013137777376465614,Tier 3,"unstable, insignificant, redundant, or no holdout support"
momentum_21d,1w,cross_sectional,0.0142833282363257,0.0142833282363257,363,0.9365123351643927,0.34900946456566606,-0.01560984272578891,0.044176499198440314,0.34061941731267253,0.7928994082840237,0.04921552747312697,0.0036316569715713733,0.005661868439920621,Tier 3,"unstable, insignificant, redundant, or no holdout support"
momentum_21d,2w,cross_sectional,0.039191148980673975,0.039191148980673975,362,2.089204934704068,0.03668927942129274,0.0024237401323880386,0.07595855782895991,0.9525426892169748,0.8664688427299704,0.04921552747312697,0.0036316569715713733,0.005661868439920621,Tier 3,"unstable, insignificant, redundant, or no holdout support"
momentum_21d,4w,cross_sectional,0.03296285034481628,0.03296285034481628,360,1.6805913396134828,0.09284231914621977,-0.005480276876521674,0.07140597756615424,0.8578042643991631,0.7432835820895523,0.04921552747312697,0.0036316569715713733,0.005661868439920621,Tier 3,"unstable, insignificant, redundant, or no holdout support"
momentum_63d,1w,cross_sectional,0.001748364997731736,0.001748364997731736,363,0.10655439329841285,0.9151425013895134,-0.03041169231644421,0.03390842231190768,0.03972291631068282,0.5325443786982249,0.0074004105591032356,0.00042280806707869725,0.0,Tier 3,"unstable, insignificant, redundant, or no holdout support"
momentum_63d,2w,cross_sectional,0.009405327993366576,0.009405327993366576,362,0.45382627108342494,0.6499538733624426,-0.03121471549373637,0.05002537148046952,0.21914968257034934,0.5608308605341247,0.0074004105591032356,0.00042280806707869725,0.0,Tier 3,"unstable, insignificant, redundant, or no holdout support"
momentum_63d,4w,cross_sectional,0.0022986080397071123,0.0022986080397071123,360,0.08537117422687367,0.9319663091143242,-0.05047414340275509,0.05507135948216932,0.05391123156225495,0.5044776119402985,0.0074004105591032356,0.00042280806707869725,0.0,Tier 3,"unstable, insignificant, redundant, or no holdout support"
momentum_126d,1w,cross_sectional,-0.008000322065900449,-0.008000322065900449,363,-0.4989657798317238,0.6178034917640796,-0.03942658792015036,0.02342594378834946,-0.1833442476377963,0.591715976331361,0.00015451602653613881,0.0018883322614127198,0.00132663344227088,Tier 3,"unstable, insignificant, redundant, or no holdout support"
momentum_126d,2w,cross_sectional,-0.00930418547180431,-0.00930418547180431,362,-0.4397719591509837,0.6601022786981856,-0.050771594080445376,0.032163223136836755,-0.213393315546319,0.5578635014836796,0.00015451602653613881,0.0018883322614127198,0.00132663344227088,Tier 3,"unstable, insignificant, redundant, or no holdout support"
momentum_126d,4w,cross_sectional,-0.018116676495159464,-0.018116676495159464,360,-0.6962210401366022,0.4862904131427581,-0.06911870585575672,0.032885352865437784,-0.4286016384581957,0.6149253731343284,0.00015451602653613881,0.0018883322614127198,0.00132663344227088,Tier 3,"unstable, insignificant, redundant, or no holdout support"
momentum_acceleration,1w,cross_sectional,0.0020913773657933515,0.0020913773657933515,363,0.13374807870502486,0.8936017853690039,-0.02855653680720454,0.032739291538791244,0.04992959481402332,0.5355029585798816,0.0,0.005216557285284393,0.0,Tier 3,"unstable, insignificant, redundant, or no holdout support"
momentum_acceleration,2w,cross_sectional,0.006210582517391954,0.006210582517391954,362,0.30032702812988493,0.763927718774569,-0.03432103999386528,0.04674220502864919,0.14887313711860956,0.5934718100890207,0.0,0.005216557285284393,0.0,Tier 3,"unstable, insignificant, redundant, or no holdout support"
momentum_acceleration,4w,cross_sectional,0.003459568037741413,0.003459568037741413,360,0.1346915702904036,0.8928557383871776,-0.046883251036632975,0.053802387112115796,0.08003325117907623,0.5462686567164179,0.0,0.005216557285284393,0.0,Tier 3,"unstable, insignificant, redundant, or no holdout support"
momentum_consistency_63d,1w,cross_sectional,0.02971137785555397,0.02971137785555397,363,2.0026151189051826,0.04521861580861497,0.0006322502452909863,0.05879050546581695,0.7497708453402643,0.7218934911242604,0.0,0.0013037381709375588,0.0,Tier 2,development/full-sample evidence exists but holdout or stability evidence is weaker
momentum_consistency_63d,2w,cross_sectional,0.0392879034457495,0.0392879034457495,362,2.107258442238752,0.03509518353313079,0.002745498769529703,0.0758303081219693,1.009519046360921,0.7685459940652819,0.0,0.0013037381709375588,0.0,Tier 2,development/full-sample evidence exists but holdout or stability evidence is weaker
momentum_consistency_63d,4w,cross_sectional,0.027011972085833915,0.027011972085833915,360,1.1868704533381667,0.23527872345458323,-0.017595647169769604,0.07161959134143743,0.7422139966160048,0.6179104477611941,0.0,0.0013037381709375588,0.0,Tier 2,development/full-sample evidence exists but holdout or stability evidence is weaker
distance_to_50dma,1w,cross_sectional,0.0296157059314954,0.0296157059314954,363,2.201237617423708,0.027719206532449192,0.003245638853653997,0.055985773009336805,0.7057744400438336,0.8372781065088757,0.10291787303132677,0.0038769368844361264,0.012696348726238395,Tier 2,development/full-sample evidence exists but holdout or stability evidence is weaker
distance_to_50dma,2w,cross_sectional,0.04686656721426575,0.04686656721426575,362,2.669573047719373,0.00759477511022455,0.012457142898854738,0.08127599152967677,1.1248031836691614,0.8397626112759644,0.10291787303132677,0.0038769368844361264,0.012696348726238395,Tier 2,development/full-sample evidence exists but holdout or stability evidence is weaker
distance_to_50dma,4w,cross_sectional,0.03680288343407538,0.03680288343407538,360,1.6472879808622272,0.09949886717302103,-0.006986455387562464,0.08059222225571322,0.949516034245624,0.6835820895522388,0.10291787303132677,0.0038769368844361264,0.012696348726238395,Tier 2,development/full-sample evidence exists but holdout or stability evidence is weaker
distance_to_200dma,1w,cross_sectional,0.007050755974904581,0.007050755974904581,360,0.43375430496356465,0.6644668672456469,-0.024809404380100576,0.038910916329909735,0.1600453178813265,0.5432835820895522,0.003977573596805044,0.0013938142104226003,0.002711979903275166,Tier 3,"unstable, insignificant, redundant, or no holdout support"
distance_to_200dma,2w,cross_sectional,0.0132057059739304,0.0132057059739304,359,0.6035575182811349,0.5461378638223313,-0.029678663659333436,0.056090075607194236,0.2928651741179346,0.5239520958083832,0.003977573596805044,0.0013938142104226003,0.002711979903275166,Tier 3,"unstable, insignificant, redundant, or no holdout support"
distance_to_200dma,4w,cross_sectional,-0.002323375170501636,-0.002323375170501636,357,-0.08683671600292124,0.9308013026905739,-0.05476450311493028,0.05011775277392701,-0.053931627938126364,0.5602409638554217,0.003977573596805044,0.0013938142104226003,0.002711979903275166,Tier 3,"unstable, insignificant, redundant, or no holdout support"
trend_slope_63d,1w,cross_sectional,0.00171936688260922,0.00171936688260922,363,0.10479195296879404,0.9165408954928815,-0.03043920058790648,0.033877934353124924,0.03906087956226604,0.5325443786982249,0.033954588488777956,0.00011602165839655591,0.0025499441099020126,Tier 3,"unstable, insignificant, redundant, or no holdout support"
trend_slope_63d,2w,cross_sectional,0.009380403804441223,0.009380403804441223,362,0.45264093561595553,0.6508073168774777,-0.03123808650440725,0.0499988941132897,0.21855699254726374,0.5608308605341247,0.033954588488777956,0.00011602165839655591,0.0025499441099020126,Tier 3,"unstable, insignificant, redundant, or no holdout support"
trend_slope_63d,4w,cross_sectional,0.002265191164184974,0.002265191164184974,360,0.08413047015295876,0.9329526988359917,-0.050507302246710434,0.055037684575080376,0.053122903215393986,0.5044776119402985,0.033954588488777956,0.00011602165839655591,0.0025499441099020126,Tier 3,"unstable, insignificant, redundant, or no holdout support"
trend_persistence_63d,1w,cross_sectional,0.02971137785555397,0.02971137785555397,363,2.0026151189051826,0.04521861580861497,0.0006322502452909863,0.05879050546581695,0.7497708453402643,0.7218934911242604,0.0,0.0011675856812278468,0.0,Tier 2,development/full-sample evidence exists but holdout or stability evidence is weaker
trend_persistence_63d,2w,cross_sectional,0.0392879034457495,0.0392879034457495,362,2.107258442238752,0.03509518353313079,0.002745498769529703,0.0758303081219693,1.009519046360921,0.7685459940652819,0.0,0.0011675856812278468,0.0,Tier 2,development/full-sample evidence exists but holdout or stability evidence is weaker
trend_persistence_63d,4w,cross_sectional,0.027011972085833915,0.027011972085833915,360,1.1868704533381667,0.23527872345458323,-0.017595647169769604,0.07161959134143743,0.7422139966160048,0.6179104477611941,0.0,0.0011675856812278468,0.0,Tier 2,development/full-sample evidence exists but holdout or stability evidence is weaker
realized_volatility_30d,1w,cross_sectional,-0.12362152342450679,-0.12362152342450679,363,-6.673650268542874,2.4951818389240543e-11,-0.15992821858564485,-0.08731482826336873,-2.537756590223307,0.9615384615384616,0.0,0.0061669666786545695,0.005021398933898243,Tier 2,development/full-sample evidence exists but holdout or stability evidence is weaker
realized_volatility_30d,2w,cross_sectional,-0.14278310335474695,-0.14278310335474695,362,-5.849364809393134,4.934537667367067e-09,-0.19062673966306923,-0.09493946704642467,-2.952625507672908,0.9169139465875371,0.0,0.0061669666786545695,0.005021398933898243,Tier 2,development/full-sample evidence exists but holdout or stability evidence is weaker
realized_volatility_30d,4w,cross_sectional,-0.19216331269349843,-0.19216331269349843,360,-6.3380461261320065,2.3269719484630969e-10,-0.2515885812043026,-0.13273804418269422,-4.137832323209876,0.9432835820895522,0.0,0.0061669666786545695,0.005021398933898243,Tier 2,development/full-sample evidence exists but holdout or stability evidence is weaker
downside_volatility_30d,1w,cross_sectional,-0.12585433767533402,-0.12585433767533402,363,-6.863820005310403,6.704414801106395e-12,-0.16179270751207325,-0.08991596783859479,-2.54123662623935,0.9911242603550295,0.05935380189006823,0.0035190653480185827,0.0018379824150333468,Tier 2,development/full-sample evidence exists but holdout or stability evidence is weaker
downside_volatility_30d,2w,cross_sectional,-0.15111746501450246,-0.15111746501450246,362,-6.239648357296717,4.385556362507259e-10,-0.19858652327995047,-0.10364840674905446,-3.0659565817771015,0.9792284866468842,0.05935380189006823,0.0035190653480185827,0.0018379824150333468,Tier 2,development/full-sample evidence exists but holdout or stability evidence is weaker
downside_volatility_30d,4w,cross_sectional,-0.2046440549904172,-0.2046440549904172,360,-6.964963211671525,3.284927885260913e-12,-0.26223263594789753,-0.1470554740329369,-4.414527927141622,1.0,0.05935380189006823,0.0035190653480185827,0.0018379824150333468,Tier 2,development/full-sample evidence exists but holdout or stability evidence is weaker
upside_volatility_30d,1w,cross_sectional,-0.10935581134005003,-0.10935581134005003,363,-6.262278920989669,3.793916292238464e-10,-0.14358255098719191,-0.07512907169290814,-2.4335413520359914,0.9644970414201184,0.0,0.002813392395109838,0.005556395744086195,Tier 2,development/full-sample evidence exists but holdout or stability evidence is weaker
upside_volatility_30d,2w,cross_sectional,-0.12271830657241084,-0.12271830657241084,362,-5.428442424323454,5.6847978324725545e-08,-0.1670271270554617,-0.07840948608935999,-2.7290927740564164,0.9287833827893175,0.0,0.002813392395109838,0.005556395744086195,Tier 2,development/full-sample evidence exists but holdout or stability evidence is weaker
upside_volatility_30d,4w,cross_sectional,-0.16841646600160531,-0.16841646600160531,360,-6.117637193003113,9.497298503191587e-10,-0.22237459770328344,-0.11445833429992719,-3.9377276914788126,0.9194029850746268,0.0,0.002813392395109838,0.005556395744086195,Tier 2,development/full-sample evidence exists but holdout or stability evidence is weaker
volatility_of_volatility_30d,1w,cross_sectional,-0.08351619609711362,-0.08351619609711362,363,-5.8221103387153965,5.810916192672266e-09,-0.11163173064166504,-0.05540066155256221,-2.1763297518284683,0.9497041420118343,0.01109229386741471,0.001406793321156455,0.0021257881424381455,Tier 2,development/full-sample evidence exists but holdout or stability evidence is weaker
