feature,horizon,bucket_type,method,mean_top_minus_bottom,positive_spread_fraction,mean_monotonicity,n_periods
momentum_7d,1w,quintile,cross_sectional,0.007457902191724224,0.5316804407713499,0.039669421487603294,363
momentum_7d,1w,decile,cross_sectional,0.017403645018926765,0.5316804407713499,0.03464396026379497,363
momentum_7d,2w,quintile,cross_sectional,0.01777324922507801,0.5469613259668509,0.07486187845303865,362
momentum_7d,2w,decile,cross_sectional,0.031133448239008887,0.5359116022099447,0.04038171772978402,362
momentum_7d,4w,quintile,cross_sectional,-39.755465214014336,0.5777777777777777,0.09944444444444443,360
momentum_7d,4w,decile,cross_sectional,-79.50747272179837,0.5583333333333333,0.07915824915824915,360
momentum_21d,1w,quintile,cross_sectional,0.010459731527373383,0.5537190082644629,0.06033057851239669,363
momentum_21d,1w,decile,cross_sectional,0.01636420720195751,0.5289256198347108,0.03344185658235245,363
momentum_21d,2w,quintile,cross_sectional,0.02145270734799453,0.5994475138121547,0.11685082872928176,362
momentum_21d,2w,decile,cross_sectional,0.033091317185224255,0.569060773480663,0.06957977565712373,362
momentum_21d,4w,quintile,cross_sectional,-39.74860314601386,0.5972222222222222,0.09805555555555555,360
momentum_21d,4w,decile,cross_sectional,-79.50411311934853,0.5527777777777778,0.06993265993265993,360
momentum_63d,1w,quintile,cross_sectional,0.004608475624851824,0.559228650137741,0.07327823691460053,363
momentum_63d,1w,decile,cross_sectional,-0.0009861344008156685,0.5344352617079889,0.032874196510560144,363
momentum_63d,2w,quintile,cross_sectional,0.00870792958571466,0.5607734806629834,0.06850828729281767,362
momentum_63d,2w,decile,cross_sectional,0.0029926795845770762,0.5220994475138122,0.015770969362129586,362
momentum_63d,4w,quintile,cross_sectional,-39.75675956200048,0.5444444444444444,0.0611111111111111,360
momentum_63d,4w,decile,cross_sectional,-79.54189689891695,0.5333333333333333,0.015117845117845115,360
momentum_126d,1w,quintile,cross_sectional,0.004486026439963377,0.5151515151515151,0.028925619834710738,363
momentum_126d,1w,decile,cross_sectional,0.0007190296191252415,0.49586776859504134,0.0031221303948576664,363
momentum_126d,2w,quintile,cross_sectional,0.010398580790591243,0.5386740331491713,0.02734806629834254,362
momentum_126d,2w,decile,cross_sectional,0.00869265030665779,0.5082872928176796,0.014465092918131594,362
momentum_126d,4w,quintile,cross_sectional,-39.75677048253494,0.5083333333333333,-0.006944444444444444,360
momentum_126d,4w,decile,cross_sectional,-79.53424340153737,0.525,0.0032323232323232345,360
momentum_acceleration,1w,quintile,cross_sectional,0.0029778240270337433,0.4793388429752066,-0.0038567493112947656,363
momentum_acceleration,1w,decile,cross_sectional,0.011187506544184765,0.512396694214876,0.0016528925619834689,363
momentum_acceleration,2w,quintile,cross_sectional,0.006317730040856192,0.47790055248618785,-0.0149171270718232,362
momentum_acceleration,2w,decile,cross_sectional,0.015764772564952897,0.511049723756906,0.011485015904905409,362
momentum_acceleration,4w,quintile,cross_sectional,0.00467493437796313,0.48333333333333334,-0.02638888888888889,360
momentum_acceleration,4w,decile,cross_sectional,0.0014306440625464168,0.4861111111111111,-0.002895622895622892,360
momentum_consistency_63d,1w,quintile,cross_sectional,0.003722085696654139,0.5399449035812672,0.022758620689655163,363
momentum_consistency_63d,1w,decile,cross_sectional,-0.01176410512416905,0.5592105263157895,0.016071428571428577,152
