feature,horizon,regime,method,full_period_ic,mean_ic,newey_west_t,p_value,n_ic_observations,sign_consistent_with_development,feature_tier,tier_reason,primary_ic,primary_t_stat,holdout_ic,stable_across_regimes,holdout_sign_consistent
momentum_7d,1w,2020_2021_bull,cross_sectional,0.02767057895691285,0.02767057895691285,1.0789020591373144,0.2806313908181064,105,True,Tier 3,"unstable, insignificant, redundant, or no holdout support",0.0125322122320051,0.8858569702561736,0.04341115947764147,True,True
momentum_7d,1w,2022_bear,cross_sectional,0.048337189126662815,0.048337189126662815,1.7200862872870235,0.08541675796485126,52,True,Tier 3,"unstable, insignificant, redundant, or no holdout support",0.0125322122320051,0.8858569702561736,0.04341115947764147,True,True
momentum_7d,1w,2023_2024_recovery,cross_sectional,-0.025072296124927698,-0.025072296124927698,-0.941410345986439,0.3464946137159315,104,False,Tier 3,"unstable, insignificant, redundant, or no holdout support",0.0125322122320051,0.8858569702561736,0.04341115947764147,True,True
momentum_7d,1w,2025_2026_holdout,cross_sectional,0.04341115947764147,0.04341115947764147,1.3719524512574677,0.1700782404392993,76,True,Tier 3,"unstable, insignificant, redundant, or no holdout support",0.0125322122320051,0.8858569702561736,0.04341115947764147,True,True
momentum_7d,2w,2020_2021_bull,cross_sectional,0.04681762979685896,0.04681762979685896,1.9830749088213202,0.047359062822513565,105,True,Tier 3,"unstable, insignificant, redundant, or no holdout support",0.0125322122320051,0.8858569702561736,0.04341115947764147,True,True
momentum_7d,2w,2022_bear,cross_sectional,0.06451706188548294,0.06451706188548294,1.6731559588251865,0.0942965977862662,52,True,Tier 3,"unstable, insignificant, redundant, or no holdout support",0.0125322122320051,0.8858569702561736,0.04341115947764147,True,True
momentum_7d,2w,2023_2024_recovery,cross_sectional,-0.022353961827646037,-0.022353961827646037,-0.8986230046404865,0.3688535010337557,104,False,Tier 3,"unstable, insignificant, redundant, or no holdout support",0.0125322122320051,0.8858569702561736,0.04341115947764147,True,True
momentum_7d,2w,2025_2026_holdout,cross_sectional,0.04445112781954886,0.04445112781954886,1.1916949612983858,0.2333808744866157,75,True,Tier 3,"unstable, insignificant, redundant, or no holdout support",0.0125322122320051,0.8858569702561736,0.04341115947764147,True,True
momentum_7d,4w,2020_2021_bull,cross_sectional,0.05927810471668736,0.05927810471668736,2.2649098785437713,0.023518210448517873,105,True,Tier 3,"unstable, insignificant, redundant, or no holdout support",0.0125322122320051,0.8858569702561736,0.04341115947764147,True,True
momentum_7d,4w,2022_bear,cross_sectional,0.04408617698091381,0.04408617698091381,0.9391489002690467,0.34765430060394387,52,True,Tier 3,"unstable, insignificant, redundant, or no holdout support",0.0125322122320051,0.8858569702561736,0.04341115947764147,True,True
