split,regime,days,fraction_days,gated_mean_daily_return,pure_momentum_mean_daily_return,pure_momentum_sharpe_in_regime,gated_sharpe_in_regime
development,risk_on,222,0.12151067323481117,0.005085078129154964,0.006374320571537057,1.2824747148244622,1.09387053333328
development,neutral,644,0.3524904214559387,0.0018523988939059463,0.002334867985091388,0.8216477086900934,0.8666582743925585
development,risk_off,961,0.5259989053092501,0.0004488575873131272,0.00011286305007989376,0.015157882453510062,0.5238724106090035
holdout,risk_on,73,0.13568773234200743,-0.00023022308473453844,0.00012354021324299856,0.01389284190387509,-0.24808399494803518
holdout,neutral,198,0.3680297397769517,-0.000525891279202292,-0.0013030565844094938,-0.9707619423704035,-0.522491392432643
holdout,risk_off,267,0.4962825278810409,0.0009068710558065893,-0.0002972927878809259,-0.17732671842020964,0.9912628981946391
