candidate,universe_size,rebalance_days,momentum_signal,top_k,threshold_set,risk_on_votes,neutral_policy,median_fold_sharpe,worst_fold_sharpe,positive_fold_fraction,development_sharpe,development_cagr,development_max_drawdown,development_turnover,development_exposure
u50_r7_momentum_126d_k10_balanced_v4_reduced_momentum,50,7,momentum_126d,10,balanced,4,reduced_momentum,1.2299243060877696,-0.6130139249539551,0.8,1.3118192778853845,0.6017832045279468,-0.6131124081738796,14.65056223638881,0.2912974097685051
u50_r7_volatility_adjusted_momentum_k3_strict_v3_reduced_momentum,50,7,volatility_adjusted_momentum,3,strict,3,reduced_momentum,1.2298820329759015,-1.0867746009770591,0.8,0.9339985323874954,0.37335981883537017,-0.5248318005014359,19.841860849303192,0.3208604184081022
u50_r7_volatility_adjusted_momentum_k3_strict_v4_btc_eth,50,7,volatility_adjusted_momentum,3,strict,4,btc_eth,1.2255740298541387,-0.5392080150964439,0.8,1.0505206013876685,0.23272425991570378,-0.20525377987523885,7.8023585609792505,0.14061302681992335
u30_r14_volatility_adjusted_momentum_k5_strict_v3_reduced_momentum,30,14,volatility_adjusted_momentum,5,strict,3,reduced_momentum,1.2228434761983682,-0.7868544350457501,0.8,1.2600297932396514,0.7511594390120069,-0.6027773491055137,12.342813234403602,0.4264265969101682
u50_r14_momentum_21d_k5_strict_v3_btc_eth,50,14,momentum_21d,5,strict,3,btc_eth,1.2228326381191863,-0.5109459317759449,0.8,1.4203063831219453,0.9001370038735059,-0.7125730378383963,12.069871856042294,0.4011261233895772
u10_r7_momentum_63d_k5_balanced_v3_reduced_momentum,10,7,momentum_63d,5,balanced,3,reduced_momentum,1.2221547244990554,-0.77507001199675,0.8666666666666667,1.1850709196986766,0.7678624794034961,-0.8718246029722756,20.893148166643158,0.6182904509023082
u30_r14_momentum_63d_k3_balanced_v3_btc_eth,30,14,momentum_63d,3,balanced,3,btc_eth,1.221902090490935,-1.1497122222838125,0.8,0.9816717134089056,0.43887937978977787,-0.6975711291234652,13.166638497707504,0.43180720093408437
u20_r7_momentum_21d_k5_balanced_v3_reduced_momentum,20,7,momentum_21d,5,balanced,3,reduced_momentum,1.2217698472700735,-0.8914052464285978,0.7333333333333333,1.212185311262614,0.8142042457565857,-0.8242005960250571,28.782868600318324,0.6174361009855701
u20_r7_momentum_63d_k10_balanced_v3_btc_eth,20,7,momentum_63d,10,balanced,3,btc_eth,1.221696521498115,-0.9689081631036116,0.8,1.0984255780201964,0.6430736434133315,-0.74865703776947,23.93760364256311,0.6216307247982764
u50_r14_momentum_21d_k5_strict_v4_btc_eth,50,14,momentum_21d,5,strict,4,btc_eth,1.221171549667311,-0.4669878594199725,0.6,0.9070568802555365,0.23286196269054193,-0.30192660869931176,5.1369511096986065,0.1564242456344792
u50_r14_momentum_21d_k10_strict_v4_btc_eth,50,14,momentum_21d,10,strict,4,btc_eth,1.221119279378206,-0.4925504618891357,0.7333333333333333,0.9722265162031447,0.24756543736338932,-0.30353811190224833,5.145919571447302,0.15756352384122146
u10_r7_momentum_126d_k5_strict_v3_btc_eth,10,7,momentum_126d,5,strict,3,btc_eth,1.2210963210860546,-0.5819512067161493,0.8,1.2647235144392497,0.7084275453889912,-0.7348402263113103,18.489720344638013,0.4393143005934012
u20_r7_momentum_63d_k3_balanced_v4_btc_eth,20,7,momentum_63d,3,balanced,4,btc_eth,1.2207078864956737,-0.2789633015780368,0.8666666666666667,1.4398016611030846,0.47763498567769225,-0.36493439464787514,12.091165711355709,0.2506975590759357
u30_r7_momentum_126d_k10_strict_v4_reduced_momentum,30,7,momentum_126d,10,strict,4,reduced_momentum,1.2203866141715094,-0.34347855865939797,0.8,1.1270014364530363,0.3267119634651767,-0.38060604817688204,8.644276819923371,0.15876436781609196
u30_r7_momentum_21d_k10_balanced_v3_reduced_momentum,30,7,momentum_21d,10,balanced,3,reduced_momentum,1.2193914703651199,-0.8941404718455424,0.8,1.100881581886097,0.6647893875367048,-0.7942737370961204,29.097992116011508,0.6132909483076754
u10_r7_volatility_adjusted_momentum_k5_strict_v3_reduced_momentum,10,7,volatility_adjusted_momentum,5,strict,3,reduced_momentum,1.2158201335968541,-0.7530820398919317,0.8,1.1594241546537825,0.6326967339585328,-0.7770047871531799,18.644092238796155,0.43681295202409964
u30_r14_momentum_126d_k10_strict_v4_reduced_momentum,30,14,momentum_126d,10,strict,4,reduced_momentum,1.2154759771876837,-0.6898914457058644,0.7333333333333333,1.0755868508969775,0.33423421795760655,-0.3884285053910579,5.785783258200045,0.17341124135903827
u10_r14_momentum_63d_k3_balanced_v3_reduced_momentum,10,14,momentum_63d,3,balanced,3,reduced_momentum,1.214457563268475,-0.7960630931759854,0.8666666666666667,1.121425178514364,0.5297009640987662,-0.6429888487589364,10.422681513687744,0.4206529317476563
u30_r14_momentum_63d_k10_strict_v3_btc_eth,30,14,momentum_63d,10,strict,3,btc_eth,1.21343516011557,-0.7206296251684604,0.8,1.2825997865614807,0.7146550672181402,-0.633251354214395,11.95108363971965,0.4266300474945737
u10_r7_momentum_126d_k5_balanced_v3_reduced_momentum,10,7,momentum_126d,5,balanced,3,reduced_momentum,1.2118509018818902,-0.5833933040441568,0.8666666666666667,1.1815299639315782,0.7580064827451838,-0.8317595309021076,18.57849516026903,0.6179175606153294
u20_r7_momentum_21d_k10_strict_v4_reduced_momentum,20,7,momentum_21d,10,strict,4,reduced_momentum,1.2114684150667618,-0.6340817431184164,0.8,1.1111129725835125,0.3189207769231748,-0.3937312082848624,9.77928297755884,0.1665469348659004
