name,category,split,cost_bps,CAGR,Sharpe,Sortino,Calmar,Annualized Volatility,Maximum Drawdown,Hit Rate,Turnover,Exposure,Transaction Costs,Cash Allocation,Annual Turnover,Worst Month,Best Month,Average Holdings
u10_r7_momentum_63d_k3_balanced_v4_reduced_momentum,strategy,development,10,0.6592842367069689,1.6072165199518353,1.6487189623771514,1.5275753316345009,0.3542341599809134,-0.4315886902949243,0.2681992337164751,0.03524547250184431,0.2499345565312582,0.06439347826086957,0.7500654434687418,12.864597463173173,-0.15079318389131557,0.6154734930160333,1.4526546250684182
u10_r7_momentum_63d_k3_balanced_v4_reduced_momentum,strategy,holdout,10,0.07528235849642173,0.4076961083900224,0.41787390253347745,0.29475327085349456,0.26271411356683166,-0.25540805120985544,0.2620817843866171,0.045442055923711006,0.2676297074511072,0.024447826086956524,0.7323702925488929,16.586350412154516,-0.0841778629636849,0.20111812165479903,1.5594795539033457
u10_r7_momentum_63d_k3_balanced_v4_reduced_momentum,strategy,development,25,0.6276168239076192,1.552869064878817,1.5971683447571654,1.381467188134163,0.3542050711794875,-0.45431178481719203,0.2676518883415435,0.03524547250184431,0.2499345565312582,0.1609836956521739,0.7500654434687418,12.864597463173173,-0.1520544058147758,0.6139464714426006,1.4526546250684182
u10_r7_momentum_63d_k3_balanced_v4_reduced_momentum,strategy,holdout,25,0.048824342899881135,0.3128540587490874,0.32202860902759683,0.1852844282933704,0.26283180224952024,-0.2635102331566419,0.26022304832713755,0.045442055923711006,0.2676297074511072,0.061119565217391314,0.7323702925488929,16.586350412154516,-0.08602460397627087,0.19650226366958834,1.5594795539033457
u10_r7_momentum_63d_k3_balanced_v4_reduced_momentum,strategy,development,50,0.5761250677094103,1.4619253541243054,1.510429170104904,1.173344076531213,0.35424011392845633,-0.4910111869423873,0.2654625068418172,0.03524547250184431,0.2499345565312582,0.3219673913043478,0.7500654434687418,12.864597463173173,-0.15415435975663094,0.6114030350306494,1.4526546250684182
u10_r7_momentum_63d_k3_balanced_v4_reduced_momentum,strategy,holdout,50,0.006125184406301498,0.15488952584419885,0.16029102799246497,0.021987161296368754,0.26316898995943516,-0.2785800460431921,0.26022304832713755,0.045442055923711006,0.2676297074511072,0.12223913043478263,0.7323702925488929,16.586350412154516,-0.08909707026946212,0.18884068792788278,1.5594795539033457
u10_r7_momentum_63d_k3_balanced_v4_reduced_momentum,strategy,development,100,0.47780040560449266,1.278962101586475,1.3329498752212183,0.8556988268890436,0.35462318713074154,-0.558374501156641,0.26108374384236455,0.03524547250184431,0.2499345565312582,0.6439347826086956,0.7500654434687418,12.864597463173173,-0.15834645790067292,0.6063221604958806,1.4526546250684182
u10_r7_momentum_63d_k3_balanced_v4_reduced_momentum,strategy,holdout,100,-0.0742716156096992,-0.15951026572260943,-0.16699366864090134,-0.21871102244154544,0.26436939213926575,-0.33958789447637305,0.2527881040892193,0.045442055923711006,0.2676297074511072,0.24447826086956526,0.7323702925488929,16.586350412154516,-0.09522164660989485,0.17363519512696968,1.5594795539033457
pure_cross_sectional_momentum,benchmark,development,25,0.5531137514311777,1.0584490126038997,1.4711453207633323,0.7615342891926155,0.5713835318562596,-0.7263149660898305,0.5385878489326765,0.046730012664384195,0.5999999999999999,0.2134393328445748,0.40000000000000013,17.05645462250023,-0.238157266650881,0.7683605125848227,3.247400109469075
pure_cross_sectional_momentum,benchmark,holdout,25,-0.2558222110198852,-0.5843350411149889,-0.8306642931965128,-0.5443577595134435,0.3812449674173296,-0.46995235495227183,0.49814126394052044,0.0421003717472119,0.6,0.056624999999999995,0.4,15.366635687732344,-0.17080147372237275,0.14902044172019124,3.1561338289962824
