candidate,target,model,feature_set,refit_date,split,parameters,cpcv_brier,train_rows,max_train_label_end
risk_adjusted_sign__gradient_boosting__derivatives_only,risk_adjusted_sign,gradient_boosting,derivatives_only,2025-01-01,holdout,"{""n_estimators"": 75, ""max_depth"": 2}",0.2580708040716798,4370,2024-12-31
risk_adjusted_sign__boosted_tree__derivatives_only,risk_adjusted_sign,boosted_tree,derivatives_only,2021-01-01,development,"{""n_estimators"": 75, ""max_depth"": 2}",0.27470143139362335,1448,2020-12-31
risk_adjusted_sign__boosted_tree__derivatives_only,risk_adjusted_sign,boosted_tree,derivatives_only,2022-01-01,development,"{""n_estimators"": 75, ""max_depth"": 2}",0.26282118260860443,2178,2021-12-31
risk_adjusted_sign__boosted_tree__derivatives_only,risk_adjusted_sign,boosted_tree,derivatives_only,2023-01-01,development,"{""n_estimators"": 75, ""max_depth"": 2}",0.2663872167468071,2908,2022-12-31
risk_adjusted_sign__boosted_tree__derivatives_only,risk_adjusted_sign,boosted_tree,derivatives_only,2024-01-01,development,"{""n_estimators"": 75, ""max_depth"": 2}",0.2587878704071045,3638,2023-12-31
risk_adjusted_sign__boosted_tree__derivatives_only,risk_adjusted_sign,boosted_tree,derivatives_only,2025-01-01,holdout,"{""n_estimators"": 75, ""max_depth"": 2}",0.25633616745471954,4370,2024-12-31
risk_adjusted_sign__logistic__price_derivatives,risk_adjusted_sign,logistic,price_derivatives,2021-01-01,development,"{""C"": 0.1}",0.29385581565510144,1448,2020-12-31
risk_adjusted_sign__logistic__price_derivatives,risk_adjusted_sign,logistic,price_derivatives,2022-01-01,development,"{""C"": 0.1}",0.25627931500047396,2178,2021-12-31
risk_adjusted_sign__logistic__price_derivatives,risk_adjusted_sign,logistic,price_derivatives,2023-01-01,development,"{""C"": 0.1}",0.26253240223405194,2908,2022-12-31
risk_adjusted_sign__logistic__price_derivatives,risk_adjusted_sign,logistic,price_derivatives,2024-01-01,development,"{""C"": 0.1}",0.2644732629761641,3638,2023-12-31
risk_adjusted_sign__logistic__price_derivatives,risk_adjusted_sign,logistic,price_derivatives,2025-01-01,holdout,"{""C"": 0.1}",0.26027104012226754,4370,2024-12-31
risk_adjusted_sign__elastic_net__price_derivatives,risk_adjusted_sign,elastic_net,price_derivatives,2021-01-01,development,"{""C"": 0.1, ""l1_ratio"": 0.25}",0.2899586129099782,1448,2020-12-31
risk_adjusted_sign__elastic_net__price_derivatives,risk_adjusted_sign,elastic_net,price_derivatives,2022-01-01,development,"{""C"": 0.1, ""l1_ratio"": 0.25}",0.2563492471310927,2178,2021-12-31
risk_adjusted_sign__elastic_net__price_derivatives,risk_adjusted_sign,elastic_net,price_derivatives,2023-01-01,development,"{""C"": 0.1, ""l1_ratio"": 0.25}",0.2615325846171642,2908,2022-12-31
risk_adjusted_sign__elastic_net__price_derivatives,risk_adjusted_sign,elastic_net,price_derivatives,2024-01-01,development,"{""C"": 0.1, ""l1_ratio"": 0.25}",0.26369516243210306,3638,2023-12-31
risk_adjusted_sign__elastic_net__price_derivatives,risk_adjusted_sign,elastic_net,price_derivatives,2025-01-01,holdout,"{""C"": 0.1, ""l1_ratio"": 0.25}",0.25955540678498074,4370,2024-12-31
risk_adjusted_sign__random_forest__price_derivatives,risk_adjusted_sign,random_forest,price_derivatives,2021-01-01,development,"{""max_depth"": 4, ""min_samples_leaf"": 20}",0.28251913887118774,1448,2020-12-31
risk_adjusted_sign__random_forest__price_derivatives,risk_adjusted_sign,random_forest,price_derivatives,2022-01-01,development,"{""max_depth"": 4, ""min_samples_leaf"": 20}",0.2577431661757817,2178,2021-12-31
risk_adjusted_sign__random_forest__price_derivatives,risk_adjusted_sign,random_forest,price_derivatives,2023-01-01,development,"{""max_depth"": 4, ""min_samples_leaf"": 20}",0.26039310584528336,2908,2022-12-31
risk_adjusted_sign__random_forest__price_derivatives,risk_adjusted_sign,random_forest,price_derivatives,2024-01-01,development,"{""max_depth"": 4, ""min_samples_leaf"": 20}",0.25348532534484847,3638,2023-12-31
risk_adjusted_sign__random_forest__price_derivatives,risk_adjusted_sign,random_forest,price_derivatives,2025-01-01,holdout,"{""max_depth"": 4, ""min_samples_leaf"": 20}",0.25555689169173024,4370,2024-12-31
risk_adjusted_sign__gradient_boosting__price_derivatives,risk_adjusted_sign,gradient_boosting,price_derivatives,2021-01-01,development,"{""n_estimators"": 75, ""max_depth"": 2}",0.2881883598903356,1448,2020-12-31
risk_adjusted_sign__gradient_boosting__price_derivatives,risk_adjusted_sign,gradient_boosting,price_derivatives,2022-01-01,development,"{""n_estimators"": 75, ""max_depth"": 2}",0.25471964275419245,2178,2021-12-31
risk_adjusted_sign__gradient_boosting__price_derivatives,risk_adjusted_sign,gradient_boosting,price_derivatives,2023-01-01,development,"{""n_estimators"": 75, ""max_depth"": 2}",0.26475483600148914,2908,2022-12-31
risk_adjusted_sign__gradient_boosting__price_derivatives,risk_adjusted_sign,gradient_boosting,price_derivatives,2024-01-01,development,"{""n_estimators"": 75, ""max_depth"": 2}",0.2584865003919738,3638,2023-12-31
risk_adjusted_sign__gradient_boosting__price_derivatives,risk_adjusted_sign,gradient_boosting,price_derivatives,2025-01-01,holdout,"{""n_estimators"": 75, ""max_depth"": 2}",0.2556490149425293,4370,2024-12-31
risk_adjusted_sign__boosted_tree__price_derivatives,risk_adjusted_sign,boosted_tree,price_derivatives,2021-01-01,development,"{""n_estimators"": 75, ""max_depth"": 2}",0.2906276285648346,1448,2020-12-31
risk_adjusted_sign__boosted_tree__price_derivatives,risk_adjusted_sign,boosted_tree,price_derivatives,2022-01-01,development,"{""n_estimators"": 75, ""max_depth"": 2}",0.2535327635705471,2178,2021-12-31
risk_adjusted_sign__boosted_tree__price_derivatives,risk_adjusted_sign,boosted_tree,price_derivatives,2023-01-01,development,"{""n_estimators"": 75, ""max_depth"": 2}",0.2639446072280407,2908,2022-12-31
risk_adjusted_sign__boosted_tree__price_derivatives,risk_adjusted_sign,boosted_tree,price_derivatives,2024-01-01,development,"{""n_estimators"": 75, ""max_depth"": 2}",0.2564208060503006,3638,2023-12-31
risk_adjusted_sign__boosted_tree__price_derivatives,risk_adjusted_sign,boosted_tree,price_derivatives,2025-01-01,holdout,"{""n_estimators"": 75, ""max_depth"": 2}",0.25540999323129654,4370,2024-12-31
drawdown_5__logistic__price_only,drawdown_5,logistic,price_only,2021-01-01,development,"{""C"": 0.1}",0.2735731963325725,1448,2020-12-31
drawdown_5__logistic__price_only,drawdown_5,logistic,price_only,2022-01-01,development,"{""C"": 0.1}",0.25837931506660156,2178,2021-12-31
drawdown_5__logistic__price_only,drawdown_5,logistic,price_only,2023-01-01,development,"{""C"": 0.1}",0.251108349655216,2908,2022-12-31
drawdown_5__logistic__price_only,drawdown_5,logistic,price_only,2024-01-01,development,"{""C"": 0.1}",0.24797203925858846,3638,2023-12-31
drawdown_5__logistic__price_only,drawdown_5,logistic,price_only,2025-01-01,holdout,"{""C"": 0.1}",0.2480418030419888,4370,2024-12-31
