target,model,feature_set,split,observations,positive_rate,auc,brier,precision,recall
drawdown_10,boosted_tree,derivatives_only,development,2922,0.1464750171115674,0.4790637717437738,0.1351682814041013,0.3,0.056074766355140186
drawdown_10,boosted_tree,derivatives_only,holdout,1062,0.14030131826741996,0.42319001448135435,0.1231652935145304,0.0,0.0
drawdown_10,boosted_tree,price_derivatives,development,2922,0.1464750171115674,0.49747478059492317,0.13063046576908863,0.27419354838709675,0.0397196261682243
drawdown_10,boosted_tree,price_derivatives,holdout,1062,0.14030131826741996,0.550192227114682,0.12229978529531305,0.0,0.0
drawdown_10,elastic_net,derivatives_only,development,2922,0.1464750171115674,0.5421684941054793,0.23493586315007553,0.20346320346320346,0.4392523364485981
drawdown_10,elastic_net,derivatives_only,holdout,1062,0.14030131826741996,0.4148944772378103,0.21340694171552024,0.1276595744680851,0.1610738255033557
drawdown_10,elastic_net,price_derivatives,development,2922,0.1464750171115674,0.5339843662172391,0.23369022564429942,0.2108667529107374,0.3808411214953271
drawdown_10,elastic_net,price_derivatives,holdout,1062,0.14030131826741996,0.4623374523107684,0.19805203387837705,0.1456953642384106,0.1476510067114094
drawdown_10,elastic_net,price_only,development,2922,0.1464750171115674,0.5431137533819484,0.22824058307458073,0.21660649819494585,0.2803738317757009
drawdown_10,elastic_net,price_only,holdout,1062,0.14030131826741996,0.5182707645714034,0.2130952684577593,0.135678391959799,0.18120805369127516
drawdown_10,gradient_boosting,derivatives_only,development,2922,0.1464750171115674,0.4826921059140067,0.13638245058797388,0.3161764705882353,0.10046728971962617
drawdown_10,gradient_boosting,derivatives_only,holdout,1062,0.14030131826741996,0.41299058344421,0.12300880055382339,0.0,0.0
drawdown_10,gradient_boosting,price_derivatives,development,2922,0.1464750171115674,0.5027350688381087,0.1338818661229911,0.29545454545454547,0.0911214953271028
drawdown_10,gradient_boosting,price_derivatives,holdout,1062,0.14030131826741996,0.5219315333328434,0.12238982860943487,0.0,0.0
drawdown_10,logistic,derivatives_only,development,2922,0.1464750171115674,0.5404466045612273,0.23676814231140167,0.19831223628691982,0.4392523364485981
drawdown_10,logistic,derivatives_only,holdout,1062,0.14030131826741996,0.4155634128950212,0.21232797232977402,0.12290502793296089,0.1476510067114094
drawdown_10,logistic,price_derivatives,development,2922,0.1464750171115674,0.5347638069685001,0.23536737280912096,0.21166032953105196,0.3901869158878505
drawdown_10,logistic,price_derivatives,holdout,1062,0.14030131826741996,0.45960290215162053,0.19717542288206893,0.14965986394557823,0.1476510067114094
drawdown_10,logistic,price_only,development,2922,0.1464750171115674,0.5414461998516065,0.22852348700208888,0.21201413427561838,0.2803738317757009
drawdown_10,logistic,price_only,holdout,1062,0.14030131826741996,0.5173445459691114,0.2130595854731199,0.1407035175879397,0.18791946308724833
drawdown_10,random_forest,derivatives_only,development,2922,0.1464750171115674,0.5001995443269454,0.19802036171614354,0.14533965244865718,0.21495327102803738
drawdown_10,random_forest,derivatives_only,holdout,1062,0.14030131826741996,0.4856252343112535,0.1749057223012688,0.1111111111111111,0.020134228187919462
drawdown_10,random_forest,price_derivatives,development,2922,0.1464750171115674,0.5129066769592817,0.18415096736553677,0.2400990099009901,0.2266355140186916
drawdown_10,random_forest,price_derivatives,holdout,1062,0.14030131826741996,0.5703301307732456,0.1622339655239029,0.16923076923076924,0.0738255033557047
drawdown_15,boosted_tree,derivatives_only,development,2922,0.06262833675564682,0.41469105433158365,0.06996012499227204,0.0,0.0
drawdown_15,boosted_tree,derivatives_only,holdout,1062,0.051789077212806026,0.4865306490927147,0.04940431634601928,0.0,0.0
drawdown_15,boosted_tree,price_derivatives,development,2922,0.06262833675564682,0.4298266089694097,0.06290174654882766,0.0,0.0
drawdown_15,boosted_tree,price_derivatives,holdout,1062,0.051789077212806026,0.5724203304143721,0.049148049606195864,0.0,0.0
drawdown_15,elastic_net,derivatives_only,development,2922,0.06262833675564682,0.4251202524953266,0.24067610285853183,0.05625,0.29508196721311475
drawdown_15,elastic_net,derivatives_only,holdout,1062,0.051789077212806026,0.3979597363907196,0.20988246266746416,0.050746268656716415,0.3090909090909091
drawdown_15,elastic_net,price_derivatives,development,2922,0.06262833675564682,0.4251362130090157,0.24602839500235288,0.055741360089186176,0.273224043715847
drawdown_15,elastic_net,price_derivatives,holdout,1062,0.051789077212806026,0.47234810869368965,0.19470058160586717,0.057034220532319393,0.2727272727272727
drawdown_15,elastic_net,price_only,development,2922,0.06262833675564682,0.49730566578285323,0.2265524850858996,0.08610271903323263,0.3114754098360656
drawdown_15,elastic_net,price_only,holdout,1062,0.051789077212806026,0.5803376365441907,0.2031929214832042,0.04814814814814815,0.23636363636363636
drawdown_15,gradient_boosting,derivatives_only,development,2922,0.06262833675564682,0.45696945756199164,0.07178044916427327,0.10144927536231885,0.03825136612021858
drawdown_15,gradient_boosting,derivatives_only,holdout,1062,0.051789077212806026,0.513397129186603,0.049469075161260354,0.0,0.0
drawdown_15,gradient_boosting,price_derivatives,development,2922,0.06262833675564682,0.4473233221011218,0.0688506235746991,0.022222222222222223,0.00546448087431694
drawdown_15,gradient_boosting,price_derivatives,holdout,1062,0.051789077212806026,0.5656044055249616,0.04926824023610653,0.0,0.0
drawdown_15,logistic,derivatives_only,development,2922,0.06262833675564682,0.42403094743604325,0.2344751920622935,0.061269146608315096,0.30601092896174864
drawdown_15,logistic,derivatives_only,holdout,1062,0.051789077212806026,0.4022930396316692,0.21573862906311755,0.05172413793103448,0.32727272727272727
drawdown_15,logistic,price_derivatives,development,2922,0.06262833675564682,0.4352332329816035,0.24497786488157827,0.05889281507656066,0.273224043715847
drawdown_15,logistic,price_derivatives,holdout,1062,0.051789077212806026,0.4660106527038007,0.1991240770476212,0.05474452554744526,0.2727272727272727
drawdown_15,logistic,price_only,development,2922,0.06262833675564682,0.49774857003772666,0.2267160083382011,0.08532934131736528,0.3114754098360656
drawdown_15,logistic,price_only,holdout,1062,0.051789077212806026,0.5791820890132707,0.2028883690056498,0.048507462686567165,0.23636363636363636
drawdown_15,random_forest,derivatives_only,development,2922,0.06262833675564682,0.4208538076798002,0.14845103966246323,0.05603448275862069,0.14207650273224043
drawdown_15,random_forest,derivatives_only,holdout,1062,0.051789077212806026,0.48583551503114564,0.1260421389422811,0.06862745098039216,0.12727272727272726
drawdown_15,random_forest,price_derivatives,development,2922,0.06262833675564682,0.4222134439396932,0.12571195162092447,0.07260726072607261,0.12021857923497267
drawdown_15,random_forest,price_derivatives,holdout,1062,0.051789077212806026,0.5634558093346574,0.1116568264148955,0.07352941176470588,0.09090909090909091
drawdown_5,boosted_tree,derivatives_only,development,2922,0.34770704996577684,0.48403972949079155,0.23673939461960442,0.45565749235474007,0.1466535433070866
drawdown_5,boosted_tree,derivatives_only,holdout,1062,0.3370998116760829,0.40994000761808025,0.2305111458937378,0.0,0.0
drawdown_5,boosted_tree,price_derivatives,development,2922,0.34770704996577684,0.5614909609934645,0.22801498715171065,0.4343891402714932,0.09448818897637795
drawdown_5,boosted_tree,price_derivatives,holdout,1062,0.3370998116760829,0.5605300120619604,0.22739812527491618,0.1111111111111111,0.002793296089385475
drawdown_5,elastic_net,derivatives_only,development,2922,0.34770704996577684,0.5276380638018359,0.2547985047121015,0.4113680154142582,0.4202755905511811
drawdown_5,elastic_net,derivatives_only,holdout,1062,0.3370998116760829,0.42512061960385983,0.24828694899859083,0.29343629343629346,0.2122905027932961
drawdown_5,elastic_net,price_derivatives,development,2922,0.34770704996577684,0.5461204154307574,0.2542183610239055,0.44372294372294374,0.4035433070866142
drawdown_5,elastic_net,price_derivatives,holdout,1062,0.3370998116760829,0.5214298184357542,0.23771573122191594,0.36160714285714285,0.22625698324022347
drawdown_5,elastic_net,price_only,development,2922,0.34770704996577684,0.579503908089663,0.24047428121917994,0.44772447724477243,0.35826771653543305
drawdown_5,elastic_net,price_only,holdout,1062,0.3370998116760829,0.53880062849162,0.2393061148392588,0.3771626297577855,0.30446927374301674
