candidate,overlay_type,fold,test_groups,fold_sharpe
expansion_sizing_eth_tilt_e40_l50_7d,expansion_sizing_eth_tilt,13,"3,5",0.8216338850875271
expansion_sizing_eth_tilt_e40_l50_7d,expansion_sizing_eth_tilt,14,"4,5",0.4791357515805974
expansion_sizing_eth_tilt_e40_l60_7d,expansion_sizing_eth_tilt,0,"0,1",1.576625273318571
expansion_sizing_eth_tilt_e40_l60_7d,expansion_sizing_eth_tilt,1,"0,2",-0.09852598104296663
expansion_sizing_eth_tilt_e40_l60_7d,expansion_sizing_eth_tilt,2,"0,3",1.2193301404052888
expansion_sizing_eth_tilt_e40_l60_7d,expansion_sizing_eth_tilt,3,"0,4",1.0047127481516187
expansion_sizing_eth_tilt_e40_l60_7d,expansion_sizing_eth_tilt,4,"0,5",0.9240814879300447
expansion_sizing_eth_tilt_e40_l60_7d,expansion_sizing_eth_tilt,5,"1,2",0.1775455939579159
expansion_sizing_eth_tilt_e40_l60_7d,expansion_sizing_eth_tilt,6,"1,3",1.53434623855745
expansion_sizing_eth_tilt_e40_l60_7d,expansion_sizing_eth_tilt,7,"1,4",1.4283240400776784
expansion_sizing_eth_tilt_e40_l60_7d,expansion_sizing_eth_tilt,8,"1,5",1.330120342026932
expansion_sizing_eth_tilt_e40_l60_7d,expansion_sizing_eth_tilt,9,"2,3",-0.24365045093826865
expansion_sizing_eth_tilt_e40_l60_7d,expansion_sizing_eth_tilt,10,"2,4",-1.0708504428681744
expansion_sizing_eth_tilt_e40_l60_7d,expansion_sizing_eth_tilt,11,"2,5",-1.1010658574640833
expansion_sizing_eth_tilt_e40_l60_7d,expansion_sizing_eth_tilt,12,"3,4",0.9325404457645924
expansion_sizing_eth_tilt_e40_l60_7d,expansion_sizing_eth_tilt,13,"3,5",0.8423600751554223
expansion_sizing_eth_tilt_e40_l60_7d,expansion_sizing_eth_tilt,14,"4,5",0.5188521994699256
expansion_sizing_t50_7d,expansion_probability_sizing,0,"0,1",1.395225838313747
expansion_sizing_t50_7d,expansion_probability_sizing,1,"0,2",-0.23518586121517263
expansion_sizing_t50_7d,expansion_probability_sizing,2,"0,3",1.1038530380324008
expansion_sizing_t50_7d,expansion_probability_sizing,3,"0,4",0.8382899797500293
expansion_sizing_t50_7d,expansion_probability_sizing,4,"0,5",0.7134154719720098
expansion_sizing_t50_7d,expansion_probability_sizing,5,"1,2",-0.11717237629881862
expansion_sizing_t50_7d,expansion_probability_sizing,6,"1,3",1.4276863378747484
expansion_sizing_t50_7d,expansion_probability_sizing,7,"1,4",1.3834874162175916
expansion_sizing_t50_7d,expansion_probability_sizing,8,"1,5",1.188899148801648
expansion_sizing_t50_7d,expansion_probability_sizing,9,"2,3",-0.2577843921497747
expansion_sizing_t50_7d,expansion_probability_sizing,10,"2,4",-1.16994395583891
expansion_sizing_t50_7d,expansion_probability_sizing,11,"2,5",-1.2730689735296978
