candidate,overlay_type,description,rebalance_days,expansion_threshold,leadership_threshold,median_fold_sharpe,worst_fold_sharpe,positive_fold_fraction,development_sharpe,development_cagr,development_max_drawdown,development_turnover,development_exposure,turnover_penalty,exposure_penalty,selection_score
expansion_filter_t60_14d,expansion_threshold_filter,Macro gate plus expansion threshold filter.,14,0.6,0.4,1.250604421040772,-1.0408816230586198,0.8666666666666667,1.098977139756319,0.14373778117451108,-0.22969754549485288,2.397372742200328,0.11302681992337164,0.0,0.018486590038314175,1.3185640919044697
expansion_sizing_eth_tilt_e40_l60_7d,expansion_sizing_eth_tilt,Macro gate plus expansion sizing and ETH leadership tilt.,7,0.4,0.6,0.9240814879300447,-1.1010658574640833,0.7333333333333333,0.6180215086720994,0.19724084521654173,-0.7533149578027418,11.976874657909141,0.5268199233716475,0.0,0.0,0.9421483568973573
expansion_sizing_t40_7d,expansion_probability_sizing,Macro gate plus expansion probability sizing.,7,0.4,0.4,0.9092033186241086,-1.1158852624089566,0.7333333333333333,0.615523217329603,0.19481047590815193,-0.7576413757118938,10.987958401751504,0.5268199233716475,0.0,0.0,0.9235653363552029
expansion_filter_t60_7d,expansion_threshold_filter,Macro gate plus expansion threshold filter.,7,0.6,0.4,0.9757959931452584,-1.3297080711373244,0.7333333333333333,0.7324067409459801,0.09322951920031297,-0.2620336898274368,3.2963875205254514,0.10440613026819924,0.0,0.022796934865900377,0.9139053738283602
expansion_sizing_eth_tilt_e40_l50_7d,expansion_sizing_eth_tilt,Macro gate plus expansion sizing and ETH leadership tilt.,7,0.4,0.5,0.920256603546028,-1.1275576738266986,0.7333333333333333,0.6263981894641644,0.20332707687578666,-0.7486306574635117,12.366447728516693,0.5268199233716475,0.01832238642583466,0.0,0.913378131996852
eth_leadership_tilt_l60_7d,eth_leadership_tilt,Macro gate plus ETH leadership tilt.,7,0.4,0.6,0.9014096694597222,-1.1288742913684742,0.7333333333333333,0.6294754428137754,0.20220558504512676,-0.7409852742769167,11.936918445539135,0.49808429118773945,0.0,0.0,0.9125244299509371
eth_leadership_tilt_l50_7d,eth_leadership_tilt,Macro gate plus ETH leadership tilt.,7,0.4,0.5,0.8970276133761713,-1.1612825059152607,0.7333333333333333,0.6370237807374969,0.207748715862476,-0.7341752777384571,12.226600985221674,0.49808429118773945,0.011330049261083719,0.0,0.8887102709696058
expansion_sizing_eth_tilt_e40_l40_7d,expansion_sizing_eth_tilt,Macro gate plus expansion sizing and ETH leadership tilt.,7,0.4,0.4,0.8902195051079895,-1.1785439817449324,0.7333333333333333,0.6131219669015027,0.19503594256721857,-0.7587113980217994,12.11672140120416,0.5268199233716475,0.0058360700602079875,0.0,0.8830807729448817
expansion_sizing_eth_tilt_e40_l50_14d,expansion_sizing_eth_tilt,Macro gate plus expansion sizing and ETH leadership tilt.,14,0.4,0.5,0.846789500766235,-1.2006459119871056,0.8,0.7666878506831931,0.29000575959182084,-0.7486801467176698,8.081143951833607,0.5191570881226054,0.0,0.0,0.8666280227694587
eth_leadership_tilt_l40_7d,eth_leadership_tilt,Macro gate plus ETH leadership tilt.,7,0.4,0.4,0.8700196488256674,-1.2077549136462526,0.7333333333333333,0.6255224599159466,0.2011586837224404,-0.743095272535627,11.976874657909141,0.49808429118773945,0.0,0.0,0.8614142537474375
expansion_sizing_eth_tilt_e60_l50_14d,expansion_sizing_eth_tilt,Macro gate plus expansion sizing and ETH leadership tilt.,14,0.6,0.5,0.6903573260966999,-0.80431992921436,0.8666666666666667,0.7964884932928096,0.25126868777020306,-0.5965623252370826,6.65270935960591,0.38697318007662834,0.0,0.0,0.8359440104597765
expansion_sizing_eth_tilt_e40_l60_14d,expansion_sizing_eth_tilt,Macro gate plus expansion sizing and ETH leadership tilt.,14,0.4,0.6,0.8031982226198469,-1.1979525026136397,0.8,0.7437136769107643,0.2734687779429654,-0.754999177003201,7.761494252873562,0.5191570881226054,0.0,0.0,0.823710096966437
expansion_sizing_eth_tilt_e50_l50_14d,expansion_sizing_eth_tilt,Macro gate plus expansion sizing and ETH leadership tilt.,14,0.5,0.5,0.7986491203254437,-1.1927247082490489,0.8,0.7209427896120272,0.251309828385172,-0.712599457883786,7.122194854953474,0.47126436781609193,0.0,0.0,0.8204679432631815
expansion_filter_t40_14d,expansion_threshold_filter,Macro gate plus expansion threshold filter.,14,0.4,0.4,0.5906931636191481,-0.4738352670636325,0.8666666666666667,0.5824476114251149,0.14284244657501866,-0.5567945828919101,5.893541324575807,0.31226053639846746,0.0,0.0,0.8189010135199066
expansion_sizing_t40_14d,expansion_probability_sizing,Macro gate plus expansion probability sizing.,14,0.4,0.4,0.8012440788869178,-1.2188784799314591,0.8,0.7455916551630194,0.27088912577742685,-0.754044214884064,7.192118226600985,0.5191570881226054,0.0,0.0,0.8165244589040531
expansion_sizing_eth_tilt_e40_l40_14d,expansion_sizing_eth_tilt,Macro gate plus expansion sizing and ETH leadership tilt.,14,0.4,0.4,0.7854108090951286,-1.2267548125716485,0.8,0.7612300094683363,0.28920569148356967,-0.7620473916891596,7.721538040503557,0.5191570881226054,0.0,0.0,0.7987221059522165
expansion_sizing_eth_tilt_e60_l60_14d,expansion_sizing_eth_tilt,Macro gate plus expansion sizing and ETH leadership tilt.,14,0.6,0.6,0.6409434493952952,-0.7960721475601515,0.8666666666666667,0.7729632324872091,0.23822741924865953,-0.6104732212202219,6.402983032293377,0.38697318007662834,0.0,0.0,0.7885920791719241
expansion_sizing_eth_tilt_e50_l60_14d,expansion_sizing_eth_tilt,Macro gate plus expansion sizing and ETH leadership tilt.,14,0.5,0.6,0.7538678870983264,-1.1876365791587586,0.8,0.6954404140657627,0.23479650364148985,-0.7223858740785403,6.812534209085932,0.47126436781609193,0.0,0.0,0.7769587423086368
expansion_sizing_t50_14d,expansion_probability_sizing,Macro gate plus expansion probability sizing.,14,0.5,0.4,0.7519847900835666,-1.2119238478526542,0.8,0.6934375912619619,0.2308729721838283,-0.7166594201741163,6.492884510125889,0.47126436781609193,0.0,0.0,0.769003828120403
eth_leadership_tilt_l50_14d,eth_leadership_tilt,Macro gate plus ETH leadership tilt.,14,0.4,0.5,0.7342515346099647,-1.193430971425265,0.8,0.8294962163518838,0.31680361662668455,-0.7415614696485545,7.661603721948548,0.4885057471264368,0.0,0.0,0.7558937917536486
expansion_sizing_eth_tilt_e50_l40_14d,expansion_sizing_eth_tilt,Macro gate plus expansion sizing and ETH leadership tilt.,14,0.5,0.4,0.7353560439730641,-1.2126187702550688,0.8,0.705535386492844,0.24434592410363454,-0.7243089584805315,7.012315270935959,0.47126436781609193,0.0,0.0,0.7522013514092969
expansion_sizing_t60_14d,expansion_probability_sizing,Macro gate plus expansion probability sizing.,14,0.6,0.4,0.6388702945749657,-0.8364729678905134,0.8,0.7784903640683267,0.2358268115278972,-0.6060203789648436,6.093322386425834,0.38697318007662834,0.0,0.0,0.7497520526023373
expansion_sizing_eth_tilt_e60_l40_14d,expansion_sizing_eth_tilt,Macro gate plus expansion sizing and ETH leadership tilt.,14,0.6,0.4,0.6135420335188456,-0.823922567767737,0.8,0.7736015160136025,0.24371568959898515,-0.6152072567292319,6.452928297755883,0.38697318007662834,0.0,0.0,0.7275613915769115
eth_leadership_tilt_l60_14d,eth_leadership_tilt,Macro gate plus ETH leadership tilt.,14,0.4,0.6,0.6853644754159517,-1.187955151787837,0.8,0.8044789728793261,0.29904966422732726,-0.7486538908181374,7.4618226600985205,0.4885057471264368,0.0,0.0,0.7083756874689925
