candidate,split,positive_invested_week_percentage,missed_upside_while_in_cash,avoided_downside_while_in_cash,average_exposure
target_a_30d_loss_gt_20__logistic_regression|cash_if_high|0.40,development,0.4475524475524475,15.35567789120332,13.429461414059618,0.3016940707523667
target_a_30d_loss_gt_20__logistic_regression|cash_if_high|0.40,holdout,0.475,2.9659666878458357,3.569250476324105,0.2732342007434944
target_a_30d_loss_gt_20__logistic_regression|cash_if_high|0.50,development,0.4459459459459459,15.1505899102447,13.32054551765501,0.3095416043846537
target_a_30d_loss_gt_20__logistic_regression|cash_if_high|0.50,holdout,0.475,2.9659666878458357,3.569250476324105,0.2732342007434944
target_a_30d_loss_gt_20__logistic_regression|cash_if_high|0.60,development,0.4358974358974359,14.679053458414428,12.494240719601908,0.3269805680119581
target_a_30d_loss_gt_20__logistic_regression|cash_if_high|0.60,holdout,0.475,2.9659666878458357,3.569250476324105,0.2764869888475836
target_a_30d_loss_gt_20__logistic_regression|cash_if_high|0.70,development,0.4355828220858895,14.1028044914957,12.228966322037309,0.3426756352765321
target_a_30d_loss_gt_20__logistic_regression|cash_if_high|0.70,holdout,0.475,2.9659666878458357,3.569250476324105,0.2764869888475836
target_a_30d_loss_gt_20__logistic_regression|halve_if_high|0.40,development,0.4519230769230769,9.760355286981389,8.437696290172047,0.3845291479820628
target_a_30d_loss_gt_20__logistic_regression|halve_if_high|0.40,holdout,0.4651162790697674,2.840894680513186,3.403422839325423,0.2797397769516728
target_a_30d_loss_gt_20__logistic_regression|halve_if_high|0.50,development,0.4519230769230769,9.760355286981389,8.437696290172047,0.3888888888888889
target_a_30d_loss_gt_20__logistic_regression|halve_if_high|0.50,holdout,0.4651162790697674,2.840894680513186,3.403422839325423,0.2797397769516728
target_a_30d_loss_gt_20__logistic_regression|halve_if_high|0.60,development,0.4519230769230769,9.760355286981389,8.437696290172047,0.3976083707025411
target_a_30d_loss_gt_20__logistic_regression|halve_if_high|0.60,holdout,0.4651162790697674,2.840894680513186,3.403422839325423,0.2829925650557621
