candidate,fold,fold_sharpe,fold_return,positive_fold
btc_eth_macro_gate_balanced,0,1.7998025478565458,3.810432706152282,True
btc_eth_macro_gate_balanced,1,0.1709361469901908,-0.072012614080028,False
btc_eth_macro_gate_balanced,2,-0.2689298345328557,-0.4953724521021975,False
btc_eth_macro_gate_balanced,3,0.5450584356021864,0.2482457222490062,True
btc_eth_macro_gate_balanced,4,0.4194142059256709,0.1362029027345652,True
btc_eth_macro_gate_balanced,5,1.7479699457956568,3.0465396105177645,True
btc_eth_macro_gate_balanced,6,0.9879684126785878,1.200455945963698,True
btc_eth_macro_gate_balanced,7,2.194226532422501,4.443043553585066,True
btc_eth_macro_gate_balanced,8,2.099256988421625,3.954474728061848,True
btc_eth_macro_gate_balanced,9,-0.5941757859782042,-0.5755069271595237,False
btc_eth_macro_gate_balanced,10,0.2349447384826129,0.050025240407149,True
btc_eth_macro_gate_balanced,11,0.0483362174359108,-0.0442252636399039,False
btc_eth_macro_gate_balanced,12,-0.3419803083900192,-0.4290098439515255,False
btc_eth_macro_gate_balanced,13,-0.4547284382798156,-0.4802620500343115,False
btc_eth_macro_gate_balanced,14,0.764738685890744,0.2856227834524119,True
