candidate,model_config,target,model,overlay_action,threshold,selection_score,development_sharpe,development_cagr,development_max_drawdown,development_turnover,development_exposure,cpcv_median_sharpe,cpcv_worst_fold_sharpe,cpcv_best_fold_sharpe,positive_fold_percentage,crisis_recall,false_negative_rate,model_auc,model_brier,dd_reduction_vs_frozen
target_d_future_drawdown_gt_25__elastic_net_logistic|cash_if_high_and_macro_stress|0.40,target_d_future_drawdown_gt_25__elastic_net_logistic,target_d_future_drawdown_gt_25,elastic_net_logistic,cash_if_high_and_macro_stress,0.4,0.7194380115185681,1.1782784421565284,0.3308755044384277,-0.492308072805709,10.093423019431988,0.25548081714001,0.5218150154428772,0.0779096725859451,2.3251691830935117,0.9333333333333332,0.6475409836065574,0.3524590163934426,0.6592151018380527,0.2849312846796636,0.2485759759191581
target_d_future_drawdown_gt_25__elastic_net_logistic|cash_if_high_and_trend_negative|0.50,target_d_future_drawdown_gt_25__elastic_net_logistic,target_d_future_drawdown_gt_25,elastic_net_logistic,cash_if_high_and_trend_negative,0.5,0.7163590544009893,0.8521065967318502,0.2820498340490669,-0.5254217545772042,9.002242152466367,0.3008221225710015,0.8234424673425967,-0.4102047356133087,2.2068496891040748,0.6666666666666666,0.6475409836065574,0.3524590163934426,0.6592151018380527,0.2849312846796636,0.2154622941476629
target_d_future_drawdown_gt_25__elastic_net_logistic|cash_if_high_and_trend_negative|0.40,target_d_future_drawdown_gt_25__elastic_net_logistic,target_d_future_drawdown_gt_25,elastic_net_logistic,cash_if_high_and_trend_negative,0.4,0.7148775729195076,0.9447358002646165,0.3264246564758655,-0.5254217545772045,8.638515196811161,0.2938465371200797,0.8234424673425967,-0.3243625503556002,2.2068496891040748,0.7333333333333333,0.6475409836065574,0.3524590163934426,0.6592151018380527,0.2849312846796636,0.2154622941476626
target_d_future_drawdown_gt_25__elastic_net_logistic|cash_if_high_and_trend_negative|0.60,target_d_future_drawdown_gt_25__elastic_net_logistic,target_d_future_drawdown_gt_25,elastic_net_logistic,cash_if_high_and_trend_negative,0.6,0.7125647324601959,0.7896235591259229,0.2538863081797999,-0.5302001196087318,9.002242152466367,0.3086696562032885,0.8234424673425967,-0.5016718324216569,2.2068496891040748,0.6,0.6475409836065574,0.3524590163934426,0.6592151018380527,0.2849312846796636,0.2106839291161353
target_d_future_drawdown_gt_25__random_forest|cash_if_high_and_trend_negative|0.70,target_d_future_drawdown_gt_25__random_forest,target_d_future_drawdown_gt_25,random_forest,cash_if_high_and_trend_negative,0.7,0.6895386303505819,0.7405725121766212,0.2351891411784967,-0.5303355225276152,10.002491280518186,0.3208769307424016,0.2965636098223964,-0.5912093993385352,2.1851209152705278,0.6666666666666666,0.7704918032786885,0.2295081967213114,0.8188276204669648,0.1804300871382567,0.2105485261972519
target_d_future_drawdown_gt_25__random_forest|cash_if_high_and_trend_negative|0.60,target_d_future_drawdown_gt_25__random_forest,target_d_future_drawdown_gt_25,random_forest,cash_if_high_and_trend_negative,0.6,0.6836696002755734,0.7667654236905198,0.2435225573806283,-0.5462425066917833,9.275037369207771,0.299078226208271,0.4998437301578709,-0.7233419890870484,2.183819438164856,0.6,0.7704918032786885,0.2295081967213114,0.8188276204669648,0.1804300871382567,0.1946415420330838
target_d_future_drawdown_gt_25__random_forest|cash_if_high_and_trend_negative|0.50,target_d_future_drawdown_gt_25__random_forest,target_d_future_drawdown_gt_25,random_forest,cash_if_high_and_trend_negative,0.5,0.6783972660469566,0.7166403167748332,0.2144892857360416,-0.5204062862563748,8.638515196811161,0.2607125062282013,0.1800281883637849,-0.6228039676844254,2.2068496891040748,0.5333333333333333,0.7704918032786885,0.2295081967213114,0.8188276204669648,0.1804300871382567,0.2204777624684923
target_d_future_drawdown_gt_25__elastic_net_logistic|cash_if_high|0.40,target_d_future_drawdown_gt_25__elastic_net_logistic,target_d_future_drawdown_gt_25,elastic_net_logistic,cash_if_high,0.4,0.6775114498103556,1.313126329476764,0.358714364492148,-0.3866403384397329,7.092675635276532,0.216243148978575,0.8534525161213525,0.3850309447861185,2.270702778544449,1.0,0.6475409836065574,0.3524590163934426,0.6592151018380527,0.2849312846796636,0.3542437102851342
target_d_future_drawdown_gt_25__gradient_boosting|cash_if_high_and_trend_negative|0.60,target_d_future_drawdown_gt_25__gradient_boosting,target_d_future_drawdown_gt_25,gradient_boosting,cash_if_high_and_trend_negative,0.6,0.6701030686533432,0.6968767583337643,0.2059920582538759,-0.5374345676434964,8.274788241155953,0.2659441953163926,0.2564329073913642,-0.754445060123042,2.183819438164856,0.5333333333333333,0.7950819672131147,0.2049180327868852,0.7990064580228515,0.2132018369907726,0.2034494810813707
target_d_future_drawdown_gt_25__gradient_boosting|cash_if_high_and_trend_negative|0.70,target_d_future_drawdown_gt_25__gradient_boosting,target_d_future_drawdown_gt_25,gradient_boosting,cash_if_high_and_trend_negative,0.7,0.6653190911907482,0.6736891753696036,0.1967097200640388,-0.5477953620840156,9.456900847035376,0.279023418036871,0.3077827396911543,-0.8059222411377683,2.160617537180934,0.5333333333333333,0.7950819672131147,0.2049180327868852,0.7990064580228515,0.2132018369907726,0.1930886866408515
target_d_future_drawdown_gt_25__gradient_boosting|cash_if_high_and_trend_negative|0.50,target_d_future_drawdown_gt_25__gradient_boosting,target_d_future_drawdown_gt_25,gradient_boosting,cash_if_high_and_trend_negative,0.5,0.6614008682317852,0.7008030461409892,0.206993311453415,-0.5374345676434964,8.09292476332835,0.25548081714001,0.1786731689993345,-0.720016846388269,2.2279094823223238,0.5333333333333333,0.7950819672131147,0.2049180327868852,0.7990064580228515,0.2132018369907726,0.2034494810813707
target_d_future_drawdown_gt_25__random_forest|cash_if_high|0.70,target_d_future_drawdown_gt_25__random_forest,target_d_future_drawdown_gt_25,random_forest,cash_if_high,0.7,0.6583956466159516,0.7227965043295774,0.2233075055233326,-0.5541828555176389,10.002491280518186,0.3025660189337319,0.2965636098223964,-0.5912093993385352,2.1423096276331157,0.6666666666666666,0.7704918032786885,0.2295081967213114,0.8188276204669648,0.1804300871382567,0.1867011932072282
