model_config,target,model,split,auc,precision,recall,f1,brier,false_negative_rate,true_negative,false_positive,false_negative,true_positive
target_d_future_drawdown_gt_25__random_forest,target_d_future_drawdown_gt_25,random_forest,development_oof,0.8188276204669648,0.6394557823129252,0.7704918032786885,0.6988847583643123,0.1804300871382567,0.2295081967213114,112.0,53.0,28.0,94.0
target_d_future_drawdown_gt_25__random_forest,target_d_future_drawdown_gt_25,random_forest,holdout_diagnostic,0.9883928571428572,1.0,0.85,0.918918918918919,0.0835086848798573,0.15,28.0,0.0,6.0,34.0
target_d_future_drawdown_gt_25__gradient_boosting,target_d_future_drawdown_gt_25,gradient_boosting,development_oof,0.7990064580228515,0.6178343949044586,0.7950819672131147,0.6953405017921147,0.2132018369907726,0.2049180327868852,105.0,60.0,25.0,97.0
target_d_future_drawdown_gt_25__gradient_boosting,target_d_future_drawdown_gt_25,gradient_boosting,holdout_diagnostic,0.9473214285714286,1.0,0.75,0.8571428571428571,0.1050211990623845,0.25,28.0,0.0,10.0,30.0
target_e_frozen_future_dd_gt_20__logistic_regression,target_e_frozen_future_dd_gt_20,logistic_regression,development_oof,0.3612489660876757,0.0661157024793388,0.2051282051282051,0.1,0.4014887244024603,0.7948717948717948,135.0,113.0,31.0,8.0
target_e_frozen_future_dd_gt_20__logistic_regression,target_e_frozen_future_dd_gt_20,logistic_regression,holdout_diagnostic,,,,,,,,,,
target_e_frozen_future_dd_gt_20__elastic_net_logistic,target_e_frozen_future_dd_gt_20,elastic_net_logistic,development_oof,0.3500827129859387,0.0615384615384615,0.2051282051282051,0.0946745562130177,0.391639176228334,0.7948717948717948,126.0,122.0,31.0,8.0
target_e_frozen_future_dd_gt_20__elastic_net_logistic,target_e_frozen_future_dd_gt_20,elastic_net_logistic,holdout_diagnostic,,,,,,,,,,
target_e_frozen_future_dd_gt_20__random_forest,target_e_frozen_future_dd_gt_20,random_forest,development_oof,0.2344913151364764,0.025,0.0512820512820512,0.0336134453781512,0.2439907098967391,0.9487179487179488,170.0,78.0,37.0,2.0
target_e_frozen_future_dd_gt_20__random_forest,target_e_frozen_future_dd_gt_20,random_forest,holdout_diagnostic,,,,,,,,,,
target_e_frozen_future_dd_gt_20__gradient_boosting,target_e_frozen_future_dd_gt_20,gradient_boosting,development_oof,0.2930624483043837,0.0606060606060606,0.1025641025641025,0.0761904761904762,0.2468395482391126,0.8974358974358975,186.0,62.0,35.0,4.0
target_e_frozen_future_dd_gt_20__gradient_boosting,target_e_frozen_future_dd_gt_20,gradient_boosting,holdout_diagnostic,,,,,,,,,,
