target,model,fold,test_groups,fold_start,fold_end,positive_rate,model_config
target_b_60d_loss_gt_30,elastic_net_logistic,3,0-4,2019-07-05,2024-02-02,0.03125,target_b_60d_loss_gt_30__elastic_net_logistic
target_b_60d_loss_gt_30,elastic_net_logistic,4,0-5,2019-07-05,2024-12-27,0.031578947368421,target_b_60d_loss_gt_30__elastic_net_logistic
target_b_60d_loss_gt_30,elastic_net_logistic,5,1-2,2020-06-05,2022-04-01,0.0729166666666666,target_b_60d_loss_gt_30__elastic_net_logistic
target_b_60d_loss_gt_30,elastic_net_logistic,6,1-3,2020-06-05,2023-03-03,0.0625,target_b_60d_loss_gt_30__elastic_net_logistic
target_b_60d_loss_gt_30,elastic_net_logistic,7,1-4,2020-06-05,2024-02-02,0.0,target_b_60d_loss_gt_30__elastic_net_logistic
target_b_60d_loss_gt_30,elastic_net_logistic,8,1-5,2020-06-05,2024-12-27,0.0,target_b_60d_loss_gt_30__elastic_net_logistic
target_b_60d_loss_gt_30,elastic_net_logistic,9,2-3,2021-05-07,2023-03-03,0.1354166666666666,target_b_60d_loss_gt_30__elastic_net_logistic
target_b_60d_loss_gt_30,elastic_net_logistic,10,2-4,2021-05-07,2024-02-02,0.0729166666666666,target_b_60d_loss_gt_30__elastic_net_logistic
target_b_60d_loss_gt_30,elastic_net_logistic,11,2-5,2021-05-07,2024-12-27,0.0736842105263157,target_b_60d_loss_gt_30__elastic_net_logistic
target_b_60d_loss_gt_30,elastic_net_logistic,12,3-4,2022-04-08,2024-02-02,0.0625,target_b_60d_loss_gt_30__elastic_net_logistic
target_b_60d_loss_gt_30,elastic_net_logistic,13,3-5,2022-04-08,2024-12-27,0.0631578947368421,target_b_60d_loss_gt_30__elastic_net_logistic
target_b_60d_loss_gt_30,elastic_net_logistic,14,4-5,2023-03-10,2024-12-27,0.0,target_b_60d_loss_gt_30__elastic_net_logistic
target_b_60d_loss_gt_30,random_forest,0,0-1,2019-07-05,2021-04-30,0.03125,target_b_60d_loss_gt_30__random_forest
target_b_60d_loss_gt_30,random_forest,2,0-3,2019-07-05,2023-03-03,0.09375,target_b_60d_loss_gt_30__random_forest
target_b_60d_loss_gt_30,random_forest,3,0-4,2019-07-05,2024-02-02,0.03125,target_b_60d_loss_gt_30__random_forest
target_b_60d_loss_gt_30,random_forest,4,0-5,2019-07-05,2024-12-27,0.031578947368421,target_b_60d_loss_gt_30__random_forest
target_b_60d_loss_gt_30,random_forest,5,1-2,2020-06-05,2022-04-01,0.0729166666666666,target_b_60d_loss_gt_30__random_forest
target_b_60d_loss_gt_30,random_forest,6,1-3,2020-06-05,2023-03-03,0.0625,target_b_60d_loss_gt_30__random_forest
target_b_60d_loss_gt_30,random_forest,7,1-4,2020-06-05,2024-02-02,0.0,target_b_60d_loss_gt_30__random_forest
target_b_60d_loss_gt_30,random_forest,8,1-5,2020-06-05,2024-12-27,0.0,target_b_60d_loss_gt_30__random_forest
target_b_60d_loss_gt_30,random_forest,9,2-3,2021-05-07,2023-03-03,0.1354166666666666,target_b_60d_loss_gt_30__random_forest
target_b_60d_loss_gt_30,random_forest,10,2-4,2021-05-07,2024-02-02,0.0729166666666666,target_b_60d_loss_gt_30__random_forest
target_b_60d_loss_gt_30,random_forest,11,2-5,2021-05-07,2024-12-27,0.0736842105263157,target_b_60d_loss_gt_30__random_forest
target_b_60d_loss_gt_30,random_forest,12,3-4,2022-04-08,2024-02-02,0.0625,target_b_60d_loss_gt_30__random_forest
target_b_60d_loss_gt_30,random_forest,13,3-5,2022-04-08,2024-12-27,0.0631578947368421,target_b_60d_loss_gt_30__random_forest
target_b_60d_loss_gt_30,random_forest,14,4-5,2023-03-10,2024-12-27,0.0,target_b_60d_loss_gt_30__random_forest
target_b_60d_loss_gt_30,gradient_boosting,0,0-1,2019-07-05,2021-04-30,0.03125,target_b_60d_loss_gt_30__gradient_boosting
target_b_60d_loss_gt_30,gradient_boosting,2,0-3,2019-07-05,2023-03-03,0.09375,target_b_60d_loss_gt_30__gradient_boosting
target_b_60d_loss_gt_30,gradient_boosting,3,0-4,2019-07-05,2024-02-02,0.03125,target_b_60d_loss_gt_30__gradient_boosting
target_b_60d_loss_gt_30,gradient_boosting,4,0-5,2019-07-05,2024-12-27,0.031578947368421,target_b_60d_loss_gt_30__gradient_boosting
target_b_60d_loss_gt_30,gradient_boosting,5,1-2,2020-06-05,2022-04-01,0.0729166666666666,target_b_60d_loss_gt_30__gradient_boosting
target_b_60d_loss_gt_30,gradient_boosting,6,1-3,2020-06-05,2023-03-03,0.0625,target_b_60d_loss_gt_30__gradient_boosting
target_b_60d_loss_gt_30,gradient_boosting,7,1-4,2020-06-05,2024-02-02,0.0,target_b_60d_loss_gt_30__gradient_boosting
target_b_60d_loss_gt_30,gradient_boosting,8,1-5,2020-06-05,2024-12-27,0.0,target_b_60d_loss_gt_30__gradient_boosting
target_b_60d_loss_gt_30,gradient_boosting,9,2-3,2021-05-07,2023-03-03,0.1354166666666666,target_b_60d_loss_gt_30__gradient_boosting
target_b_60d_loss_gt_30,gradient_boosting,10,2-4,2021-05-07,2024-02-02,0.0729166666666666,target_b_60d_loss_gt_30__gradient_boosting
target_b_60d_loss_gt_30,gradient_boosting,11,2-5,2021-05-07,2024-12-27,0.0736842105263157,target_b_60d_loss_gt_30__gradient_boosting
target_b_60d_loss_gt_30,gradient_boosting,12,3-4,2022-04-08,2024-02-02,0.0625,target_b_60d_loss_gt_30__gradient_boosting
target_b_60d_loss_gt_30,gradient_boosting,13,3-5,2022-04-08,2024-12-27,0.0631578947368421,target_b_60d_loss_gt_30__gradient_boosting
target_b_60d_loss_gt_30,gradient_boosting,14,4-5,2023-03-10,2024-12-27,0.0,target_b_60d_loss_gt_30__gradient_boosting
target_c_forward_vol_top20,logistic_regression,0,0-1,2019-07-05,2021-04-30,0.2916666666666667,target_c_forward_vol_top20__logistic_regression
target_c_forward_vol_top20,logistic_regression,1,0-2,2019-07-05,2022-04-01,0.2708333333333333,target_c_forward_vol_top20__logistic_regression
target_c_forward_vol_top20,logistic_regression,2,0-3,2019-07-05,2023-03-03,0.2708333333333333,target_c_forward_vol_top20__logistic_regression
target_c_forward_vol_top20,logistic_regression,3,0-4,2019-07-05,2024-02-02,0.125,target_c_forward_vol_top20__logistic_regression
target_c_forward_vol_top20,logistic_regression,4,0-5,2019-07-05,2024-12-27,0.1368421052631579,target_c_forward_vol_top20__logistic_regression
target_c_forward_vol_top20,logistic_regression,5,1-2,2020-06-05,2022-04-01,0.3125,target_c_forward_vol_top20__logistic_regression
target_c_forward_vol_top20,logistic_regression,6,1-3,2020-06-05,2023-03-03,0.3125,target_c_forward_vol_top20__logistic_regression
target_c_forward_vol_top20,logistic_regression,7,1-4,2020-06-05,2024-02-02,0.1666666666666666,target_c_forward_vol_top20__logistic_regression
target_c_forward_vol_top20,logistic_regression,8,1-5,2020-06-05,2024-12-27,0.1789473684210526,target_c_forward_vol_top20__logistic_regression
target_c_forward_vol_top20,logistic_regression,9,2-3,2021-05-07,2023-03-03,0.2916666666666667,target_c_forward_vol_top20__logistic_regression
target_c_forward_vol_top20,logistic_regression,10,2-4,2021-05-07,2024-02-02,0.1458333333333333,target_c_forward_vol_top20__logistic_regression
target_c_forward_vol_top20,logistic_regression,11,2-5,2021-05-07,2024-12-27,0.1578947368421052,target_c_forward_vol_top20__logistic_regression
target_c_forward_vol_top20,logistic_regression,12,3-4,2022-04-08,2024-02-02,0.1458333333333333,target_c_forward_vol_top20__logistic_regression
target_c_forward_vol_top20,logistic_regression,13,3-5,2022-04-08,2024-12-27,0.1578947368421052,target_c_forward_vol_top20__logistic_regression
target_c_forward_vol_top20,logistic_regression,14,4-5,2023-03-10,2024-12-27,0.0105263157894736,target_c_forward_vol_top20__logistic_regression
target_c_forward_vol_top20,elastic_net_logistic,0,0-1,2019-07-05,2021-04-30,0.2916666666666667,target_c_forward_vol_top20__elastic_net_logistic
target_c_forward_vol_top20,elastic_net_logistic,1,0-2,2019-07-05,2022-04-01,0.2708333333333333,target_c_forward_vol_top20__elastic_net_logistic
target_c_forward_vol_top20,elastic_net_logistic,2,0-3,2019-07-05,2023-03-03,0.2708333333333333,target_c_forward_vol_top20__elastic_net_logistic
target_c_forward_vol_top20,elastic_net_logistic,3,0-4,2019-07-05,2024-02-02,0.125,target_c_forward_vol_top20__elastic_net_logistic
target_c_forward_vol_top20,elastic_net_logistic,4,0-5,2019-07-05,2024-12-27,0.1368421052631579,target_c_forward_vol_top20__elastic_net_logistic
target_c_forward_vol_top20,elastic_net_logistic,5,1-2,2020-06-05,2022-04-01,0.3125,target_c_forward_vol_top20__elastic_net_logistic
target_c_forward_vol_top20,elastic_net_logistic,6,1-3,2020-06-05,2023-03-03,0.3125,target_c_forward_vol_top20__elastic_net_logistic
target_c_forward_vol_top20,elastic_net_logistic,7,1-4,2020-06-05,2024-02-02,0.1666666666666666,target_c_forward_vol_top20__elastic_net_logistic
target_c_forward_vol_top20,elastic_net_logistic,8,1-5,2020-06-05,2024-12-27,0.1789473684210526,target_c_forward_vol_top20__elastic_net_logistic
target_c_forward_vol_top20,elastic_net_logistic,9,2-3,2021-05-07,2023-03-03,0.2916666666666667,target_c_forward_vol_top20__elastic_net_logistic
target_c_forward_vol_top20,elastic_net_logistic,10,2-4,2021-05-07,2024-02-02,0.1458333333333333,target_c_forward_vol_top20__elastic_net_logistic
target_c_forward_vol_top20,elastic_net_logistic,11,2-5,2021-05-07,2024-12-27,0.1578947368421052,target_c_forward_vol_top20__elastic_net_logistic
target_c_forward_vol_top20,elastic_net_logistic,12,3-4,2022-04-08,2024-02-02,0.1458333333333333,target_c_forward_vol_top20__elastic_net_logistic
target_c_forward_vol_top20,elastic_net_logistic,13,3-5,2022-04-08,2024-12-27,0.1578947368421052,target_c_forward_vol_top20__elastic_net_logistic
target_c_forward_vol_top20,elastic_net_logistic,14,4-5,2023-03-10,2024-12-27,0.0105263157894736,target_c_forward_vol_top20__elastic_net_logistic
