probability_bin,observations,average_probability,observed_crisis_rate,model_config,target,model,split
"(-0.001, 0.2]",148,0.0659173392313337,0.1824324324324324,target_c_forward_vol_top20__logistic_regression,target_c_forward_vol_top20,logistic_regression,development_oof
"(0.2, 0.4]",43,0.2961996818308866,0.0697674418604651,target_c_forward_vol_top20__logistic_regression,target_c_forward_vol_top20,logistic_regression,development_oof
"(0.4, 0.6]",24,0.4812706585083011,0.125,target_c_forward_vol_top20__logistic_regression,target_c_forward_vol_top20,logistic_regression,development_oof
"(0.6, 0.8]",35,0.6965676335608563,0.1142857142857142,target_c_forward_vol_top20__logistic_regression,target_c_forward_vol_top20,logistic_regression,development_oof
"(0.8, 1.0]",37,0.9491676379574872,0.5405405405405406,target_c_forward_vol_top20__logistic_regression,target_c_forward_vol_top20,logistic_regression,development_oof
"(-0.001, 0.2]",118,0.0920243913105623,0.1864406779661017,target_c_forward_vol_top20__elastic_net_logistic,target_c_forward_vol_top20,elastic_net_logistic,development_oof
"(0.2, 0.4]",81,0.2893292776968307,0.0617283950617283,target_c_forward_vol_top20__elastic_net_logistic,target_c_forward_vol_top20,elastic_net_logistic,development_oof
"(0.4, 0.6]",28,0.4805389757251689,0.1785714285714285,target_c_forward_vol_top20__elastic_net_logistic,target_c_forward_vol_top20,elastic_net_logistic,development_oof
"(0.6, 0.8]",30,0.7015222499836526,0.2333333333333333,target_c_forward_vol_top20__elastic_net_logistic,target_c_forward_vol_top20,elastic_net_logistic,development_oof
"(0.8, 1.0]",30,0.9541457191965166,0.6,target_c_forward_vol_top20__elastic_net_logistic,target_c_forward_vol_top20,elastic_net_logistic,development_oof
"(-0.001, 0.2]",31,0.0980908507599748,0.2258064516129032,target_c_forward_vol_top20__random_forest,target_c_forward_vol_top20,random_forest,development_oof
"(0.2, 0.4]",153,0.3124532593528641,0.0849673202614379,target_c_forward_vol_top20__random_forest,target_c_forward_vol_top20,random_forest,development_oof
"(0.4, 0.6]",91,0.4939422504062885,0.3076923076923077,target_c_forward_vol_top20__random_forest,target_c_forward_vol_top20,random_forest,development_oof
"(0.6, 0.8]",12,0.6532664769847535,0.75,target_c_forward_vol_top20__random_forest,target_c_forward_vol_top20,random_forest,development_oof
"(0.8, 1.0]",0,,,target_c_forward_vol_top20__random_forest,target_c_forward_vol_top20,random_forest,development_oof
"(-0.001, 0.2]",201,0.0754378266512253,0.1094527363184079,target_c_forward_vol_top20__gradient_boosting,target_c_forward_vol_top20,gradient_boosting,development_oof
"(0.2, 0.4]",25,0.2828698714095761,0.2,target_c_forward_vol_top20__gradient_boosting,target_c_forward_vol_top20,gradient_boosting,development_oof
"(0.4, 0.6]",27,0.5120641147376053,0.4444444444444444,target_c_forward_vol_top20__gradient_boosting,target_c_forward_vol_top20,gradient_boosting,development_oof
"(0.6, 0.8]",15,0.7082144065010371,0.5333333333333333,target_c_forward_vol_top20__gradient_boosting,target_c_forward_vol_top20,gradient_boosting,development_oof
"(0.8, 1.0]",19,0.9249362585695672,0.5263157894736842,target_c_forward_vol_top20__gradient_boosting,target_c_forward_vol_top20,gradient_boosting,development_oof
"(-0.001, 0.2]",97,0.0604064222020042,0.3298969072164948,target_d_future_drawdown_gt_25__logistic_regression,target_d_future_drawdown_gt_25,logistic_regression,development_oof
"(0.2, 0.4]",39,0.2889516561085374,0.282051282051282,target_d_future_drawdown_gt_25__logistic_regression,target_d_future_drawdown_gt_25,logistic_regression,development_oof
"(0.4, 0.6]",25,0.4984734707378256,0.44,target_d_future_drawdown_gt_25__logistic_regression,target_d_future_drawdown_gt_25,logistic_regression,development_oof
"(0.6, 0.8]",18,0.6836975360698617,0.3333333333333333,target_d_future_drawdown_gt_25__logistic_regression,target_d_future_drawdown_gt_25,logistic_regression,development_oof
"(0.8, 1.0]",108,0.9669195590905736,0.5740740740740741,target_d_future_drawdown_gt_25__logistic_regression,target_d_future_drawdown_gt_25,logistic_regression,development_oof
"(-0.001, 0.2]",91,0.0818933803565234,0.2747252747252747,target_d_future_drawdown_gt_25__elastic_net_logistic,target_d_future_drawdown_gt_25,elastic_net_logistic,development_oof
"(0.2, 0.4]",47,0.2919984915957522,0.2978723404255319,target_d_future_drawdown_gt_25__elastic_net_logistic,target_d_future_drawdown_gt_25,elastic_net_logistic,development_oof
"(0.4, 0.6]",25,0.4888335359516814,0.4,target_d_future_drawdown_gt_25__elastic_net_logistic,target_d_future_drawdown_gt_25,elastic_net_logistic,development_oof
"(0.6, 0.8]",23,0.6827416657958787,0.5217391304347826,target_d_future_drawdown_gt_25__elastic_net_logistic,target_d_future_drawdown_gt_25,elastic_net_logistic,development_oof
"(0.8, 1.0]",101,0.9531450941841436,0.6039603960396039,target_d_future_drawdown_gt_25__elastic_net_logistic,target_d_future_drawdown_gt_25,elastic_net_logistic,development_oof
"(-0.001, 0.2]",40,0.141304725415892,0.1,target_d_future_drawdown_gt_25__random_forest,target_d_future_drawdown_gt_25,random_forest,development_oof
"(0.2, 0.4]",65,0.2975111592363794,0.1692307692307692,target_d_future_drawdown_gt_25__random_forest,target_d_future_drawdown_gt_25,random_forest,development_oof
"(0.4, 0.6]",66,0.4967485251677117,0.3939393939393939,target_d_future_drawdown_gt_25__random_forest,target_d_future_drawdown_gt_25,random_forest,development_oof
"(0.6, 0.8]",58,0.7001489046560063,0.5,target_d_future_drawdown_gt_25__random_forest,target_d_future_drawdown_gt_25,random_forest,development_oof
"(0.8, 1.0]",58,0.8838162899588066,0.896551724137931,target_d_future_drawdown_gt_25__random_forest,target_d_future_drawdown_gt_25,random_forest,development_oof
"(-0.001, 0.2]",74,0.1082698165274139,0.1621621621621621,target_d_future_drawdown_gt_25__gradient_boosting,target_d_future_drawdown_gt_25,gradient_boosting,development_oof
"(0.2, 0.4]",32,0.2961660398605311,0.34375,target_d_future_drawdown_gt_25__gradient_boosting,target_d_future_drawdown_gt_25,gradient_boosting,development_oof
"(0.4, 0.6]",41,0.49227616185534,0.0975609756097561,target_d_future_drawdown_gt_25__gradient_boosting,target_d_future_drawdown_gt_25,gradient_boosting,development_oof
