event,start,end,avg_crisis_probability,max_crisis_probability,first_warning_date,days_warning_before_event,frozen_return,overlay_return,frozen_avg_exposure,overlay_avg_exposure
2020_covid_crash,2020-02-15,2020-04-30,0.8300699582493538,0.9999100471956188,2019-11-22,85,-0.096606728914546,0.0,0.6907894736842105,0.0
2021_2022_crypto_bear,2021-11-08,2022-11-21,0.6145086888229635,0.9973625540378426,2021-08-13,87,-0.7337865923497912,-0.4230790165032013,0.7315303430079155,0.2453825857519788
2025_holdout_drawdown,2025-01-23,2025-05-08,0.6501697971083878,0.9565614143711074,2024-11-29,55,0.1232962840350517,0.0220715290456119,0.5778301886792453,0.1650943396226415
