feature,importance,abs_importance,target,model,model_config
ETH_rv_63d,-0.6036742921785253,0.6036742921785253,target_a_30d_loss_gt_20,elastic_net_logistic,target_a_30d_loss_gt_20__elastic_net_logistic
credit_spread_level,-0.5927842943990029,0.5927842943990029,target_a_30d_loss_gt_20,elastic_net_logistic,target_a_30d_loss_gt_20__elastic_net_logistic
BTC_momentum_126d,-0.5595938861216907,0.5595938861216907,target_a_30d_loss_gt_20,elastic_net_logistic,target_a_30d_loss_gt_20__elastic_net_logistic
ETH_below_200dma,0.4684885506306876,0.4684885506306876,target_a_30d_loss_gt_20,elastic_net_logistic,target_a_30d_loss_gt_20__elastic_net_logistic
BTC_rv_21d,-0.4358749332138206,0.4358749332138206,target_a_30d_loss_gt_20,elastic_net_logistic,target_a_30d_loss_gt_20__elastic_net_logistic
ETH_below_100dma,-0.4300736171631041,0.4300736171631041,target_a_30d_loss_gt_20,elastic_net_logistic,target_a_30d_loss_gt_20__elastic_net_logistic
funding_change,-0.3655548944417504,0.3655548944417504,target_a_30d_loss_gt_20,elastic_net_logistic,target_a_30d_loss_gt_20__elastic_net_logistic
BTC_momentum_63d,-0.3494231932454876,0.3494231932454876,target_a_30d_loss_gt_20,elastic_net_logistic,target_a_30d_loss_gt_20__elastic_net_logistic
ETH_momentum_63d,0.3153640259483829,0.3153640259483829,target_a_30d_loss_gt_20,elastic_net_logistic,target_a_30d_loss_gt_20__elastic_net_logistic
stablecoin_supply_z_90,0.3037608811766141,0.3037608811766141,target_a_30d_loss_gt_20,elastic_net_logistic,target_a_30d_loss_gt_20__elastic_net_logistic
volatility_4h_30d_btc_eth_avg,-0.2821854579923293,0.2821854579923293,target_a_30d_loss_gt_20,elastic_net_logistic,target_a_30d_loss_gt_20__elastic_net_logistic
trend_4h_14d_btc_eth_avg,-0.2460493400183326,0.2460493400183326,target_a_30d_loss_gt_20,elastic_net_logistic,target_a_30d_loss_gt_20__elastic_net_logistic
usd_change_5d,-0.241270433679,0.241270433679,target_a_30d_loss_gt_20,elastic_net_logistic,target_a_30d_loss_gt_20__elastic_net_logistic
eth_btc_relative_weakness_63d,0.0783717206379673,0.0783717206379673,target_a_30d_loss_gt_20,random_forest,target_a_30d_loss_gt_20__random_forest
ETH_rv_63d,0.0738131846607147,0.0738131846607147,target_a_30d_loss_gt_20,random_forest,target_a_30d_loss_gt_20__random_forest
BTC_rv_percentile,0.0687975774238323,0.0687975774238323,target_a_30d_loss_gt_20,random_forest,target_a_30d_loss_gt_20__random_forest
BTC_rv_63d,0.0521919247792973,0.0521919247792973,target_a_30d_loss_gt_20,random_forest,target_a_30d_loss_gt_20__random_forest
ETH_rv_percentile,0.0508472561562749,0.0508472561562749,target_a_30d_loss_gt_20,random_forest,target_a_30d_loss_gt_20__random_forest
usd_trend_63d,0.0489756729106973,0.0489756729106973,target_a_30d_loss_gt_20,random_forest,target_a_30d_loss_gt_20__random_forest
ETH_rv_21d,0.0468272461493512,0.0468272461493512,target_a_30d_loss_gt_20,random_forest,target_a_30d_loss_gt_20__random_forest
equity_realized_vol_21d,0.0455014863757226,0.0455014863757226,target_a_30d_loss_gt_20,random_forest,target_a_30d_loss_gt_20__random_forest
cross_sectional_dispersion,0.0414995915014587,0.0414995915014587,target_a_30d_loss_gt_20,random_forest,target_a_30d_loss_gt_20__random_forest
BTC_drawdown_from_90d_high,0.0400117804987774,0.0400117804987774,target_a_30d_loss_gt_20,random_forest,target_a_30d_loss_gt_20__random_forest
