candidate,model_config,target,model,overlay_action,threshold,split,cost_bps,CAGR,Sharpe,Sortino,Calmar,Annualized Volatility,Maximum Drawdown,Hit Rate,Turnover,Exposure,Transaction Costs,Cash Allocation,Annual Turnover,Worst Month,Best Month,Average Holdings,Allocation Changes,worst_drawdown_start,worst_drawdown_trough,worst_drawdown_recovery
target_a_30d_loss_gt_20__logistic_regression|cash_if_high|0.40,target_a_30d_loss_gt_20__logistic_regression,target_a_30d_loss_gt_20,logistic_regression,cash_if_high,0.4,development,25,0.0556573342755932,0.3522226187640094,0.2483319835205931,0.0809756362001065,0.3968396924183683,-0.6873343253278454,0.2137518684603886,0.025909317389138,0.3016940707523667,0.13,0.6983059292476332,9.456900847035376,-0.4329294666098096,0.3622513369020728,0.8231190832087693,97,2022-04-04,2022-11-21,
target_a_30d_loss_gt_20__logistic_regression|cash_if_high|0.40,target_a_30d_loss_gt_20__logistic_regression,target_a_30d_loss_gt_20,logistic_regression,cash_if_high,0.4,holdout,25,0.2278233852241908,0.916785653027125,1.1106258309081527,1.2369161588909643,0.2596057576865386,-0.1841866027754544,0.2193308550185873,0.0260223048327137,0.2732342007434944,0.035,0.7267657992565055,9.49814126394052,-0.0598398228689844,0.2445206579453003,0.8327137546468402,28,2025-01-01,2025-04-08,2025-05-08
target_a_30d_loss_gt_20__logistic_regression|cash_if_high|0.50,target_a_30d_loss_gt_20__logistic_regression,target_a_30d_loss_gt_20,logistic_regression,cash_if_high,0.5,development,25,0.0506443988214537,0.3406208929611807,0.242780559775829,0.0725757185881599,0.3989742669744381,-0.6978146383757051,0.2192326856003986,0.0266567015445939,0.3095416043846537,0.1337499999999999,0.6904583956153463,9.72969606377678,-0.4329294666098096,0.3622513369020728,0.8440458395615347,100,2022-04-04,2022-11-21,
target_a_30d_loss_gt_20__logistic_regression|cash_if_high|0.50,target_a_30d_loss_gt_20__logistic_regression,target_a_30d_loss_gt_20,logistic_regression,cash_if_high,0.5,holdout,25,0.2278233852241908,0.916785653027125,1.1106258309081527,1.2369161588909643,0.2596057576865386,-0.1841866027754544,0.2193308550185873,0.0260223048327137,0.2732342007434944,0.035,0.7267657992565055,9.49814126394052,-0.0598398228689844,0.2445206579453003,0.8327137546468402,28,2025-01-01,2025-04-08,2025-05-08
target_a_30d_loss_gt_20__logistic_regression|cash_if_high|0.60,target_a_30d_loss_gt_20__logistic_regression,target_a_30d_loss_gt_20,logistic_regression,cash_if_high,0.6,development,25,0.0253040424358506,0.2818094272318835,0.2095109337167527,0.0358013191618684,0.4067940782758196,-0.7067907839217737,0.2286995515695067,0.0276532137518684,0.3269805680119581,0.1387499999999999,0.6730194319880418,10.093423019431988,-0.4329294666098096,0.3622513369020728,0.8928749377179871,105,2021-11-08,2022-11-21,
target_a_30d_loss_gt_20__logistic_regression|cash_if_high|0.60,target_a_30d_loss_gt_20__logistic_regression,target_a_30d_loss_gt_20,logistic_regression,cash_if_high,0.6,holdout,25,0.2415860898753961,0.9552863300572502,1.1649513758705696,1.3116376882737697,0.2612638259266993,-0.1841866027754544,0.2193308550185873,0.0260223048327137,0.2764869888475836,0.035,0.7235130111524164,9.49814126394052,-0.0598398228689844,0.2445206579453003,0.8327137546468402,28,2025-01-01,2025-04-08,2025-05-08
target_a_30d_loss_gt_20__logistic_regression|cash_if_high|0.70,target_a_30d_loss_gt_20__logistic_regression,target_a_30d_loss_gt_20,logistic_regression,cash_if_high,0.7,development,25,0.0693608453010938,0.3854011251993909,0.2946176886160303,0.0981349033956428,0.4115217194465946,-0.7067907839217733,0.2401594419531639,0.0288988540109616,0.3426756352765321,0.145,0.6573243647234679,10.548081714000997,-0.4329294666098096,0.3622513369020728,0.9347284504235176,109,2021-11-08,2022-11-21,
target_a_30d_loss_gt_20__logistic_regression|cash_if_high|0.70,target_a_30d_loss_gt_20__logistic_regression,target_a_30d_loss_gt_20,logistic_regression,cash_if_high,0.7,holdout,25,0.2415860898753961,0.9552863300572502,1.1649513758705696,1.3116376882737697,0.2612638259266993,-0.1841866027754544,0.2193308550185873,0.0260223048327137,0.2764869888475836,0.035,0.7235130111524164,9.49814126394052,-0.0598398228689844,0.2445206579453003,0.8327137546468402,28,2025-01-01,2025-04-08,2025-05-08
target_a_30d_loss_gt_20__logistic_regression|halve_if_high|0.40,target_a_30d_loss_gt_20__logistic_regression,target_a_30d_loss_gt_20,logistic_regression,halve_if_high,0.4,development,25,0.1231940853992727,0.5026453206698088,0.4340723690368844,0.1771695316816329,0.421405832066327,-0.6953457754838344,0.3183856502242152,0.027902341803687,0.3845291479820628,0.14,0.6154708520179373,10.184354758345789,-0.4329294666098096,0.3622513369020728,1.2137518684603887,127,2021-11-08,2022-11-21,
target_a_30d_loss_gt_20__logistic_regression|halve_if_high|0.40,target_a_30d_loss_gt_20__logistic_regression,target_a_30d_loss_gt_20,logistic_regression,halve_if_high,0.4,holdout,25,0.2326986132273689,0.9289018130627504,1.1548115921658304,1.2633851198778911,0.2608280041648765,-0.1841866027754544,0.2304832713754646,0.0269516728624535,0.2797397769516728,0.03625,0.7202602230483272,9.83736059479554,-0.0598398228689844,0.2445206579453003,0.8847583643122676,30,2025-01-01,2025-04-08,2025-05-08
