name,category,family,split,cost_bps,CAGR,Sharpe,Sortino,Calmar,Annualized Volatility,Maximum Drawdown,Hit Rate,Turnover,Exposure,Transaction Costs,Cash Allocation,Annual Turnover,Worst Month,Best Month,Average Holdings
btc_eth_macro_gate_balanced,selected_strategy,BTC/ETH/cash macro risk gate,development,10,0.2201064654477778,0.660976233716512,0.6233490520762509,0.2992369849959331,0.5048517359448262,-0.7355590267385204,0.3399014778325123,0.030377668308702793,0.49808429118773945,0.05550000000000001,0.5019157088122606,11.087848932676518,-0.4320897947253527,0.44949275810729517,1.2873563218390804
btc_eth_macro_gate_balanced,selected_strategy,BTC/ETH/cash macro risk gate,holdout,10,0.2699382168428921,1.027743623907195,1.3040997384988156,1.4956833759602872,0.2660276052575855,-0.1804781822018856,0.23048327137546468,0.027881040892193308,0.2894981412639405,0.015,0.7105018587360594,10.176579925650557,-0.057686720710772965,0.246415793598165,0.8847583643122676
btc_eth_macro_gate_balanced,selected_strategy,BTC/ETH/cash macro risk gate,development,25,0.20002605127253803,0.6281168905695268,0.5934409935427069,0.2699829367588655,0.5047837916339928,-0.7408840487248671,0.33880678708264916,0.030377668308702793,0.49808429118773945,0.13875,0.5019157088122606,11.087848932676518,-0.4329294666098096,0.44949275810729517,1.2873563218390804
btc_eth_macro_gate_balanced,selected_strategy,BTC/ETH/cash macro risk gate,holdout,25,0.2506806098543801,0.9700672636549106,1.2341802107524358,1.3610143521675673,0.26610866572870884,-0.1841866027754544,0.23048327137546468,0.027881040892193308,0.2894981412639405,0.037500000000000006,0.7105018587360594,10.176579925650557,-0.05983982286898448,0.2445206579453003,0.8847583643122676
btc_eth_macro_gate_balanced,selected_strategy,BTC/ETH/cash macro risk gate,development,50,0.1672549417809055,0.5732668639700705,0.5427061960311421,0.22314598108501874,0.5047275910481621,-0.7495314993693805,0.33825944170771755,0.030377668308702793,0.49808429118773945,0.2775,0.5019157088122606,11.087848932676518,-0.43432753933400514,0.44949275810729517,1.2873563218390804
btc_eth_macro_gate_balanced,selected_strategy,BTC/ETH/cash macro risk gate,holdout,50,0.21919863958320418,0.8737059236516569,1.1147308422363915,1.151636015111534,0.2663388779734986,-0.19033673548493113,0.22862453531598512,0.027881040892193308,0.2894981412639405,0.07500000000000001,0.7105018587360594,10.176579925650557,-0.06342103525723375,0.24136530232033437,0.8847583643122676
btc_eth_macro_gate_balanced,selected_strategy,BTC/ETH/cash macro risk gate,development,100,0.10424682678550146,0.4633337130161947,0.4405361822065785,0.13475635641285824,0.5048291372827213,-0.7735948756741124,0.3366174055829228,0.030377668308702793,0.49808429118773945,0.555,0.5019157088122606,11.087848932676518,-0.4371185082202741,0.44949275810729517,1.2873563218390804
btc_eth_macro_gate_balanced,selected_strategy,BTC/ETH/cash macro risk gate,holdout,100,0.15847516496273428,0.6805756374853622,0.8712961436852513,0.7825043815075569,0.26715466399550514,-0.20252303847477415,0.22676579925650558,0.027881040892193308,0.2894981412639405,0.15000000000000002,0.7105018587360594,10.176579925650557,-0.07055615970418216,0.23506660530718304,0.8847583643122676
btc_eth_macro_gate_balanced,candidate_25bps,BTC/ETH/cash macro risk gate,development,25,0.20002605127253803,0.6281168905695268,0.5934409935427069,0.2699829367588655,0.5047837916339928,-0.7408840487248671,0.33880678708264916,0.030377668308702793,0.49808429118773945,0.13875,0.5019157088122606,11.087848932676518,-0.4329294666098096,0.44949275810729517,1.2873563218390804
btc_eth_macro_gate_balanced,candidate_25bps,BTC/ETH/cash macro risk gate,holdout,25,0.2506806098543801,0.9700672636549106,1.2341802107524358,1.3610143521675673,0.26610866572870884,-0.1841866027754544,0.23048327137546468,0.027881040892193308,0.2894981412639405,0.037500000000000006,0.7105018587360594,10.176579925650557,-0.05983982286898448,0.2445206579453003,0.8847583643122676
btc_eth_macro_gate_strict,candidate_25bps,BTC/ETH/cash macro risk gate,development,25,0.13971837652177466,0.6006471499348873,0.45602327931884723,0.25556750731989436,0.28547052385869726,-0.5466985141694436,0.1510673234811166,0.021346469622331693,0.19827586206896552,0.0975,0.8017241379310345,7.791461412151067,-0.404716491443881,0.40798780987603434,0.5823754789272031
btc_eth_macro_gate_strict,candidate_25bps,BTC/ETH/cash macro risk gate,holdout,25,0.2569330818659854,1.5545888603373372,2.007409546582479,5.614415279436633,0.15435732139688194,-0.04576310605434353,0.06505576208178439,0.010223048327137546,0.07806691449814127,0.01375,0.9219330855018587,3.7314126394052045,-0.00856596926455866,0.25434449191347674,0.2342007434944238
btc_eth_macro_crypto_gate_balanced,candidate_25bps,BTC/ETH/cash macro + crypto-native risk gate,development,25,0.25103012361910393,0.9631140166490842,0.9148342729693736,0.5897463268477425,0.27049091514981527,-0.4256577992793731,0.22495894909688013,0.02353585112205802,0.2547892720306513,0.10750000000000001,0.7452107279693487,8.590585659551177,-0.1734816266700021,0.3818129568955291,0.8505747126436781
btc_eth_macro_crypto_gate_balanced,candidate_25bps,BTC/ETH/cash macro + crypto-native risk gate,holdout,25,0.15495373600161688,0.8740377509035193,0.9368883896196543,1.4093550679577604,0.1839612804704427,-0.10994655606990089,0.18401486988847585,0.027881040892193308,0.19516728624535315,0.037500000000000006,0.8048327137546468,10.176579925650557,-0.036049557528970766,0.14935445238263823,0.7026022304832714
