split,regime_layer,state,days,fraction_days,mean_daily_return,sharpe,exposure
development,macro,neutral,474.0,0.2594417077175698,-0.0008431157509607468,-0.5181882852454227,0.4572784810126582
development,macro,risk_off,695.0,0.38040503557744937,0.00019433953309771435,0.37660365526592415,0.1420863309352518
development,macro,risk_on,658.0,0.36015325670498083,0.002814018770897803,1.5954160358926768,0.9034954407294833
development,crypto,not_used,1827.0,1.0,0.0008686663715370944,0.6281168905695268,0.49808429118773945
development,combined,neutral,474.0,0.2594417077175698,-0.0008431157509607468,-0.5181882852454227,0.4572784810126582
development,combined,risk_off,695.0,0.38040503557744937,0.00019433953309771435,0.37660365526592415,0.1420863309352518
development,combined,risk_on,658.0,0.36015325670498083,0.002814018770897803,1.5954160358926768,0.9034954407294833
holdout,macro,neutral,133.0,0.24721189591078066,-0.0006522509991510061,-0.8717165808079754,0.37218045112781956
holdout,macro,risk_off,311.0,0.5780669144981413,0.00031750635248811964,0.6724084595998885,0.11816720257234727
holdout,macro,risk_on,94.0,0.17472118959107807,0.0039202241138964235,3.207152319961719,0.7393617021276596
holdout,crypto,not_used,538.0,1.0,0.0007072419320501586,0.9700672636549106,0.2894981412639405
holdout,combined,neutral,133.0,0.24721189591078066,-0.0006522509991510061,-0.8717165808079754,0.37218045112781956
holdout,combined,risk_off,311.0,0.5780669144981413,0.00031750635248811964,0.6724084595998885,0.11816720257234727
holdout,combined,risk_on,94.0,0.17472118959107807,0.0039202241138964235,3.207152319961719,0.7393617021276596
feature_coverage,Tier 1 macro,equity_realized_vol_21d,,0.995970695970696,,,
feature_coverage,Tier 1 macro,equity_momentum_21d,,0.9915750915750916,,,
feature_coverage,Tier 1 macro,dow_vol_level,,0.9992673992673993,,,
feature_coverage,Tier 1 macro,vix_level,,0.9992673992673993,,,
feature_coverage,Tier 1 macro,vix_change_5d,,0.9974358974358974,,,
feature_coverage,Tier 1 macro,vix_change_21d,,0.9915750915750916,,,
feature_coverage,Tier 1 crypto-native,stablecoin_supply_change_7d,,0.9996336996336996,,,
feature_coverage,Tier 1 crypto-native,tvl_growth_30d,,0.9996336996336996,,,
feature_coverage,Tier 1 crypto-native,volatility_expansion_probability,,0.6553113553113553,,,
feature_coverage,Tier 1 crypto-native,cross_sectional_dispersion,,0.9227106227106228,,,
