candidate,fold,fold_sharpe
top10_momentum_macro_crypto_gate_balanced,7,1.6653945209900787
top10_momentum_macro_crypto_gate_balanced,8,1.7040521405938744
top10_momentum_macro_crypto_gate_balanced,9,-0.9487102926365911
top10_momentum_macro_crypto_gate_balanced,10,-0.8302388412810251
top10_momentum_macro_crypto_gate_balanced,11,-0.4247022376402244
top10_momentum_macro_crypto_gate_balanced,12,0.20270379789079798
top10_momentum_macro_crypto_gate_balanced,13,0.5527738007470278
top10_momentum_macro_crypto_gate_balanced,14,0.8453038650504257
top10_momentum_macro_crypto_gate_strict,0,1.9160278885281314
top10_momentum_macro_crypto_gate_strict,1,0.03740747528388337
top10_momentum_macro_crypto_gate_strict,2,1.3139542602096541
top10_momentum_macro_crypto_gate_strict,3,1.5180262974940828
top10_momentum_macro_crypto_gate_strict,4,1.5180262974940828
top10_momentum_macro_crypto_gate_strict,5,-0.12107751302328966
top10_momentum_macro_crypto_gate_strict,6,0.9940106155514491
top10_momentum_macro_crypto_gate_strict,7,1.165962176471234
top10_momentum_macro_crypto_gate_strict,8,1.165962176471234
top10_momentum_macro_crypto_gate_strict,9,-0.882649855241459
top10_momentum_macro_crypto_gate_strict,10,-0.8485851159780393
top10_momentum_macro_crypto_gate_strict,11,-0.8485851159780393
top10_momentum_macro_crypto_gate_strict,12,-0.26987907422696583
top10_momentum_macro_crypto_gate_strict,13,-0.26987907422696583
top10_momentum_macro_crypto_gate_strict,14,-inf
