date,ret,ret_net
2001-01-23,0.010634327536499955,0.010534327536499955
2001-02-20,-0.016135158995065346,-0.016235158995065346
2001-02-27,0.04412334058438594,0.04402334058438594
2001-05-22,-0.06340917423715453,-0.06350917423715453
2001-05-29,0.039635279090257214,0.03953527909025721
2001-06-05,0.029583549843187784,0.029483549843187785
2001-06-12,-0.021829083652617376,-0.021929083652617375
2001-06-19,-0.006998135898653279,-0.00709813589865328
2001-06-26,-0.010241471737585384,-0.010341471737585383
2001-07-03,0.031136878071784113,0.031036878071784114
2001-07-10,0.005231666160511295,0.005131666160511294
2001-07-17,-0.007137467352956728,-0.007237467352956728
2001-07-24,-0.005967945046960743,-0.006067945046960743
2001-07-31,0.012977381689227685,0.012877381689227686
2001-08-21,0.0047049867911787,0.0046049867911787
2001-08-28,0.009818226207386371,0.009718226207386372
2001-09-04,0.002570626958622313,0.002470626958622313
2001-09-10,-0.0,-0.0001
2001-09-18,-0.06075110320031185,-0.060851103200311854
2001-09-25,-0.0083304194572702,-0.008430419457270199
2001-10-02,0.0020654254854238774,0.0019654254854238776
2001-10-09,0.0034494654054979534,0.0033494654054979536
2001-10-16,0.022845296791112024,0.022745296791112025
2001-10-23,0.02196238738061873,0.02186238738061873
2001-11-13,0.006793079482084963,0.0066930794820849624
2002-01-22,0.010196884524336203,0.010096884524336203
2002-01-29,0.0003552614689720235,0.0002552614689720235
2002-02-12,-0.008383634801008455,-0.008483634801008454
2002-02-19,0.024941801448402523,0.024841801448402524
2002-02-26,-0.01637103544722729,-0.01647103544722729
2002-03-05,0.01342281879194629,0.01332281879194629
2002-03-12,0.0013605234574298741,0.001260523457429874
2002-03-19,0.0027248579493039937,0.002624857949303994
2002-03-26,-0.012978205153593603,-0.013078205153593602
2002-04-02,-0.03135531895344257,-0.03145531895344257
2002-04-09,0.023210219827327738,0.02311021982732774
2002-04-16,-0.0,-0.0001
2002-04-30,-0.016118400975277503,-0.016218400975277502
2002-05-07,-0.008740732471286705,-0.008840732471286705
2002-05-28,-0.02564916534710515,-0.02574916534710515
2002-06-04,-0.012040734701991962,-0.012140734701991961
2002-06-11,0.024710115581374814,0.024610115581374815
2004-04-12,-0.002864674682539592,-0.0029646746825395917
2004-04-20,0.053320622639945525,0.05322062263994552
2004-06-01,0.016224616298226247,0.016124616298226247
2005-01-18,0.003081342330774728,0.002981342330774728
2005-01-25,-0.002835567515164006,-0.0029355675151640057
2005-02-01,-0.0028436308223489526,-0.0029436308223489524
2005-02-08,-0.019486649066842388,-0.019586649066842387
2005-02-15,0.032234579729094825,0.03213457972909482
2005-02-22,0.020192548078800554,0.020092548078800555
2005-05-31,-0.002874280735404189,-0.0029742807354041887
2005-06-07,0.02041796841038379,0.02031796841038379
2005-08-23,0.01501908118216111,0.01491908118216111
2005-08-30,0.018661770148738155,0.018561770148738155
2006-10-10,-0.007634848988556486,-0.007734848988556487
2006-10-17,0.031124299760619145,0.031024299760619146
2006-10-24,-0.008987599937691715,-0.009087599937691714
2006-10-31,0.0337097028557225,0.0336097028557225
2007-01-16,0.01875713661382794,0.01865713661382794
2007-06-19,0.018812663387866246,0.018712663387866247
2007-07-03,0.016819886682396534,0.016719886682396535
2007-07-10,0.014703592015566036,0.014603592015566037
2008-09-09,-0.022236055172748403,-0.022336055172748403
2008-09-16,-0.0134671273214646,-0.0135671273214646
2008-09-23,0.14037347070186734,0.14027347070186735
2008-11-04,0.02258895236409475,0.02248895236409475
2008-11-11,-0.031746031746031744,-0.03184603174603175
