timestamp,equity_eur
2026-04-14 08:00:00+00:00,1000.0
2026-04-14 16:00:00+00:00,1000.0
2026-04-15 00:00:00+00:00,1000.0
2026-04-15 08:00:00+00:00,1000.0
2026-04-15 16:00:00+00:00,1000.0
2026-04-16 00:00:00+00:00,1000.0
2026-04-16 08:00:00+00:00,1000.0
2026-04-16 16:00:00+00:00,1000.0
2026-04-17 00:00:00+00:00,1000.0
2026-04-17 08:00:00+00:00,1000.0
2026-04-17 16:00:00+00:00,1000.0
2026-04-18 00:00:00+00:00,1000.0
2026-04-18 08:00:00+00:00,1000.0
2026-04-18 16:00:00+00:00,1000.0
2026-04-19 00:00:00+00:00,1000.0
2026-04-19 08:00:00+00:00,1000.0
2026-04-19 16:00:00+00:00,1000.0
2026-04-20 00:00:00+00:00,1000.0
2026-04-20 08:00:00+00:00,1000.0
2026-04-20 16:00:00+00:00,1000.0
2026-04-21 00:00:00+00:00,1000.0
2026-04-21 08:00:00+00:00,1000.0
2026-04-21 16:00:00+00:00,1000.0
2026-04-22 00:00:00+00:00,1000.0
2026-04-22 08:00:00+00:00,1000.0
2026-04-22 16:00:00+00:00,1000.0
2026-04-23 00:00:00+00:00,1000.0
2026-04-23 08:00:00+00:00,1000.0
2026-04-23 16:00:00+00:00,1000.0
2026-04-24 00:00:00+00:00,1000.0
2026-04-24 08:00:00+00:00,1000.0
2026-04-24 16:00:00+00:00,1000.0
2026-04-25 00:00:00+00:00,1000.0
2026-04-25 08:00:00+00:00,1000.0
2026-04-25 16:00:00+00:00,1000.0
2026-04-26 00:00:00+00:00,1000.0
2026-04-26 08:00:00+00:00,1000.0
2026-04-26 16:00:00+00:00,1000.0
2026-04-27 00:00:00+00:00,1000.0
2026-04-27 08:00:00+00:00,1000.0
2026-04-27 16:00:00+00:00,1000.0
2026-04-28 00:00:00+00:00,1000.0
2026-04-28 08:00:00+00:00,1000.0
2026-04-28 16:00:00+00:00,1000.0
2026-04-29 00:00:00+00:00,1000.0
2026-04-29 08:00:00+00:00,1000.0
2026-04-29 16:00:00+00:00,1000.0
2026-04-30 00:00:00+00:00,1000.0
2026-04-30 08:00:00+00:00,1000.0
2026-04-30 16:00:00+00:00,1000.0
2026-05-01 00:00:00+00:00,1000.0
2026-05-01 08:00:00+00:00,1000.0
