,ret
1970-02-28,-0.0258456809596025
1970-03-31,0.0222787486995448
1970-04-30,0.0087656370713289
1970-05-31,-0.0399694642527779
1970-06-30,0.1011099731010898
1970-07-31,-0.0371420145809412
1970-08-31,-0.0074406269623091
1970-09-30,0.0209798696569904
1970-10-31,0.063456142288295
1970-11-30,0.0093826664107356
1970-12-31,0.0618658280279726
1971-01-31,0.0194342305611263
1971-02-28,0.007021858628756373
1971-03-31,0.018822566073401204
1971-04-30,0.02165948444987748
1971-05-31,-0.0126855560277654
1971-06-30,0.0015633252782268467
1971-07-31,-0.002327299478618559
1971-08-31,-0.005985452156785658
1971-09-30,0.0047204885227265575
1971-10-31,-0.009159953770542127
1971-11-30,-0.0079417194715508
1971-12-31,0.07892261979448445
1972-01-31,0.026097826223679843
1972-02-29,0.029131677569481717
1972-03-31,0.019974638208073416
1972-04-30,0.016143318525844188
1972-05-31,-0.004457572703493184
1972-06-30,-0.016848472366341634
1972-07-31,-0.0034865857238596137
1972-08-31,0.01639440179994281
1972-09-30,-0.003315806921289308
1972-10-31,0.004145117405714496
1972-11-30,0.01994687498613497
1972-12-31,0.0043183791252621555
1973-01-31,-0.00040554183108763793
1973-02-28,-0.0578227113911105
1973-03-31,-0.017328880743846788
1973-04-30,-0.05875791938369887
1973-05-31,-0.021959259161039586
1973-06-30,-0.023412016962939833
1973-07-31,0.033295217535199616
1973-08-31,-0.029235390678741695
1973-09-30,0.037873714772475704
1973-10-31,-0.0007481536632815818
1973-11-30,-0.0822433115520315
1973-12-31,-0.011770616750367897
1974-01-31,0.02578515784289285
1974-02-28,-0.012140984614342721
1974-03-31,0.0008501642876205846
1974-04-30,-0.027082818149937085
1974-05-31,-0.01998316009210579
1974-06-30,-0.004733132421888802
1974-07-31,-0.035950686938075856
1974-08-31,-0.043360387665465835
1974-09-30,-0.03170703506196008
1974-10-31,0.02502134539715659
1974-11-30,0.007566949132887503
1974-12-31,-0.02697202840569274
1975-01-31,0.06492563736054421
1975-02-28,0.018675272488082262
1975-03-31,0.012773624515482014
1975-04-30,0.005871303307284758
1975-05-31,0.017720657615093796
1975-06-30,0.013950484817400294
1975-07-31,-0.010777665060803444
1975-08-31,-0.018596440821047663
1975-09-30,-0.012769121070911733
1975-10-31,0.011727600363708967
1975-11-30,0.004972118931375744
1975-12-31,-0.009222555739711855
1976-01-31,0.046000202457482056
1976-02-29,0.013055781237747302
1976-03-31,-0.007975529945526263
1976-04-30,-0.0010175088359770453
1976-05-31,-0.011828928918402232
1976-06-30,0.006800588086332941
1976-07-31,0.003051535398535866
1976-08-31,-0.007709077083365003
1976-09-30,0.017316385025708064
1976-10-31,-0.01968843238020016
1976-11-30,0.005471934428966436
1976-12-31,0.03443898728133983
1977-01-31,-0.01369369606712398
1977-02-28,-0.013854849556217103
1977-03-31,1.4969875881059542e-05
1977-04-30,0.00036373884296892026
1977-05-31,0.017622124624712746
1977-06-30,0.022497407598371565
1977-07-31,-0.0031688638170048957
1977-08-31,-0.01731464091054274
1977-09-30,0.014621937369408604
1977-10-31,-0.017326834881221654
1977-11-30,0.04036882064613839
1977-12-31,-0.01292023722777122
1978-01-31,-0.05550006013969864
1978-02-28,0.0034410056333764962
1978-03-31,0.023467652877043672
1978-04-30,0.056876401250866127
1978-05-31,0.021878564963190548
1978-06-30,0.01575069705122705
1978-07-31,0.025515177742739894
1978-08-31,0.05981027692703202
1978-09-30,-0.005516412331612566
1978-10-31,-0.06382396375927392
1978-11-30,0.002513987136803804
1978-12-31,0.014054363189889648
1979-01-31,0.029687742297294168
1979-02-28,-0.019546689006228326
1979-03-31,0.021198591475266055
1979-04-30,0.010924327079096796
1979-05-31,-0.011177231478214507
1979-06-30,0.019561064467986628
1979-07-31,0.01107716038004864
1979-08-31,0.02289286785515708
1979-09-30,-0.006193725568888212
1979-10-31,-0.030992529271919565
1979-11-30,0.02944642481798593
1979-12-31,0.021775872199996077
1980-01-31,0.022785109789893822
1980-02-29,-0.0025835387109403632
1980-03-31,-0.09320275350604314
1980-04-30,0.020640389907533446
1980-05-31,0.02373206308329196
1980-06-30,0.016966334173357245
1980-07-31,0.02921963249896469
1980-08-31,0.014857422801558265
1980-09-30,0.0073707530553961806
1980-10-31,0.008645471436181438
1980-11-30,0.023943862512960924
1980-12-31,-0.013268797811041368
1981-01-31,-0.007925682661484326
1981-02-28,-0.0006714690806482194
1981-03-31,0.02045139932346948
1981-04-30,0.0026096990294874694
1981-05-31,-0.0015180232498845374
1981-06-30,-0.018242707147621856
1981-07-31,-0.02385341367456297
1981-08-31,-0.02632127894425905
1981-09-30,-0.05704416718290182
1981-10-31,0.046303204586579425
1981-11-30,0.024594462676206078
1981-12-31,0.0028972568913837003
1982-01-31,-0.023796010100269466
1982-02-28,-0.01345643756395422
1982-03-31,-0.012667257050387588
1982-04-30,0.024100293230776875
1982-05-31,-0.013323009656314751
1982-06-30,-0.027566868916300318
1982-07-31,-0.015579903618319397
1982-08-31,0.0039446561973307745
1982-09-30,0.027584038183251704
1982-10-31,0.05155600449810177
1982-11-30,0.04841509399655309
1982-12-31,0.017949827027304147
1983-01-31,0.024085022433326903
1983-02-28,0.022158616146874976
1983-03-31,0.02692244118762938
1983-04-30,0.022333706022848298
1983-05-31,0.025798553982447407
1983-06-30,0.008314419538936997
1983-07-31,-0.02672956772754612
1983-08-31,-0.03447659966794289
1983-09-30,0.017679679786820588
1983-10-31,-0.02368131415312717
1983-11-30,0.0042178445519246745
1983-12-31,-0.012145048261086993
1984-01-31,-0.0004986299195786529
1984-02-29,-0.03550751570416872
1984-03-31,0.0010900148580800235
1984-04-30,-0.009280392548955938
1984-05-31,-0.02152141860558655
1984-06-30,0.024272412782468663
1984-07-31,-0.024049442654214055
1984-08-31,0.08796617642054286
1984-09-30,-0.009547741244342663
1984-10-31,-0.008964798259315558
1984-11-30,-0.009689664608610657
1984-12-31,-0.018574098007035994
1985-01-31,0.011409433192469398
1985-02-28,0.004685578855797009
1985-03-31,-0.0005397712802919574
1985-04-30,0.004067132352626643
1985-05-31,0.0008175191780131842
1985-06-30,0.006479569960535672
1985-07-31,0.007228574273614062
1985-08-31,-0.00971692810808703
1985-09-30,-0.013128770890866349
1985-10-31,0.0030719848391284467
1985-11-30,0.05017116675072656
1985-12-31,0.01527524004016126
1986-01-31,0.051105856056220124
1986-02-28,0.056584906958604755
1986-03-31,0.02135450801389798
1986-04-30,-0.00651706375643338
1986-05-31,0.0008956398256643416
1986-06-30,0.021873296487963552
1986-07-31,-0.0368336446400941
1986-08-31,-0.0031364367837206247
1986-09-30,-0.024419834453084006
1986-10-31,0.003772943251352164
1986-11-30,0.01860323486533173
1986-12-31,0.006771646482558854
1987-01-31,0.0490103145271924
1987-02-28,0.045780607654301704
1987-03-31,0.014526288281357637
1987-04-30,-0.010985758698255115
1987-05-31,0.03822617491063775
1987-06-30,0.03684950652661704
1987-07-31,0.006557297183531979
1987-08-31,0.02702296909124442
1987-09-30,-0.04474705696572534
1987-10-31,-0.04992750625163125
1987-11-30,0.03369695694658511
1987-12-31,-0.036944992277574105
1988-01-31,0.022750967328817862
1988-02-29,0.00892325484187237
1988-03-31,0.00935977762463364
1988-04-30,0.006035167393720103
1988-05-31,-0.017078434581330567
1988-06-30,0.02976090108929682
1988-07-31,-0.011656030566091736
1988-08-31,0.0030431646638513295
1988-09-30,0.008593314649575315
