date,ret,ret_net
2009-11-03,-0.0006284779440015598,-0.0007284779440015598
2009-11-09,0.0021356554296992902,0.0020356554296992904
2009-11-17,0.003651024983169271,0.003551024983169271
2009-11-24,0.03942384092297746,0.03932384092297746
2009-12-01,-0.030912999306610178,-0.031012999306610178
2010-01-05,-0.03676928864580331,-0.036869288645803314
2010-01-12,0.011984783756526673,0.011884783756526674
2010-01-19,0.021908704696161907,0.021808704696161908
2010-01-26,0.05454312505304226,0.05444312505304226
2010-02-02,-0.033730481907938925,-0.03383048190793893
2010-03-23,-0.002570461710056371,-0.0026704617100563707
2010-03-30,-0.005615908483782128,-0.0057159084837821285
2010-04-06,-0.05426725072549643,-0.05436725072549643
2010-04-13,0.032127975630918626,0.03202797563091862
2010-04-20,0.007138680329923819,0.007038680329923819
2010-04-27,0.012102990338781705,0.012002990338781706
2010-11-16,0.05050743566833393,0.05040743566833393
2010-11-23,0.013237750623861011,0.013137750623861012
2010-11-30,-0.03520000751201913,-0.03530000751201913
2010-12-07,-0.05445252404969092,-0.05455252404969092
2010-12-14,0.0046228847764464565,0.004522884776446456
2010-12-21,-0.01744450540124487,-0.01754450540124487
2010-12-28,-0.018592720714978306,-0.018692720714978305
2011-01-04,0.02306263700534128,0.02296263700534128
2011-01-11,-0.019355598680860675,-0.019455598680860674
2011-01-18,-0.0029634139090954914,-0.0030634139090954912
2011-01-25,0.056795742700874174,0.05669574270087417
2011-02-15,0.030135756533338,0.030035756533338
2011-02-22,-0.10970113891696065,-0.10980113891696065
2011-03-01,-0.06476432166675483,-0.06486432166675483
2011-03-08,-0.05410016599657719,-0.05420016599657719
2011-03-15,0.07465241466857575,0.07455241466857575
2011-03-22,-0.07017904582637646,-0.07027904582637647
2011-03-29,-0.007596162649301297,-0.007696162649301297
2011-04-05,-0.03387723438637025,-0.03397723438637025
2011-04-12,0.019291087396498985,0.019191087396498985
2011-04-19,-0.01788236730238979,-0.01798236730238979
2011-04-26,-0.03754042997051865,-0.037640429970518655
2011-05-03,0.010337724286421102,0.010237724286421102
2011-05-10,0.06456556147052128,0.06446556147052128
2013-12-17,0.013095126256757017,0.012995126256757018
2013-12-24,-0.020571898527955268,-0.020671898527955267
2013-12-31,0.008062921204549323,0.007962921204549323
2014-01-07,0.04826254916044881,0.048162549160448806
2014-02-04,0.0022585074677365924,0.0021585074677365926
2014-02-11,-0.028295091376892456,-0.028395091376892456
2014-02-18,-0.02491492698561215,-0.02501492698561215
2014-02-25,0.005857643974748417,0.005757643974748416
2014-03-04,-0.014730432809857419,-0.014830432809857418
2014-03-11,0.03193654304926208,0.031836543049262075
2014-03-18,0.003299028642225532,0.0031990286422255323
2014-03-25,0.005115291097758989,0.005015291097758989
2014-04-01,-0.005544867515132612,-0.005644867515132612
2014-04-08,-0.028273508674783843,-0.028373508674783842
2014-04-15,-0.011602988199433062,-0.011702988199433061
2014-04-22,0.015614484304405152,0.015514484304405152
2014-04-29,0.008322711220798085,0.008222711220798085
2014-05-06,0.017575027653542352,0.017475027653542353
2014-05-13,-0.02211052209288633,-0.02221052209288633
2014-05-20,-0.00727635708328167,-0.007376357083281671
2014-05-27,-0.016302207430154203,-0.016402207430154202
2014-06-03,0.01392754720719902,0.013827547207199021
2014-06-10,-0.016462056806213488,-0.016562056806213487
2014-06-17,-0.019262119459723337,-0.019362119459723336
2014-06-24,0.003102687374585855,0.0030026873745858554
2014-07-01,0.0065076152914280705,0.00640761529142807
2014-07-08,0.01841650730449007,0.01831650730449007
2017-12-05,0.0063804575939411245,0.006280457593941124
2017-12-26,-0.043682599655814114,-0.04378259965581412
2018-01-02,-0.006669963365676157,-0.006769963365676157
2018-01-09,-0.042902106980491794,-0.0430021069804918
2018-01-16,-0.01222999474206743,-0.012329994742067429
2018-01-23,-0.011611512376935806,-0.011711512376935806
2018-01-30,-0.00046531376964265014,-0.0005653137696426502
2018-02-06,0.017209311788396353,0.017109311788396354
2018-02-13,0.06625652000913751,0.0661565200091375
2018-02-20,-0.045784810982358426,-0.04588481098235843
2018-02-27,-0.017932096418288967,-0.018032096418288967
2018-03-06,0.006506901417770661,0.0064069014177706605
2018-03-13,0.0301916842766341,0.0300916842766341
2018-03-20,-0.04430905093019932,-0.044409050930199326
2018-03-27,-0.029179785955777193,-0.029279785955777193
2018-04-03,0.026666692390295732,0.026566692390295733
2018-04-10,-0.03149116465996116,-0.03159116465996116
2018-04-17,-0.015417409157392648,-0.015517409157392647
