timestamp,oi,price
2026-06-18 16:00:00+00:00,2581034725.5466,63187.6
2026-06-19 16:00:00+00:00,2665612166.1622,64129.7
2026-06-20 16:00:00+00:00,2651569874.8967,64191.6
2026-06-21 16:00:00+00:00,2668831407.2882,64803.5
2026-06-22 16:00:00+00:00,2634158005.2497,62459.9
2026-06-23 16:00:00+00:00,2697980405.5143,60252.7
2026-06-24 16:00:00+00:00,2703500354.8087,59528.4
2026-06-25 16:00:00+00:00,2700609722.6585,60297.4
2026-06-26 16:00:00+00:00,2485111326.2864,60816.0
2026-06-27 16:00:00+00:00,2514782580.8159,59865.4
2026-06-28 16:00:00+00:00,2507518848.5675,59788.6
2026-06-29 16:00:00+00:00,2548089122.7054,58359.8
2026-06-30 16:00:00+00:00,2723204145.6682,60123.2
2026-07-01 16:00:00+00:00,2556725461.4239,61583.4
2026-07-02 16:00:00+00:00,2535164534.855,61899.9
2026-07-03 16:00:00+00:00,2588967622.9523,62906.6
2026-07-04 16:00:00+00:00,2510949323.398,62710.0
2026-07-05 16:00:00+00:00,2507760596.9697,63519.9
2026-07-06 16:00:00+00:00,2528351580.8849,63913.4
2026-07-07 16:00:00+00:00,2563218021.0242,61671.7
2026-07-08 16:00:00+00:00,2526172785.1121,62835.1
2026-07-09 16:00:00+00:00,2492435840.9608,64018.2
2026-07-10 16:00:00+00:00,2568108026.3488,64145.4
2026-07-11 16:00:00+00:00,2590719245.1757,64153.1
2026-07-12 16:00:00+00:00,2581498973.8269,62587.0
2026-07-13 16:00:00+00:00,2605866899.4096,64731.6
2026-07-14 16:00:00+00:00,2590714194.8219,65389.0
2026-07-15 16:00:00+00:00,2622536215.0275,64679.0
2026-07-16 16:00:00+00:00,2588930567.9014,63436.7
2026-07-17 16:00:00+00:00,2592805384.4882,63878.9
