fee_scenario,capital_eur,leverage,volume_multiple,taker_fee_bps,fee_cost_eur,slippage_cost_eur,funding_cost_eur,rebalance_cost_eur,opportunity_cost_eur,total_monthly_cost_eur,total_monthly_cost_pct_of_capital,exceeds_safe_leverage_BTC
typical_pair (Pacifica+StandX),500.0,1,25,4.0,10.0,7.5,0.5,24.0,1.34,43.34,8.67,False
typical_pair (Pacifica+StandX),500.0,1,50,4.0,20.0,15.0,0.5,24.0,1.34,60.84,12.17,False
typical_pair (Pacifica+StandX),500.0,1,100,4.0,40.0,30.0,0.5,24.0,1.34,95.84,19.17,False
typical_pair (Pacifica+StandX),500.0,1,250,4.0,100.0,75.0,0.5,24.0,1.34,200.84,40.17,False
typical_pair (Pacifica+StandX),500.0,2,10,4.0,4.0,3.0,1.01,24.0,1.34,33.35,6.67,True
typical_pair (Pacifica+StandX),500.0,2,25,4.0,10.0,7.5,1.01,24.0,1.34,43.85,8.77,True
typical_pair (Pacifica+StandX),500.0,2,50,4.0,20.0,15.0,1.01,24.0,1.34,61.35,12.27,True
typical_pair (Pacifica+StandX),500.0,2,100,4.0,40.0,30.0,1.01,24.0,1.34,96.35,19.27,True
typical_pair (Pacifica+StandX),500.0,2,250,4.0,100.0,75.0,1.01,24.0,1.34,201.35,40.27,True
typical_pair (Pacifica+StandX),500.0,3,10,4.0,4.0,3.0,1.51,24.0,1.34,33.85,6.77,True
typical_pair (Pacifica+StandX),500.0,3,25,4.0,10.0,7.5,1.51,24.0,1.34,44.35,8.87,True
typical_pair (Pacifica+StandX),500.0,3,50,4.0,20.0,15.0,1.51,24.0,1.34,61.85,12.37,True
typical_pair (Pacifica+StandX),500.0,3,100,4.0,40.0,30.0,1.51,24.0,1.34,96.85,19.37,True
typical_pair (Pacifica+StandX),500.0,3,250,4.0,100.0,75.0,1.51,24.0,1.34,201.85,40.37,True
typical_pair (Pacifica+StandX),1000.0,1,10,4.0,8.0,6.0,1.01,24.0,2.67,41.68,4.17,False
typical_pair (Pacifica+StandX),1000.0,1,25,4.0,20.0,15.0,1.01,24.0,2.67,62.68,6.27,False
typical_pair (Pacifica+StandX),1000.0,1,50,4.0,40.0,30.0,1.01,24.0,2.67,97.68,9.77,False
typical_pair (Pacifica+StandX),1000.0,1,100,4.0,80.0,60.0,1.01,24.0,2.67,167.68,16.77,False
typical_pair (Pacifica+StandX),1000.0,1,250,4.0,200.0,150.0,1.01,24.0,2.67,377.68,37.77,False
typical_pair (Pacifica+StandX),1000.0,2,10,4.0,8.0,6.0,2.02,24.0,2.67,42.69,4.27,True
typical_pair (Pacifica+StandX),1000.0,2,25,4.0,20.0,15.0,2.02,24.0,2.67,63.69,6.37,True
typical_pair (Pacifica+StandX),1000.0,2,50,4.0,40.0,30.0,2.02,24.0,2.67,98.69,9.87,True
typical_pair (Pacifica+StandX),1000.0,2,100,4.0,80.0,60.0,2.02,24.0,2.67,168.69,16.87,True
typical_pair (Pacifica+StandX),1000.0,2,250,4.0,200.0,150.0,2.02,24.0,2.67,378.69,37.87,True
typical_pair (Pacifica+StandX),1000.0,3,10,4.0,8.0,6.0,3.02,24.0,2.67,43.7,4.37,True
typical_pair (Pacifica+StandX),1000.0,3,25,4.0,20.0,15.0,3.02,24.0,2.67,64.7,6.47,True
typical_pair (Pacifica+StandX),1000.0,3,50,4.0,40.0,30.0,3.02,24.0,2.67,99.7,9.97,True
typical_pair (Pacifica+StandX),1000.0,3,100,4.0,80.0,60.0,3.02,24.0,2.67,169.7,16.97,True
typical_pair (Pacifica+StandX),1000.0,3,250,4.0,200.0,150.0,3.02,24.0,2.67,379.7,37.97,True
typical_pair (Pacifica+StandX),2000.0,1,10,4.0,16.0,12.0,2.02,24.0,5.35,59.37,2.97,False
typical_pair (Pacifica+StandX),2000.0,1,25,4.0,40.0,30.0,2.02,24.0,5.35,101.37,5.07,False
typical_pair (Pacifica+StandX),2000.0,1,50,4.0,80.0,60.0,2.02,24.0,5.35,171.37,8.57,False
typical_pair (Pacifica+StandX),2000.0,1,100,4.0,160.0,120.0,2.02,24.0,5.35,311.37,15.57,False
typical_pair (Pacifica+StandX),2000.0,1,250,4.0,400.0,300.0,2.02,24.0,5.35,731.37,36.57,False
typical_pair (Pacifica+StandX),2000.0,2,10,4.0,16.0,12.0,4.03,24.0,5.35,61.38,3.07,True
typical_pair (Pacifica+StandX),2000.0,2,25,4.0,40.0,30.0,4.03,24.0,5.35,103.38,5.17,True
typical_pair (Pacifica+StandX),2000.0,2,50,4.0,80.0,60.0,4.03,24.0,5.35,173.38,8.67,True
typical_pair (Pacifica+StandX),2000.0,2,100,4.0,160.0,120.0,4.03,24.0,5.35,313.38,15.67,True
typical_pair (Pacifica+StandX),2000.0,2,250,4.0,400.0,300.0,4.03,24.0,5.35,733.38,36.67,True
typical_pair (Pacifica+StandX),2000.0,3,10,4.0,16.0,12.0,6.05,24.0,5.35,63.4,3.17,True
typical_pair (Pacifica+StandX),2000.0,3,25,4.0,40.0,30.0,6.05,24.0,5.35,105.4,5.27,True
typical_pair (Pacifica+StandX),2000.0,3,50,4.0,80.0,60.0,6.05,24.0,5.35,175.4,8.77,True
typical_pair (Pacifica+StandX),2000.0,3,100,4.0,160.0,120.0,6.05,24.0,5.35,315.4,15.77,True
typical_pair (Pacifica+StandX),2000.0,3,250,4.0,400.0,300.0,6.05,24.0,5.35,735.4,36.77,True
