meeting_date,close_date,ret,ret_net
1994-02-04,1994-02-04,-0.02267478124074518,-0.022774781240745178
1994-03-22,1994-03-22,0.0005548709679121799,0.00045487096791217994
1994-05-17,1994-05-17,0.010978885891759438,0.010878885891759438
1994-07-06,1994-07-06,-0.0005376486703860817,-0.0006376486703860817
1994-08-16,1994-08-16,0.008195474468830621,0.008095474468830622
1994-09-27,1994-09-27,0.0026691125584845654,0.0025691125584845656
1994-11-15,1994-11-15,-0.002167216863587451,-0.002267216863587451
1994-12-20,1994-12-20,-0.0017689012079138422,-0.0018689012079138422
1995-02-01,1995-02-01,-4.2556716718156196e-05,-0.0001425567167181562
1995-03-28,1995-03-28,0.001391060557377699,0.001291060557377699
1995-05-23,1995-05-23,0.009433786328824967,0.009333786328824967
1995-07-06,1995-07-06,0.012297592275438252,0.012197592275438252
1995-08-22,1995-08-22,0.002526444995961219,0.002426444995961219
1995-09-26,1995-09-26,-0.0006875516332498499,-0.00078755163324985
1995-11-15,1995-11-15,0.007924865718818896,0.007824865718818897
1995-12-19,1995-12-19,0.00843755893572462,0.008337558935724621
1996-01-31,1996-01-31,0.009315234293048924,0.009215234293048925
1996-03-26,1996-03-26,0.0045074038133359196,0.004407403813335919
1996-05-21,1996-05-21,-0.0005793874088870776,-0.0006793874088870777
1996-07-03,1996-07-03,-0.0017962336720238614,-0.0018962336720238615
1996-08-20,1996-08-20,-0.001335195513845644,-0.001435195513845644
1996-09-24,1996-09-24,-0.0012673277326943344,-0.0013673277326943345
1996-11-13,1996-11-13,0.002151992062986885,0.002051992062986885
1996-12-17,1996-12-17,0.00701822199737645,0.00691822199737645
1997-02-05,1997-02-05,-0.01391174053276889,-0.01401174053276889
1997-03-25,1997-03-25,-0.0023012141897224003,-0.0024012141897224
1997-05-20,1997-05-20,0.010068709321860547,0.009968709321860548
1997-07-02,1997-07-02,0.014589856203004237,0.014489856203004237
1997-08-19,1997-08-19,0.014816622292785242,0.014716622292785243
1997-09-30,1997-09-30,-0.006356596164940553,-0.006456596164940554
1997-11-12,1997-11-12,-0.019290314532759756,-0.019390314532759755
1997-12-16,1997-12-16,0.004826667609382662,0.004726667609382662
1998-02-04,1998-02-04,0.0008946564752112529,0.0007946564752112529
1998-03-31,1998-03-31,0.007452473112662394,0.007352473112662394
1998-05-19,1998-05-19,0.003345999730430149,0.0032459997304301494
