date,ret
1996-08-05,-8.440735372099446e-05
1996-08-06,0.00133682410542042
1996-08-07,0.0005608974605391781
1996-08-08,0.0005604620089705969
1996-08-09,0.00023788894022020994
1996-08-12,0.0007854932851259599
1996-08-13,-8.418082868992823e-05
1996-08-14,0.0006238904210609908
1996-08-15,0.00020536405576405674
1996-08-16,7.663954578769332e-05
1996-08-19,0.0010735352005518228
1996-08-20,0.0005905103165924741
1996-08-21,0.0007185804886076896
1996-08-22,0.0035731111002395674
1996-08-23,-0.0019057776743839794
1996-08-26,-0.002165600846252436
1996-08-27,0.0022268120365285912
1996-08-28,-0.00043614997779788394
1996-08-29,-0.006074571905159298
1996-08-30,-0.006047028333362947
1996-09-03,0.004422569483143968
1996-09-04,0.0009162964438783172
1996-09-05,-0.008534546107121167
1996-09-06,0.011755947006608047
1996-09-09,0.00808223577598095
1996-09-10,0.0009688290240910779
1996-09-11,0.0025928120229963933
1996-09-12,0.002395341720225885
1996-09-13,0.0035307392162070125
1996-09-16,0.0007382780005210198
1996-09-17,0.00010644833389445989
1996-09-18,0.00032738720639986503
1996-09-19,0.0003902371659641579
1996-09-20,0.0007371309835886963
1996-09-23,0.0003898551874000455
1996-09-24,0.0003266238343742733
1996-09-25,-0.00017725339149714532
1996-09-26,0.0007044838275618969
1996-09-27,0.00048372663796698574
1996-09-30,0.0005778386453967998
1996-10-01,0.0014262634815621178
1996-10-02,0.0022718272729387976
1996-10-03,1.1509787736074735e-05
1996-10-04,0.003832394740785294
1996-10-07,0.0008849651536653846
1996-10-08,-0.00045618718151689834
1996-10-09,-0.00014460673978404788
1996-10-10,0.0001360636430099537
1996-10-11,0.0019447492789975262
1996-10-14,0.0006337065707913813
1996-10-15,4.2424007385810577e-05
1996-10-16,0.0003844781907472283
1996-10-17,0.00032207854540817755
1996-10-18,0.002310943747391669
1996-10-21,-0.00039188454532461674
1996-10-22,-0.0018497979436080004
1996-10-23,0.0009123189008795717
1996-10-24,-0.003279458210375386
1996-10-25,-0.0009542739596063888
1996-10-28,-0.0014226585684195437
1996-10-29,0.0032268433067206945
1996-10-30,-0.0004242922629920543
1996-10-31,0.0039959044052993555
1996-11-01,-0.0007639509143595902
1996-11-04,0.0038277143931589428
1996-11-05,0.003782121601380761
1996-11-06,0.0041372214045716895
1996-11-07,0.00016414388032977005
1996-11-08,0.0012985076109329307
1996-11-11,0.0007456445160166191
1996-11-12,0.0002555116211727215
1996-11-13,0.0003471948537195457
1996-11-14,0.00022482190958201802
1996-11-15,-0.0025876165437466628
1996-11-18,-5.051878175659226e-05
1996-11-19,0.0036580188856106363
1996-11-20,-0.00020305110427680802
1996-11-21,0.0002855022700690268
1996-11-22,0.003918875719026338
1996-11-25,0.002261111272869498
1996-11-26,-0.0005356287180008801
1996-11-27,0.0005266011472833787
1996-11-29,0.0009511430949585397
1996-12-02,0.001162322825895301
1996-12-03,-0.004288957375329683
1996-12-04,0.0017438255238931388
1996-12-05,-0.0008090649942029016
1996-12-06,-0.002541233425398848
1996-12-09,0.00777656569317815
1996-12-10,-0.0008055591323899325
1996-12-11,-0.0034675356864978693
1996-12-12,-0.010186070019619842
1996-12-13,0.0020955338272657495
1996-12-16,-0.010177024637116273
1996-12-17,0.00977796681087446
1996-12-18,0.006132433892216027
1996-12-19,0.012757027163580691
1996-12-20,0.0004306990714858072
1996-12-23,0.00013024067050022563
1996-12-24,0.002681869554114935
1996-12-26,0.0028243364389136214
1996-12-27,0.00012938938599822418
1996-12-30,-0.0002884710258016954
1996-12-31,-0.0059912384087533075
1997-01-02,-0.0014315531343256805
1997-01-03,0.008672978085019278
1997-01-06,-0.00043735922388681296
1997-01-07,0.0037688868815396012
1997-01-08,-0.0026649156260521337
1997-01-09,0.0031685950241338687
1997-01-10,0.003158461209156704
1997-01-13,0.0015198176196760782
1997-01-14,0.0018722936848890148
1997-01-15,0.0004227622003139641
1997-01-16,0.00045209023699206425
1997-01-17,0.0016605148213393983
1997-01-20,0.0015694943465545785
1997-01-21,0.0037708453223142644
1997-01-22,0.0020000721642268846
1997-01-23,-0.005044823529810993
1997-01-24,-0.00286801110230599
1997-01-27,-0.0031411532237363596
1997-01-28,3.9203490504191514e-05
1997-01-29,0.005769358485628717
1997-01-30,0.006176611030220003
1997-02-04,0.0038035178636993236
1997-02-05,-0.005689470255098516
1997-02-06,0.0034013507566637677
1997-02-07,0.004963232039488408
1997-02-10,-0.0012087056764709559
1997-02-11,0.0021574798083828337
1997-02-12,0.0024714419792780215
1997-02-13,0.0009626083232899374
1997-02-14,0.0004708573484413891
1997-02-18,0.0007880495205823789
1997-02-19,0.0003261935564127904
1997-02-20,0.00032598590575434456
1997-02-21,-0.0011146406824900535
1997-02-24,0.006296501697671109
1997-02-25,0.0011552573452916048
1997-02-26,-0.003283366474624061
1997-02-27,-0.005850155538321289
1997-02-28,-0.002273196153707402
1997-03-03,0.004004870396167326
1997-03-04,-0.0020962087875079807
1997-03-05,0.009227591427056602
1997-03-06,-0.0025681866934627487
1997-03-07,0.005147340476766416
1997-03-10,0.005777670695550863
1997-03-11,-0.0003605622638869655
1997-03-12,-0.002490997104700621
1997-03-13,-0.009017829937347833
1997-03-14,0.005209614037466515
1997-03-17,0.003267264279455406
1997-03-18,-0.004777714283329559
1997-03-19,-0.0038557453988829374
1997-03-20,-0.005134927419583812
1997-03-21,0.006710227611333841
1997-03-24,0.004628104668849065
1997-03-25,0.0006084464226486341
1997-03-26,0.0014071808005740704
1997-03-27,-0.012018220762808385
1997-03-31,-0.01386591426325139
1997-04-01,0.004133823713971041
1997-04-02,-0.011963113725960862
1997-04-03,0.0008056511600108118
1997-04-04,0.010319834557192941
1997-04-07,0.006540307799865652
1997-04-08,0.005541618768556922
1997-04-09,-0.007394168228225406
1997-04-10,-0.0026896312229255817
1997-04-11,-0.027138900134657074
