,ret
1970-02-28,-0.0258456809596025
1970-03-31,0.0222787486995448
1970-04-30,0.0087656370713289
1970-05-31,-0.0399694642527779
1970-06-30,0.1011099731010898
1970-07-31,-0.0371420145809412
1970-08-31,-0.0074406269623091
1970-09-30,0.0209798696569904
1970-10-31,0.063456142288295
1970-11-30,0.0093826664107356
1970-12-31,0.0618658280279726
1971-01-31,0.0194342305611263
1971-02-28,0.007109428059127048
1971-03-31,0.01787520459589536
1971-04-30,0.019898900670025164
1971-05-31,-0.011289857531088666
1971-06-30,0.0024630687182743997
1971-07-31,0.0004542933474403955
1971-08-31,-0.011329516234414364
1971-09-30,0.00506620029862228
1971-10-31,-0.005355004429883133
1971-11-30,-0.007466657471335629
1971-12-31,0.07999255532161227
1972-01-31,0.026311739640802464
1972-02-29,0.028341615948279584
1972-03-31,0.021789163735623614
1972-04-30,0.01661046813831056
1972-05-31,-0.006340580575634804
1972-06-30,-0.017211627393307487
1972-07-31,-0.0014939503725800113
1972-08-31,0.01752449655949319
1972-09-30,-0.0033700903353603984
1972-10-31,0.004641418026352893
1972-11-30,0.02121529154629702
1972-12-31,0.00459175060000433
1973-01-31,0.008595450751777246
1973-02-28,-0.054183927012183324
1973-03-31,-0.015432806159567287
1973-04-30,-0.05299059739931931
1973-05-31,-0.017618484212469976
1973-06-30,-0.025434262986930904
1973-07-31,0.027531879766718944
1973-08-31,-0.031050539858439627
1973-09-30,0.03824774030828948
1973-10-31,0.0007049159822464336
1973-11-30,-0.08217737946426697
1973-12-31,-0.01318721757491576
1974-01-31,0.029676896626340377
1974-02-28,-0.01442619794955918
1974-03-31,0.003500293169841629
1974-04-30,-0.027654063380674068
1974-05-31,-0.016866526625543603
1974-06-30,-0.0004657788213244213
1974-07-31,-0.036596948352900324
1974-08-31,-0.041813558134685146
1974-09-30,-0.02866797943398736
1974-10-31,0.013410967015124557
1974-11-30,0.013245040621515191
1974-12-31,-0.028671972318413938
1975-01-31,0.06489038062195335
1975-02-28,0.020341776084167637
1975-03-31,0.01365315368170866
1975-04-30,0.004861342563925133
1975-05-31,0.018422582422439136
1975-06-30,0.014370160368064105
1975-07-31,-0.010272247635080825
1975-08-31,-0.01958205558624253
1975-09-30,-0.011079059405609857
1975-10-31,0.011788765695250407
1975-11-30,0.004246112145033245
1975-12-31,-0.009926518570968372
1976-01-31,0.04603876001098383
1976-02-29,0.01240503246630413
1976-03-31,-0.010141976031318058
1976-04-30,-0.00036821725633672675
1976-05-31,-0.011977472040137268
1976-06-30,0.005750966177795843
1976-07-31,0.002779638015587022
1976-08-31,-0.007179933232236919
1976-09-30,0.01963336071969124
1976-10-31,-0.022473020970144395
1976-11-30,0.00578356832537308
1976-12-31,0.03221931738090093
1977-01-31,-0.013372812753483756
1977-02-28,-0.014515373794113438
1977-03-31,0.0014084908720701974
1977-04-30,-0.0020873352853718035
1977-05-31,0.02171905987003643
1977-06-30,0.01848058666188211
1977-07-31,-0.005339099919788715
1977-08-31,-0.01932807538560099
1977-09-30,0.01641165697871149
1977-10-31,-0.01356597187596898
1977-11-30,0.03768897155939051
1977-12-31,-0.019772544597968456
1978-01-31,-0.05660564200028035
1978-02-28,0.003220117368804688
1978-03-31,0.018641681057296522
1978-04-30,0.051935993637438116
1978-05-31,0.019845566588171392
1978-06-30,0.020124515463695574
1978-07-31,0.0232735627016427
1978-08-31,0.06313026297184464
1978-09-30,-0.004115341196755281
1978-10-31,-0.05423091908044598
1978-11-30,-0.00013696253259523614
1978-12-31,0.015174051940622038
1979-01-31,0.03137201886574481
1979-02-28,-0.02252809743512426
1979-03-31,0.01937055721394366
1979-04-30,0.012785922721034728
1979-05-31,-0.01223384261135735
1979-06-30,0.019785121068245693
1979-07-31,0.012035528707607986
1979-08-31,0.02268309533824403
1979-09-30,-0.007626395780483296
1979-10-31,-0.028919878317838998
1979-11-30,0.02883339404461061
1979-12-31,0.02171306766136565
1980-01-31,0.0200370050108652
1980-02-29,0.00027591752733632005
1980-03-31,-0.09720403328561504
1980-04-30,0.020372636199509592
1980-05-31,0.024071192383583184
1980-06-30,0.01785083900643037
1980-07-31,0.030115829760986926
1980-08-31,0.014538060556182644
1980-09-30,0.006722398187725432
1980-10-31,0.009100589599163251
1980-11-30,0.023353334074789185
1980-12-31,-0.01427695182328775
1981-01-31,-0.007950703741886042
1981-02-28,-0.0007846909555046273
1981-03-31,0.020851507842143867
1981-04-30,-0.0013854324853259496
1981-05-31,-0.00652236893807477
1981-06-30,-0.016742107176644105
1981-07-31,-0.02681662327315722
1981-08-31,-0.020317577905690866
1981-09-30,-0.05991877600472582
1981-10-31,0.047756187439993235
1981-11-30,0.027625477517392565
1981-12-31,0.007024466334511551
1982-01-31,-0.024545639131203546
1982-02-28,-0.01087223817219888
1982-03-31,-0.012945632452883488
1982-04-30,0.023436628265738457
1982-05-31,-0.012284318376209276
1982-06-30,-0.028871125846927064
1982-07-31,-0.016164021268980807
1982-08-31,-0.0016961889443463688
1982-09-30,0.027589890958077803
1982-10-31,0.047283234741116086
1982-11-30,0.050139757737301116
1982-12-31,0.022321647377318725
1983-01-31,0.023152874441866953
1983-02-28,0.02248311076958666
1983-03-31,0.02897569768334133
1983-04-30,0.01865403594255435
1983-05-31,0.02581044094610728
1983-06-30,0.006632029360105785
1983-07-31,-0.02490017021856927
1983-08-31,-0.03603837495211805
1983-09-30,0.02010236000845042
1983-10-31,-0.02051182713623391
1983-11-30,0.001183343776887386
1983-12-31,-0.011553457617044119
1984-01-31,0.00378289727661141
1984-02-29,-0.036031387775445595
1984-03-31,0.002355659090219497
1984-04-30,-0.009520405332880911
1984-05-31,-0.017725403960009937
1984-06-30,0.024853829672019163
1984-07-31,-0.022232262773088186
1984-08-31,0.08894926920347317
1984-09-30,-0.009496573409994259
1984-10-31,-0.009228141084669154
1984-11-30,-0.0057997527993254964
1984-12-31,-0.017710491636934916
1985-01-31,0.008261411532882642
1985-02-28,0.005809241819334317
1985-03-31,0.00030391961528918835
1985-04-30,0.004187975254200813
1985-05-31,-0.0006681316899419846
1985-06-30,0.007265297934325904
1985-07-31,0.008299899890512498
1985-08-31,-0.010969781872797004
1985-09-30,-0.010569061896185936
1985-10-31,0.00109172002958468
1985-11-30,0.05508411952763858
1985-12-31,0.016390515361092588
1986-01-31,0.05474528416542518
1986-02-28,0.05514632244554954
1986-03-31,0.01857448571944187
1986-04-30,-0.012954749790696267
1986-05-31,-0.00428303850828923
1986-06-30,0.02198309114926612
1986-07-31,-0.03253507245314483
1986-08-31,-0.0056751939390601944
1986-09-30,-0.017806351629659396
1986-10-31,0.0017718183090018676
1986-11-30,0.02235189434806119
1986-12-31,0.012668546311511944
1987-01-31,0.04949687251782235
1987-02-28,0.04832073869632418
1987-03-31,0.018327145048021912
1987-04-30,-0.007948219608577155
1987-05-31,0.04301201370509396
1987-06-30,0.04028995647730309
1987-07-31,0.005797637283183206
1987-08-31,0.030584657895758743
1987-09-30,-0.05165043154743676
1987-10-31,-0.038976404735630084
1987-11-30,0.045643282498425634
1987-12-31,-0.0400793659901784
1988-01-31,0.021671943815957755
1988-02-29,0.006857162085846482
1988-03-31,0.00816709467259861
1988-04-30,0.008179037085112419
1988-05-31,-0.014756950661571424
1988-06-30,0.02928194269246447
1988-07-31,-0.00982327125542586
1988-08-31,0.005569654483629581
1988-09-30,0.009682737462077352
