,S2_overnight_IXIC,S4_turn_of_month,S8_vol_premium,Mkt-RF,SMB,HML,RMW,CMA,Mom
S2_overnight_IXIC,1.0,0.2679861377481735,0.5514655764978684,0.6983118228318588,0.3009483412464875,-0.19210942785010002,-0.15311673599213127,-0.26105823806585676,-0.08087869380141365
S4_turn_of_month,0.2679861377481735,1.0,0.27161795006508144,0.26575781503224066,0.22677279550455215,-0.04920729866210912,-0.07312127035400094,-0.07721309621099688,-0.11212363477358459
S8_vol_premium,0.5514655764978684,0.27161795006508144,1.0,0.8411722753438519,0.19717191832213596,0.034789370173591974,-0.25261306677651896,-0.1924264896668794,-0.3194283114521064
Mkt-RF,0.6983118228318588,0.26575781503224066,0.8411722753438519,1.0,0.2799567616452396,-0.22126302457255745,-0.22145205267608317,-0.36662387807554003,-0.22757085004655095
SMB,0.3009483412464875,0.22677279550455215,0.19717191832213596,0.2799567616452396,1.0,0.007993653228975516,-0.3348418493646676,-0.07254394373341307,-0.10990696095114019
HML,-0.19210942785010002,-0.04920729866210912,0.034789370173591974,-0.22126302457255745,0.007993653228975516,1.0,0.13895229773875245,0.687194209976527,-0.15432925123082944
RMW,-0.15311673599213127,-0.07312127035400094,-0.25261306677651896,-0.22145205267608317,-0.3348418493646676,0.13895229773875245,1.0,0.09563737533068928,0.09063840520694408
CMA,-0.26105823806585676,-0.07721309621099688,-0.1924264896668794,-0.36662387807554003,-0.07254394373341307,0.687194209976527,0.09563737533068928,1.0,0.03841668719958254
Mom,-0.08087869380141365,-0.11212363477358459,-0.3194283114521064,-0.22757085004655095,-0.10990696095114019,-0.15432925123082944,0.09063840520694408,0.03841668719958254,1.0
