pair,sector,entry_date,exit_date,pnl_eur,return_frac,direction
ETHUSDT/SOLUSDT,L1,2026-03-03 00:00:00+00:00,2026-03-16 00:00:00+00:00,41.49599639158434,0.04149599639158434,1
ETHUSDT/TRXUSDT,L1,2025-10-24 00:00:00+00:00,2025-10-25 00:00:00+00:00,-34.20671126383801,-0.03420671126383801,-1
ETHUSDT/TRXUSDT,L1,2025-10-26 00:00:00+00:00,2025-10-27 00:00:00+00:00,-8.181452386820208,-0.008181452386820208,-1
ETHUSDT/TRXUSDT,L1,2025-10-28 00:00:00+00:00,2025-10-29 00:00:00+00:00,8.105139637466705,0.008105139637466705,-1
ETHUSDT/TRXUSDT,L1,2025-10-30 00:00:00+00:00,2025-11-03 00:00:00+00:00,-25.846214318301072,-0.025846214318301072,-1
ETHUSDT/TRXUSDT,L1,2025-11-04 00:00:00+00:00,2025-12-13 00:00:00+00:00,-42.33908247720262,-0.042339082477202625,-1
SOLUSDT/TONUSDT,L1,2026-05-04 00:00:00+00:00,2026-05-05 00:00:00+00:00,-114.51434736944734,-0.11451434736944734,1
SOLUSDT/TONUSDT,L1,2026-05-06 00:00:00+00:00,2026-05-07 00:00:00+00:00,-83.9750227054112,-0.08397502270541121,1
SOLUSDT/TONUSDT,L1,2026-05-08 00:00:00+00:00,2026-05-09 00:00:00+00:00,24.518022020103103,0.024518022020103104,1
SOLUSDT/TONUSDT,L1,2026-05-10 00:00:00+00:00,2026-05-11 00:00:00+00:00,14.684128732910324,0.014684128732910324,1
SOLUSDT/TONUSDT,L1,2026-05-12 00:00:00+00:00,2026-05-13 00:00:00+00:00,40.092193567969574,0.04009219356796957,1
SOLUSDT/TONUSDT,L1,2026-05-14 00:00:00+00:00,2026-05-15 00:00:00+00:00,40.92388542911473,0.04092388542911473,1
SOLUSDT/TONUSDT,L1,2026-05-16 00:00:00+00:00,2026-05-17 00:00:00+00:00,-16.644279347242048,-0.01664427934724205,1
SOLUSDT/TONUSDT,L1,2026-05-18 00:00:00+00:00,2026-05-19 00:00:00+00:00,-6.205732763220224,-0.006205732763220224,1
SOLUSDT/TONUSDT,L1,2026-05-20 00:00:00+00:00,2026-05-21 00:00:00+00:00,-7.665812405959509,-0.007665812405959509,1
SOLUSDT/TONUSDT,L1,2026-05-22 00:00:00+00:00,2026-05-23 00:00:00+00:00,7.504520163897297,0.0075045201638972965,1
SOLUSDT/TONUSDT,L1,2026-05-24 00:00:00+00:00,2026-05-25 00:00:00+00:00,-75.88337166130566,-0.07588337166130565,1
SOLUSDT/TONUSDT,L1,2026-05-26 00:00:00+00:00,2026-05-27 00:00:00+00:00,25.970195407485093,0.025970195407485092,1
SOLUSDT/TONUSDT,L1,2026-05-28 00:00:00+00:00,2026-05-29 00:00:00+00:00,3.080219638211763,0.003080219638211763,1
SOLUSDT/TONUSDT,L1,2026-05-30 00:00:00+00:00,2026-05-31 00:00:00+00:00,-38.064453049904124,-0.03806445304990412,1
SOLUSDT/TONUSDT,L1,2026-06-01 00:00:00+00:00,2026-06-02 00:00:00+00:00,-7.559554929903597,-0.007559554929903597,1
SOLUSDT/TONUSDT,L1,2026-06-03 00:00:00+00:00,2026-06-04 00:00:00+00:00,75.03880343708876,0.07503880343708876,1
SOLUSDT/TONUSDT,L1,2026-06-05 00:00:00+00:00,2026-06-06 00:00:00+00:00,-76.99575291034664,-0.07699575291034663,1
