coin,n_periods,span_days,median_disp_8h,p10_disp_8h,p90_disp_8h,abs_median_disp_8h,abs_p90_disp_8h,abs_p95_disp_8h,cost_floor_8h_4legs,pct_periods_exceeding_cost_floor,annualized_median_disp_pct
BTC,285,94,2.5581292754500002e-05,-6.052911383716e-05,9.616069930579997e-05,4.536515336640001e-05,0.00010389206093318,0.00013035594464736003,0.002,0.0,2.80115155661775
ETH,285,94,2.98374398641e-05,-6.502676593962e-05,0.00010041468056664,4.7986164251800005e-05,0.00011488303643386,0.00013489787787252002,0.002,0.0,3.26719966511895
SOL,285,94,1.27078770146e-05,-9.24615288163e-05,0.00010694540525889999,5.68782135591e-05,0.00012331961989226,0.00014161732307864,0.002,0.0,1.3915125330987
