feature,favourable_weeks,fraction_weeks
vix_change_21d,204,0.5230769230769231
equity_momentum_21d,192,0.49230769230769234
vix_change_5d,173,0.44358974358974357
equity_realized_vol_21d,169,0.43333333333333335
dow_vol_level,162,0.4153846153846154
vix_level,160,0.41025641025641024
