gate,split,features,risk_on_fraction,neutral_fraction,risk_off_fraction,CAGR,Sharpe,Sortino,Calmar,Annualized Volatility,Maximum Drawdown,Hit Rate,Turnover,Exposure,Transaction Costs,Cash Allocation,Annual Turnover,Worst Month,Best Month,Average Holdings
full_selected_strategy,development,"equity_realized_vol_21d, equity_momentum_21d, dow_vol_level, vix_level, vix_change_5d, vix_change_21d",0.36015325670498083,0.2594417077175698,0.38040503557744937,0.20002605127253803,0.6281168905695268,0.5934409935427069,0.2699829367588655,0.5047837916339928,-0.7408840487248671,0.33880678708264916,0.030377668308702793,0.49808429118773945,0.13875,0.5019157088122606,11.087848932676518,-0.4329294666098096,0.44949275810729517,1.2873563218390804
full_selected_strategy,holdout,"equity_realized_vol_21d, equity_momentum_21d, dow_vol_level, vix_level, vix_change_5d, vix_change_21d",0.17472118959107807,0.24721189591078066,0.5780669144981413,0.2506806098543801,0.9700672636549106,1.2341802107524358,1.3610143521675673,0.26610866572870884,-0.1841866027754544,0.23048327137546468,0.027881040892193308,0.2894981412639405,0.037500000000000006,0.7105018587360594,10.176579925650557,-0.05983982286898448,0.2445206579453003,0.8847583643122676
vix_only_gate,development,"vix_level, vix_change_5d, vix_change_21d",0.5024630541871922,0.36179529282977557,0.13574165298303228,0.43647471181975783,0.9461097644341184,1.0743869290871098,0.5910327624424611,0.5510535270745565,-0.7384949524896263,0.46852764094143406,0.040229885057471264,0.6791187739463601,0.18375000000000002,0.3208812260536399,14.683908045977011,-0.4329294666098096,0.44949275810729517,1.7701149425287357
vix_only_gate,holdout,"vix_level, vix_change_5d, vix_change_21d",0.42379182156133827,0.4200743494423792,0.15613382899628253,0.08456415278780005,0.40080389884617174,0.6075578557896756,0.3261270080715182,0.37820721073103847,-0.2592982203094799,0.4423791821561338,0.04460966542750929,0.6236059479553904,0.06,0.37639405204460963,16.28252788104089,-0.15518521976598887,0.25737879271446706,1.79182156133829
equity_momentum_only_gate,development,equity_momentum_21d,0.5002736726874658,0.0,0.4997263273125342,0.6994105612808372,1.3650283109992454,1.5582759362112284,1.1182373266324477,0.46933310263756606,-0.6254580710403399,0.35960591133004927,0.03776683087027915,0.5461138478379858,0.1725,0.4538861521620142,13.784893267651888,-0.3309150816234361,0.48720154027014706,1.3431855500821017
equity_momentum_only_gate,holdout,equity_momentum_21d,0.3308550185873606,0.0,0.6691449814126395,0.16203543755517935,0.6908191390621888,0.6458379165505574,0.8214842976232878,0.26910017069651754,-0.19724715131376103,0.1970260223048327,0.031598513011152414,0.30576208178438663,0.0425,0.6942379182156133,11.533457249070633,-0.1184062079704824,0.279658536584944,0.7806691449814126
vix_plus_equity_momentum_gate,development,"vix_level, equity_momentum_21d, vix_change_5d, vix_change_21d",0.33825944170771755,0.2999452654625068,0.36179529282977557,0.36065675188988267,0.9191955440006168,0.9972733352520952,0.5234348015475424,0.4426697463680624,-0.6890194362766783,0.38040503557744937,0.043787629994526546,0.4995894909688013,0.2,0.5004105090311988,15.982484948002188,-0.41628631939246863,0.40798780987603434,1.4351395730706076
vix_plus_equity_momentum_gate,holdout,"vix_level, equity_momentum_21d, vix_change_5d, vix_change_21d",0.1970260223048327,0.3308550185873606,0.4721189591078067,0.24706943056638253,0.9778559735693771,1.2856599176051886,2.191012094557376,0.2594132044789976,-0.11276497796617369,0.27137546468401486,0.04275092936802974,0.3350371747211896,0.0575,0.6649628252788105,15.604089219330856,-0.1001818063030806,0.25737879271446706,1.0408921933085502
equity_volatility_plus_vix_gate,development,"equity_realized_vol_21d, vix_level, vix_change_5d, vix_change_21d",0.34537493158182814,0.32074438970990693,0.33388067870826493,0.09378275498015931,0.442819480590701,0.4196997479523224,0.12807099430955493,0.488375417631989,-0.7322716239204095,0.3448275862068966,0.037219485495347565,0.4965790914066776,0.16999999999999998,0.5034209085933223,13.58511220580186,-0.4329294666098096,0.44949275810729517,1.3234811165845648
equity_volatility_plus_vix_gate,holdout,"equity_realized_vol_21d, vix_level, vix_change_5d, vix_change_21d",0.20446096654275092,0.34944237918215615,0.44609665427509293,0.20602153521092226,0.7823843324433701,1.066296097978232,1.005789327053304,0.2930105240478716,-0.20483567449906304,0.2936802973977695,0.0362453531598513,0.3694237918215613,0.04875,0.6305762081784387,13.229553903345725,-0.1001818063030806,0.2445206579453003,1.1263940520446096
