allocation,weeks,average_forward_btc_eth_50_50_7d,hit_rate_btc_eth_50_50_7d,average_target_btc_weight,average_target_eth_weight,average_target_cash_weight,average_target_exposure,frequency
BTC/ETH,201,0.013765019149388803,0.5572139303482587,0.38930348258706465,0.38930348258706465,0.22139303482587064,0.7786069651741293,0.5153846153846153
cash,189,0.009221152618577977,0.5079365079365079,0.0,0.0,1.0,0.0,0.4846153846153846
