date,feature,value,threshold,rule,favorable
2019-01-17,vix_change_21d,,-0.1799999999999997,<=,False
2019-01-18,equity_realized_vol_21d,0.2473493227837909,0.1406289261638587,>=,True
2019-01-18,equity_momentum_21d,,0.0157027249562728,>=,False
2019-01-18,dow_vol_level,17.83,17.84,>=,False
2019-01-18,vix_level,18.06,19.54,>=,False
2019-01-18,vix_change_5d,-0.1300000000000025,-0.1600000000000001,<=,False
2019-01-18,vix_change_21d,,-0.1799999999999997,<=,False
2019-01-19,equity_realized_vol_21d,0.2404993879050545,0.1406289261638587,>=,True
2019-01-19,equity_momentum_21d,,0.0157027249562728,>=,False
2019-01-19,dow_vol_level,17.59,17.84,>=,False
2019-01-19,vix_level,17.8,19.54,>=,False
2019-01-19,vix_change_5d,-0.3900000000000005,-0.1600000000000001,<=,True
2019-01-19,vix_change_21d,,-0.1799999999999997,<=,False
2019-01-20,equity_realized_vol_21d,0.2341814477325598,0.1406289261638587,>=,True
2019-01-20,equity_momentum_21d,,0.0157027249562728,>=,False
2019-01-20,dow_vol_level,17.59,17.84,>=,False
2019-01-20,vix_level,17.8,19.54,>=,False
2019-01-20,vix_change_5d,-1.2699999999999996,-0.1600000000000001,<=,True
2019-01-20,vix_change_21d,,-0.1799999999999997,<=,False
2019-01-21,equity_realized_vol_21d,0.2283310523917318,0.1406289261638587,>=,True
2019-01-21,equity_momentum_21d,,0.0157027249562728,>=,False
2019-01-21,dow_vol_level,17.59,17.84,>=,False
2019-01-21,vix_level,17.8,19.54,>=,False
2019-01-21,vix_change_5d,-0.8000000000000007,-0.1600000000000001,<=,True
2019-01-21,vix_change_21d,,-0.1799999999999997,<=,False
2019-01-22,equity_realized_vol_21d,0.2228939840468888,0.1406289261638587,>=,True
2019-01-22,equity_momentum_21d,,0.0157027249562728,>=,False
2019-01-22,dow_vol_level,17.59,17.84,>=,False
2019-01-22,vix_level,17.8,19.54,>=,False
2019-01-22,vix_change_5d,-1.2399999999999984,-0.1600000000000001,<=,True
2019-01-22,vix_change_21d,,-0.1799999999999997,<=,False
2019-01-23,equity_realized_vol_21d,0.2311351778920724,0.1406289261638587,>=,True
2019-01-23,equity_momentum_21d,,0.0157027249562728,>=,False
2019-01-23,dow_vol_level,20.43,17.84,>=,True
2019-01-23,vix_level,20.8,19.54,>=,True
2019-01-23,vix_change_5d,2.740000000000002,-0.1600000000000001,<=,False
2019-01-23,vix_change_21d,,-0.1799999999999997,<=,False
2019-01-24,equity_realized_vol_21d,0.2308385468815812,0.1406289261638587,>=,True
2019-01-24,equity_momentum_21d,0.0512623355099339,0.0157027249562728,>=,True
2019-01-24,dow_vol_level,19.48,17.84,>=,True
2019-01-24,vix_level,19.52,19.54,>=,False
2019-01-24,vix_change_5d,1.7199999999999989,-0.1600000000000001,<=,False
2019-01-24,vix_change_21d,-3.6999999999999993,-0.1799999999999997,<=,True
2019-01-25,equity_realized_vol_21d,0.200463896172852,0.1406289261638587,>=,True
2019-01-25,equity_momentum_21d,0.079431673808872,0.0157027249562728,>=,True
2019-01-25,dow_vol_level,19.57,17.84,>=,True
2019-01-25,vix_level,18.89,19.54,>=,False
2019-01-25,vix_change_5d,1.09,-0.1600000000000001,<=,False
2019-01-25,vix_change_21d,-6.559999999999999,-0.1799999999999997,<=,True
2019-01-26,equity_realized_vol_21d,0.1777246255846386,0.1406289261638587,>=,True
2019-01-26,equity_momentum_21d,0.052457799157958,0.0157027249562728,>=,True
2019-01-26,dow_vol_level,18.75,17.84,>=,True
2019-01-26,vix_level,17.42,19.54,>=,False
2019-01-26,vix_change_5d,-0.379999999999999,-0.1600000000000001,<=,True
2019-01-26,vix_change_21d,-3.959999999999997,-0.1799999999999997,<=,True
2019-01-27,equity_realized_vol_21d,0.1489450587256925,0.1406289261638587,>=,True
2019-01-27,equity_momentum_21d,0.052457799157958,0.0157027249562728,>=,True
2019-01-27,dow_vol_level,18.75,17.84,>=,True
2019-01-27,vix_level,17.42,19.54,>=,False
2019-01-27,vix_change_5d,-0.379999999999999,-0.1600000000000001,<=,True
2019-01-27,vix_change_21d,-3.959999999999997,-0.1799999999999997,<=,True
2019-01-28,equity_realized_vol_21d,0.1094602101569333,0.1406289261638587,>=,False
2019-01-28,equity_momentum_21d,0.052457799157958,0.0157027249562728,>=,True
2019-01-28,dow_vol_level,18.75,17.84,>=,True
2019-01-28,vix_level,17.42,19.54,>=,False
2019-01-28,vix_change_5d,-3.379999999999999,-0.1600000000000001,<=,True
2019-01-28,vix_change_21d,-3.959999999999997,-0.1799999999999997,<=,True
2019-01-29,equity_realized_vol_21d,0.1180141814020671,0.1406289261638587,>=,False
2019-01-29,equity_momentum_21d,0.0369299797230251,0.0157027249562728,>=,True
2019-01-29,dow_vol_level,19.53,17.84,>=,True
2019-01-29,vix_level,18.87,19.54,>=,False
2019-01-29,vix_change_5d,-0.6499999999999986,-0.1600000000000001,<=,True
2019-01-29,vix_change_21d,-2.5299999999999976,-0.1799999999999997,<=,True
2019-01-30,equity_realized_vol_21d,0.1180617374037838,0.1406289261638587,>=,False
2019-01-30,equity_momentum_21d,0.0254776822650626,0.0157027249562728,>=,True
2019-01-30,dow_vol_level,19.31,17.84,>=,True
2019-01-30,vix_level,19.13,19.54,>=,False
2019-01-30,vix_change_5d,0.2399999999999984,-0.1600000000000001,<=,False
2019-01-30,vix_change_21d,-1.34,-0.1799999999999997,<=,True
2019-01-31,equity_realized_vol_21d,0.1247836515445833,0.1406289261638587,>=,False
2019-01-31,equity_momentum_21d,0.0371727222084674,0.0157027249562728,>=,True
2019-01-31,dow_vol_level,17.73,17.84,>=,False
2019-01-31,vix_level,17.66,19.54,>=,False
2019-01-31,vix_change_5d,0.2399999999999984,-0.1600000000000001,<=,False
2019-01-31,vix_change_21d,-2.3200000000000003,-0.1799999999999997,<=,True
