feature,activation_rate,favourable_weeks,total_weeks,average_value,threshold
dow_vol_level,0.4153846153846154,162,390,18.77594871794872,17.84
equity_momentum_21d,0.49230769230769234,192,390,0.008111830322929227,0.0157027249562728
equity_realized_vol_21d,0.43333333333333335,169,390,0.15436654736196004,0.1406289261638587
vix_change_21d,0.5230769230769231,204,390,-0.044056847545219616,-0.1799999999999997
vix_change_5d,0.44358974358974357,173,390,0.23830334190231356,-0.1600000000000001
vix_level,0.41025641025641024,160,390,20.1304358974359,19.54
