date,macro_regime,favourable_feature_count,favourable_features,blocking_features,target_btc_weight,target_eth_weight,target_cash_weight,target_exposure,allocation,reason
2022-10-28,risk_on,6,"equity_realized_vol_21d, equity_momentum_21d, dow_vol_level, vix_level, vix_change_5d, vix_change_21d",,0.5,0.5,0.0,1.0,BTC/ETH,BTC/ETH because macro regime is risk_on; 6/6 macro features were favourable
2022-11-04,risk_on,5,"equity_realized_vol_21d, dow_vol_level, vix_level, vix_change_5d, vix_change_21d",equity_momentum_21d,0.5,0.5,0.0,1.0,BTC/ETH,BTC/ETH because macro regime is risk_on; 5/6 macro features were favourable
2022-11-11,risk_on,6,"equity_realized_vol_21d, equity_momentum_21d, dow_vol_level, vix_level, vix_change_5d, vix_change_21d",,0.5,0.5,0.0,1.0,BTC/ETH,BTC/ETH because macro regime is risk_on; 6/6 macro features were favourable
2022-11-18,risk_on,5,"equity_realized_vol_21d, equity_momentum_21d, dow_vol_level, vix_level, vix_change_21d",vix_change_5d,0.5,0.5,0.0,1.0,BTC/ETH,BTC/ETH because macro regime is risk_on; 5/6 macro features were favourable
2022-11-25,risk_on,6,"equity_realized_vol_21d, equity_momentum_21d, dow_vol_level, vix_level, vix_change_5d, vix_change_21d",,0.5,0.5,0.0,1.0,BTC/ETH,BTC/ETH because macro regime is risk_on; 6/6 macro features were favourable
2022-12-02,risk_on,6,"equity_realized_vol_21d, equity_momentum_21d, dow_vol_level, vix_level, vix_change_5d, vix_change_21d",,0.5,0.5,0.0,1.0,BTC/ETH,BTC/ETH because macro regime is risk_on; 6/6 macro features were favourable
2022-12-09,risk_on,4,"equity_realized_vol_21d, dow_vol_level, vix_level, vix_change_21d","equity_momentum_21d, vix_change_5d",0.5,0.5,0.0,1.0,BTC/ETH,BTC/ETH because macro regime is risk_on; 4/6 macro features were favourable
2022-12-16,neutral,3,"equity_realized_vol_21d, dow_vol_level, vix_level","equity_momentum_21d, vix_change_5d, vix_change_21d",0.25,0.25,0.5,0.5,BTC/ETH,BTC/ETH because macro regime is neutral; 3/6 macro features were favourable
2022-12-23,risk_on,4,"equity_realized_vol_21d, dow_vol_level, vix_level, vix_change_5d","equity_momentum_21d, vix_change_21d",0.5,0.5,0.0,1.0,BTC/ETH,BTC/ETH because macro regime is risk_on; 4/6 macro features were favourable
2022-12-30,risk_on,4,"equity_realized_vol_21d, dow_vol_level, vix_level, vix_change_21d","equity_momentum_21d, vix_change_5d",0.5,0.5,0.0,1.0,BTC/ETH,BTC/ETH because macro regime is risk_on; 4/6 macro features were favourable
2023-01-06,risk_on,4,"equity_realized_vol_21d, dow_vol_level, vix_level, vix_change_21d","equity_momentum_21d, vix_change_5d",0.5,0.5,0.0,1.0,BTC/ETH,BTC/ETH because macro regime is risk_on; 4/6 macro features were favourable
2023-01-13,risk_on,4,"equity_realized_vol_21d, equity_momentum_21d, vix_change_5d, vix_change_21d","dow_vol_level, vix_level",0.5,0.5,0.0,1.0,BTC/ETH,BTC/ETH because macro regime is risk_on; 4/6 macro features were favourable
2023-01-20,risk_on,4,"equity_realized_vol_21d, dow_vol_level, vix_level, vix_change_21d","equity_momentum_21d, vix_change_5d",0.5,0.5,0.0,1.0,BTC/ETH,BTC/ETH because macro regime is risk_on; 4/6 macro features were favourable
2023-01-27,risk_on,4,"equity_realized_vol_21d, equity_momentum_21d, vix_change_5d, vix_change_21d","dow_vol_level, vix_level",0.5,0.5,0.0,1.0,BTC/ETH,BTC/ETH because macro regime is risk_on; 4/6 macro features were favourable
2023-02-03,risk_off,2,"equity_realized_vol_21d, equity_momentum_21d","dow_vol_level, vix_level, vix_change_5d, vix_change_21d",0.0,0.0,1.0,0.0,cash,cash because macro regime is risk_off; only 2/6 macro features were favourable
2023-02-10,risk_on,4,"equity_realized_vol_21d, equity_momentum_21d, dow_vol_level, vix_level","vix_change_5d, vix_change_21d",0.5,0.5,0.0,1.0,BTC/ETH,BTC/ETH because macro regime is risk_on; 4/6 macro features were favourable
2023-02-17,neutral,3,"equity_realized_vol_21d, vix_level, vix_change_5d","equity_momentum_21d, dow_vol_level, vix_change_21d",0.25,0.25,0.5,0.5,BTC/ETH,BTC/ETH because macro regime is neutral; 3/6 macro features were favourable
2023-02-24,risk_off,2,"dow_vol_level, vix_level","equity_realized_vol_21d, equity_momentum_21d, vix_change_5d, vix_change_21d",0.0,0.0,1.0,0.0,cash,cash because macro regime is risk_off; only 2/6 macro features were favourable
2023-03-03,neutral,3,"vix_level, vix_change_5d, vix_change_21d","equity_realized_vol_21d, equity_momentum_21d, dow_vol_level",0.25,0.25,0.5,0.5,BTC/ETH,BTC/ETH because macro regime is neutral; 3/6 macro features were favourable
2023-03-10,neutral,3,"equity_realized_vol_21d, dow_vol_level, vix_level","equity_momentum_21d, vix_change_5d, vix_change_21d",0.25,0.25,0.5,0.5,BTC/ETH,BTC/ETH because macro regime is neutral; 3/6 macro features were favourable
2023-03-17,risk_on,4,"equity_realized_vol_21d, dow_vol_level, vix_level, vix_change_5d","equity_momentum_21d, vix_change_21d",0.5,0.5,0.0,1.0,BTC/ETH,BTC/ETH because macro regime is risk_on; 4/6 macro features were favourable
2023-03-24,risk_on,4,"equity_realized_vol_21d, dow_vol_level, vix_level, vix_change_5d","equity_momentum_21d, vix_change_21d",0.5,0.5,0.0,1.0,BTC/ETH,BTC/ETH because macro regime is risk_on; 4/6 macro features were favourable
2023-03-31,risk_on,5,"equity_realized_vol_21d, equity_momentum_21d, dow_vol_level, vix_change_5d, vix_change_21d",vix_level,0.5,0.5,0.0,1.0,BTC/ETH,BTC/ETH because macro regime is risk_on; 5/6 macro features were favourable
2023-04-07,risk_on,4,"equity_realized_vol_21d, equity_momentum_21d, vix_change_5d, vix_change_21d","dow_vol_level, vix_level",0.5,0.5,0.0,1.0,BTC/ETH,BTC/ETH because macro regime is risk_on; 4/6 macro features were favourable
2023-04-14,neutral,3,"equity_momentum_21d, vix_change_5d, vix_change_21d","equity_realized_vol_21d, dow_vol_level, vix_level",0.25,0.25,0.5,0.5,BTC/ETH,BTC/ETH because macro regime is neutral; 3/6 macro features were favourable
2023-04-21,risk_off,2,"equity_momentum_21d, vix_change_21d","equity_realized_vol_21d, dow_vol_level, vix_level, vix_change_5d",0.0,0.0,1.0,0.0,cash,cash because macro regime is risk_off; only 2/6 macro features were favourable
2023-04-28,risk_off,1,vix_change_21d,"equity_realized_vol_21d, equity_momentum_21d, dow_vol_level, vix_level, vix_change_5d",0.0,0.0,1.0,0.0,cash,cash because macro regime is risk_off; only 1/6 macro features were favourable
2023-05-05,risk_off,2,"dow_vol_level, vix_level","equity_realized_vol_21d, equity_momentum_21d, vix_change_5d, vix_change_21d",0.0,0.0,1.0,0.0,cash,cash because macro regime is risk_off; only 2/6 macro features were favourable
2023-05-12,neutral,3,"equity_realized_vol_21d, vix_change_5d, vix_change_21d","equity_momentum_21d, dow_vol_level, vix_level",0.25,0.25,0.5,0.5,BTC/ETH,BTC/ETH because macro regime is neutral; 3/6 macro features were favourable
2023-05-19,neutral,3,"equity_realized_vol_21d, vix_change_5d, vix_change_21d","equity_momentum_21d, dow_vol_level, vix_level",0.25,0.25,0.5,0.5,BTC/ETH,BTC/ETH because macro regime is neutral; 3/6 macro features were favourable
2023-05-26,risk_off,2,"equity_momentum_21d, vix_change_21d","equity_realized_vol_21d, dow_vol_level, vix_level, vix_change_5d",0.0,0.0,1.0,0.0,cash,cash because macro regime is risk_off; only 2/6 macro features were favourable
2023-06-02,neutral,3,"equity_momentum_21d, vix_change_5d, vix_change_21d","equity_realized_vol_21d, dow_vol_level, vix_level",0.25,0.25,0.5,0.5,BTC/ETH,BTC/ETH because macro regime is neutral; 3/6 macro features were favourable
2023-06-09,neutral,3,"equity_momentum_21d, vix_change_5d, vix_change_21d","equity_realized_vol_21d, dow_vol_level, vix_level",0.25,0.25,0.5,0.5,BTC/ETH,BTC/ETH because macro regime is neutral; 3/6 macro features were favourable
2023-06-16,risk_off,2,"equity_momentum_21d, vix_change_21d","equity_realized_vol_21d, dow_vol_level, vix_level, vix_change_5d",0.0,0.0,1.0,0.0,cash,cash because macro regime is risk_off; only 2/6 macro features were favourable
2023-06-23,neutral,3,"equity_momentum_21d, vix_change_5d, vix_change_21d","equity_realized_vol_21d, dow_vol_level, vix_level",0.25,0.25,0.5,0.5,BTC/ETH,BTC/ETH because macro regime is neutral; 3/6 macro features were favourable
2023-06-30,risk_off,1,equity_momentum_21d,"equity_realized_vol_21d, dow_vol_level, vix_level, vix_change_5d, vix_change_21d",0.0,0.0,1.0,0.0,cash,cash because macro regime is risk_off; only 1/6 macro features were favourable
2023-07-07,risk_off,0,,"equity_realized_vol_21d, equity_momentum_21d, dow_vol_level, vix_level, vix_change_5d, vix_change_21d",0.0,0.0,1.0,0.0,cash,cash because macro regime is risk_off; only 0/6 macro features were favourable
2023-07-14,risk_off,2,"equity_momentum_21d, vix_change_5d","equity_realized_vol_21d, dow_vol_level, vix_level, vix_change_21d",0.0,0.0,1.0,0.0,cash,cash because macro regime is risk_off; only 2/6 macro features were favourable
2023-07-21,risk_off,1,equity_momentum_21d,"equity_realized_vol_21d, dow_vol_level, vix_level, vix_change_5d, vix_change_21d",0.0,0.0,1.0,0.0,cash,cash because macro regime is risk_off; only 1/6 macro features were favourable
2023-07-28,risk_off,2,"equity_momentum_21d, vix_change_21d","equity_realized_vol_21d, dow_vol_level, vix_level, vix_change_5d",0.0,0.0,1.0,0.0,cash,cash because macro regime is risk_off; only 2/6 macro features were favourable
2023-08-04,risk_off,0,,"equity_realized_vol_21d, equity_momentum_21d, dow_vol_level, vix_level, vix_change_5d, vix_change_21d",0.0,0.0,1.0,0.0,cash,cash because macro regime is risk_off; only 0/6 macro features were favourable
2023-08-11,risk_off,1,vix_change_5d,"equity_realized_vol_21d, equity_momentum_21d, dow_vol_level, vix_level, vix_change_21d",0.0,0.0,1.0,0.0,cash,cash because macro regime is risk_off; only 1/6 macro features were favourable
2023-08-18,risk_off,0,,"equity_realized_vol_21d, equity_momentum_21d, dow_vol_level, vix_level, vix_change_5d, vix_change_21d",0.0,0.0,1.0,0.0,cash,cash because macro regime is risk_off; only 0/6 macro features were favourable
2023-08-25,risk_off,0,,"equity_realized_vol_21d, equity_momentum_21d, dow_vol_level, vix_level, vix_change_5d, vix_change_21d",0.0,0.0,1.0,0.0,cash,cash because macro regime is risk_off; only 0/6 macro features were favourable
2023-09-01,risk_off,2,"vix_change_5d, vix_change_21d","equity_realized_vol_21d, equity_momentum_21d, dow_vol_level, vix_level",0.0,0.0,1.0,0.0,cash,cash because macro regime is risk_off; only 2/6 macro features were favourable
2023-09-08,risk_off,2,"equity_momentum_21d, vix_change_21d","equity_realized_vol_21d, dow_vol_level, vix_level, vix_change_5d",0.0,0.0,1.0,0.0,cash,cash because macro regime is risk_off; only 2/6 macro features were favourable
2023-09-15,neutral,3,"equity_momentum_21d, vix_change_5d, vix_change_21d","equity_realized_vol_21d, dow_vol_level, vix_level",0.25,0.25,0.5,0.5,BTC/ETH,BTC/ETH because macro regime is neutral; 3/6 macro features were favourable
2023-09-22,risk_off,0,,"equity_realized_vol_21d, equity_momentum_21d, dow_vol_level, vix_level, vix_change_5d, vix_change_21d",0.0,0.0,1.0,0.0,cash,cash because macro regime is risk_off; only 0/6 macro features were favourable
2023-09-29,risk_off,0,,"equity_realized_vol_21d, equity_momentum_21d, dow_vol_level, vix_level, vix_change_5d, vix_change_21d",0.0,0.0,1.0,0.0,cash,cash because macro regime is risk_off; only 0/6 macro features were favourable
2023-10-06,risk_off,0,,"equity_realized_vol_21d, equity_momentum_21d, dow_vol_level, vix_level, vix_change_5d, vix_change_21d",0.0,0.0,1.0,0.0,cash,cash because macro regime is risk_off; only 0/6 macro features were favourable
2023-10-13,risk_off,2,"vix_change_5d, vix_change_21d","equity_realized_vol_21d, equity_momentum_21d, dow_vol_level, vix_level",0.0,0.0,1.0,0.0,cash,cash because macro regime is risk_off; only 2/6 macro features were favourable
2023-10-20,risk_off,1,vix_level,"equity_realized_vol_21d, equity_momentum_21d, dow_vol_level, vix_change_5d, vix_change_21d",0.0,0.0,1.0,0.0,cash,cash because macro regime is risk_off; only 1/6 macro features were favourable
2023-10-27,neutral,3,"equity_realized_vol_21d, vix_level, vix_change_5d","equity_momentum_21d, dow_vol_level, vix_change_21d",0.25,0.25,0.5,0.5,BTC/ETH,BTC/ETH because macro regime is neutral; 3/6 macro features were favourable
2023-11-03,neutral,3,"equity_realized_vol_21d, vix_change_5d, vix_change_21d","equity_momentum_21d, dow_vol_level, vix_level",0.25,0.25,0.5,0.5,BTC/ETH,BTC/ETH because macro regime is neutral; 3/6 macro features were favourable
2023-11-10,neutral,3,"equity_realized_vol_21d, equity_momentum_21d, vix_change_21d","dow_vol_level, vix_level, vix_change_5d",0.25,0.25,0.5,0.5,BTC/ETH,BTC/ETH because macro regime is neutral; 3/6 macro features were favourable
2023-11-17,risk_off,2,"equity_momentum_21d, vix_change_21d","equity_realized_vol_21d, dow_vol_level, vix_level, vix_change_5d",0.0,0.0,1.0,0.0,cash,cash because macro regime is risk_off; only 2/6 macro features were favourable
2023-11-24,neutral,3,"equity_momentum_21d, vix_change_5d, vix_change_21d","equity_realized_vol_21d, dow_vol_level, vix_level",0.25,0.25,0.5,0.5,BTC/ETH,BTC/ETH because macro regime is neutral; 3/6 macro features were favourable
2023-12-01,risk_off,2,"equity_momentum_21d, vix_change_21d","equity_realized_vol_21d, dow_vol_level, vix_level, vix_change_5d",0.0,0.0,1.0,0.0,cash,cash because macro regime is risk_off; only 2/6 macro features were favourable
2023-12-08,risk_off,2,"equity_momentum_21d, vix_change_21d","equity_realized_vol_21d, dow_vol_level, vix_level, vix_change_5d",0.0,0.0,1.0,0.0,cash,cash because macro regime is risk_off; only 2/6 macro features were favourable
2023-12-15,risk_off,2,"equity_momentum_21d, vix_change_21d","equity_realized_vol_21d, dow_vol_level, vix_level, vix_change_5d",0.0,0.0,1.0,0.0,cash,cash because macro regime is risk_off; only 2/6 macro features were favourable
2023-12-22,risk_off,1,equity_momentum_21d,"equity_realized_vol_21d, dow_vol_level, vix_level, vix_change_5d, vix_change_21d",0.0,0.0,1.0,0.0,cash,cash because macro regime is risk_off; only 1/6 macro features were favourable
2023-12-29,risk_on,4,"equity_momentum_21d, dow_vol_level, vix_change_5d, vix_change_21d","equity_realized_vol_21d, vix_level",0.5,0.5,0.0,1.0,BTC/ETH,BTC/ETH because macro regime is risk_on; 4/6 macro features were favourable
2024-01-05,risk_off,0,,"equity_realized_vol_21d, equity_momentum_21d, dow_vol_level, vix_level, vix_change_5d, vix_change_21d",0.0,0.0,1.0,0.0,cash,cash because macro regime is risk_off; only 0/6 macro features were favourable
2024-01-12,risk_off,2,"vix_change_5d, vix_change_21d","equity_realized_vol_21d, equity_momentum_21d, dow_vol_level, vix_level",0.0,0.0,1.0,0.0,cash,cash because macro regime is risk_off; only 2/6 macro features were favourable
2024-01-19,risk_off,0,,"equity_realized_vol_21d, equity_momentum_21d, dow_vol_level, vix_level, vix_change_5d, vix_change_21d",0.0,0.0,1.0,0.0,cash,cash because macro regime is risk_off; only 0/6 macro features were favourable
2024-01-26,risk_off,2,"equity_momentum_21d, vix_change_21d","equity_realized_vol_21d, dow_vol_level, vix_level, vix_change_5d",0.0,0.0,1.0,0.0,cash,cash because macro regime is risk_off; only 2/6 macro features were favourable
2024-02-02,risk_off,1,equity_momentum_21d,"equity_realized_vol_21d, dow_vol_level, vix_level, vix_change_5d, vix_change_21d",0.0,0.0,1.0,0.0,cash,cash because macro regime is risk_off; only 1/6 macro features were favourable
2024-02-09,neutral,3,"equity_momentum_21d, vix_change_5d, vix_change_21d","equity_realized_vol_21d, dow_vol_level, vix_level",0.25,0.25,0.5,0.5,BTC/ETH,BTC/ETH because macro regime is neutral; 3/6 macro features were favourable
2024-02-16,risk_off,1,equity_momentum_21d,"equity_realized_vol_21d, dow_vol_level, vix_level, vix_change_5d, vix_change_21d",0.0,0.0,1.0,0.0,cash,cash because macro regime is risk_off; only 1/6 macro features were favourable
2024-02-23,risk_off,1,equity_momentum_21d,"equity_realized_vol_21d, dow_vol_level, vix_level, vix_change_5d, vix_change_21d",0.0,0.0,1.0,0.0,cash,cash because macro regime is risk_off; only 1/6 macro features were favourable
2024-03-01,risk_off,2,"equity_momentum_21d, vix_change_5d","equity_realized_vol_21d, dow_vol_level, vix_level, vix_change_21d",0.0,0.0,1.0,0.0,cash,cash because macro regime is risk_off; only 2/6 macro features were favourable
2024-03-08,risk_off,1,equity_momentum_21d,"equity_realized_vol_21d, dow_vol_level, vix_level, vix_change_5d, vix_change_21d",0.0,0.0,1.0,0.0,cash,cash because macro regime is risk_off; only 1/6 macro features were favourable
2024-03-15,risk_off,1,vix_change_5d,"equity_realized_vol_21d, equity_momentum_21d, dow_vol_level, vix_level, vix_change_21d",0.0,0.0,1.0,0.0,cash,cash because macro regime is risk_off; only 1/6 macro features were favourable
2024-03-22,risk_on,4,"equity_momentum_21d, dow_vol_level, vix_change_5d, vix_change_21d","equity_realized_vol_21d, vix_level",0.5,0.5,0.0,1.0,BTC/ETH,BTC/ETH because macro regime is risk_on; 4/6 macro features were favourable
2024-03-29,risk_off,2,"equity_momentum_21d, vix_change_21d","equity_realized_vol_21d, dow_vol_level, vix_level, vix_change_5d",0.0,0.0,1.0,0.0,cash,cash because macro regime is risk_off; only 2/6 macro features were favourable
2024-04-05,risk_off,0,,"equity_realized_vol_21d, equity_momentum_21d, dow_vol_level, vix_level, vix_change_5d, vix_change_21d",0.0,0.0,1.0,0.0,cash,cash because macro regime is risk_off; only 0/6 macro features were favourable
2024-04-12,risk_off,1,vix_change_5d,"equity_realized_vol_21d, equity_momentum_21d, dow_vol_level, vix_level, vix_change_21d",0.0,0.0,1.0,0.0,cash,cash because macro regime is risk_off; only 1/6 macro features were favourable
2024-04-19,risk_off,0,,"equity_realized_vol_21d, equity_momentum_21d, dow_vol_level, vix_level, vix_change_5d, vix_change_21d",0.0,0.0,1.0,0.0,cash,cash because macro regime is risk_off; only 0/6 macro features were favourable
2024-04-26,neutral,3,"equity_realized_vol_21d, vix_change_5d, vix_change_21d","equity_momentum_21d, dow_vol_level, vix_level",0.25,0.25,0.5,0.5,BTC/ETH,BTC/ETH because macro regime is neutral; 3/6 macro features were favourable
2024-05-03,neutral,3,"equity_realized_vol_21d, vix_change_5d, vix_change_21d","equity_momentum_21d, dow_vol_level, vix_level",0.25,0.25,0.5,0.5,BTC/ETH,BTC/ETH because macro regime is neutral; 3/6 macro features were favourable
2024-05-10,neutral,3,"equity_momentum_21d, vix_change_5d, vix_change_21d","equity_realized_vol_21d, dow_vol_level, vix_level",0.25,0.25,0.5,0.5,BTC/ETH,BTC/ETH because macro regime is neutral; 3/6 macro features were favourable
2024-05-17,risk_off,2,"equity_momentum_21d, vix_change_21d","equity_realized_vol_21d, dow_vol_level, vix_level, vix_change_5d",0.0,0.0,1.0,0.0,cash,cash because macro regime is risk_off; only 2/6 macro features were favourable
2024-05-24,risk_off,2,"equity_momentum_21d, vix_change_21d","equity_realized_vol_21d, dow_vol_level, vix_level, vix_change_5d",0.0,0.0,1.0,0.0,cash,cash because macro regime is risk_off; only 2/6 macro features were favourable
2024-05-31,risk_off,0,,"equity_realized_vol_21d, equity_momentum_21d, dow_vol_level, vix_level, vix_change_5d, vix_change_21d",0.0,0.0,1.0,0.0,cash,cash because macro regime is risk_off; only 0/6 macro features were favourable
2024-06-07,risk_off,1,vix_change_5d,"equity_realized_vol_21d, equity_momentum_21d, dow_vol_level, vix_level, vix_change_21d",0.0,0.0,1.0,0.0,cash,cash because macro regime is risk_off; only 1/6 macro features were favourable
2024-06-14,neutral,3,"equity_momentum_21d, vix_change_5d, vix_change_21d","equity_realized_vol_21d, dow_vol_level, vix_level",0.25,0.25,0.5,0.5,BTC/ETH,BTC/ETH because macro regime is neutral; 3/6 macro features were favourable
2024-06-21,risk_off,2,"equity_momentum_21d, vix_change_21d","equity_realized_vol_21d, dow_vol_level, vix_level, vix_change_5d",0.0,0.0,1.0,0.0,cash,cash because macro regime is risk_off; only 2/6 macro features were favourable
2024-06-28,neutral,3,"equity_momentum_21d, vix_change_5d, vix_change_21d","equity_realized_vol_21d, dow_vol_level, vix_level",0.25,0.25,0.5,0.5,BTC/ETH,BTC/ETH because macro regime is neutral; 3/6 macro features were favourable
2024-07-05,risk_off,2,"equity_momentum_21d, vix_change_5d","equity_realized_vol_21d, dow_vol_level, vix_level, vix_change_21d",0.0,0.0,1.0,0.0,cash,cash because macro regime is risk_off; only 2/6 macro features were favourable
2024-07-12,risk_off,2,"equity_momentum_21d, vix_change_21d","equity_realized_vol_21d, dow_vol_level, vix_level, vix_change_5d",0.0,0.0,1.0,0.0,cash,cash because macro regime is risk_off; only 2/6 macro features were favourable
