date,macro_regime,favourable_feature_count,favourable_features,blocking_features,target_btc_weight,target_eth_weight,target_cash_weight,target_exposure,allocation,reason
2024-07-19,risk_off,0,,"equity_realized_vol_21d, equity_momentum_21d, dow_vol_level, vix_level, vix_change_5d, vix_change_21d",0.0,0.0,1.0,0.0,cash,cash because macro regime is risk_off; only 0/6 macro features were favourable
2024-07-26,risk_off,0,,"equity_realized_vol_21d, equity_momentum_21d, dow_vol_level, vix_level, vix_change_5d, vix_change_21d",0.0,0.0,1.0,0.0,cash,cash because macro regime is risk_off; only 0/6 macro features were favourable
2024-08-02,risk_off,1,equity_realized_vol_21d,"equity_momentum_21d, dow_vol_level, vix_level, vix_change_5d, vix_change_21d",0.0,0.0,1.0,0.0,cash,cash because macro regime is risk_off; only 1/6 macro features were favourable
2024-08-09,neutral,3,"equity_realized_vol_21d, dow_vol_level, vix_level","equity_momentum_21d, vix_change_5d, vix_change_21d",0.25,0.25,0.5,0.5,BTC/ETH,BTC/ETH because macro regime is neutral; 3/6 macro features were favourable
2024-08-16,risk_on,4,"equity_realized_vol_21d, equity_momentum_21d, vix_change_5d, vix_change_21d","dow_vol_level, vix_level",0.5,0.5,0.0,1.0,BTC/ETH,BTC/ETH because macro regime is risk_on; 4/6 macro features were favourable
2024-08-23,neutral,3,"equity_realized_vol_21d, equity_momentum_21d, vix_change_21d","dow_vol_level, vix_level, vix_change_5d",0.25,0.25,0.5,0.5,BTC/ETH,BTC/ETH because macro regime is neutral; 3/6 macro features were favourable
2024-08-30,neutral,3,"equity_momentum_21d, vix_change_5d, vix_change_21d","equity_realized_vol_21d, dow_vol_level, vix_level",0.25,0.25,0.5,0.5,BTC/ETH,BTC/ETH because macro regime is neutral; 3/6 macro features were favourable
2024-09-06,risk_off,1,vix_level,"equity_realized_vol_21d, equity_momentum_21d, dow_vol_level, vix_change_5d, vix_change_21d",0.0,0.0,1.0,0.0,cash,cash because macro regime is risk_off; only 1/6 macro features were favourable
2024-09-13,neutral,3,"equity_realized_vol_21d, vix_change_5d, vix_change_21d","equity_momentum_21d, dow_vol_level, vix_level",0.25,0.25,0.5,0.5,BTC/ETH,BTC/ETH because macro regime is neutral; 3/6 macro features were favourable
2024-09-20,neutral,3,"equity_realized_vol_21d, equity_momentum_21d, vix_change_5d","dow_vol_level, vix_level, vix_change_21d",0.25,0.25,0.5,0.5,BTC/ETH,BTC/ETH because macro regime is neutral; 3/6 macro features were favourable
