macro_regime,weeks,frequency,average_forward_btc_eth_50_50_7d,hit_rate_btc_eth_50_50_7d,average_target_btc_weight,average_target_eth_weight,average_target_cash_weight,average_target_exposure
neutral,92,0.2358974358974359,0.014867625580444825,0.5760869565217391,0.2418478260869565,0.2418478260869565,0.5163043478260869,0.483695652173913
risk_off,183,0.46923076923076923,0.007055537998683217,0.5027322404371585,0.0,0.0,1.0,0.0
risk_on,115,0.2948717948717949,0.016073183236161217,0.5478260869565217,0.48695652173913045,0.48695652173913045,0.02608695652173913,0.9739130434782609
