date,pure_momentum,elastic_net__forward_rank,random_forest__forward_rank,gradient_boosting__forward_rank,boosted_tree__forward_rank,ensemble__forward_rank,elastic_net__residual_rank,random_forest__residual_rank,gradient_boosting__residual_rank,boosted_tree__residual_rank,ensemble__residual_rank,elastic_net__risk_adjusted_rank,random_forest__risk_adjusted_rank,gradient_boosting__risk_adjusted_rank,boosted_tree__risk_adjusted_rank,ensemble__risk_adjusted_rank,logistic__top_quintile,random_forest__top_quintile,gradient_boosting__top_quintile,boosted_tree__top_quintile
2020-04-03,-0.003912382310540362,-0.0018750000000000004,-0.0018750000000000004,-0.0018750000000000004,-0.0018750000000000004,-0.0018750000000000004,-0.0018750000000000004,-0.0018750000000000004,-0.0018750000000000004,-0.0018750000000000004,-0.0018750000000000004,-0.0018750000000000004,-0.0018750000000000004,-0.0018750000000000004,-0.0018750000000000004,-0.0018750000000000004,-0.0018750000000000004,-0.0018750000000000004,-0.0018750000000000004,-0.0018750000000000004
2020-04-04,0.002694080301658342,0.01299634179401956,0.011406725952739871,0.014362068980834575,0.009492992610576116,0.010307075999879699,0.01299634179401956,0.011406725952739871,0.014362068980834575,0.009492992610576116,0.010307075999879699,0.0032666032934861294,0.006874005660197062,0.006118731833445405,0.004882698905181054,0.009167966327628983,0.00310523820345102,0.015989179371525247,0.006488753971647803,0.019325883112677907
2020-04-05,-0.023487283468416064,-0.017941720484670822,-0.011927182133449787,-0.003083639922646219,5.2786638547842185e-05,-0.004454004624625197,-0.017941720484670822,-0.011927182133449787,-0.003083639922646219,5.2786638547842185e-05,-0.004454004624625197,-0.009819374469363186,-0.01298061970952411,-0.0035907675399041716,-0.005945271286157806,-0.007252888234363387,-0.0006408051776255258,-0.016423058482064,-0.010484328546391185,-0.012511474258042752
2020-04-06,0.10540416210527837,0.11930249484478424,0.1279296841814462,0.12678453627187594,0.10179096940246354,0.12057020523899764,0.11930249484478424,0.1279296841814462,0.12678453627187594,0.10179096940246354,0.12057020523899764,0.11314578633126994,0.10537491295352465,0.12816091262890766,0.1419008531794216,0.1214250536080208,0.1033119980186751,0.08702503872920864,0.09137179516703067,0.11032207889834181
2020-04-07,0.004415302936420763,-0.023390269305573128,-0.005161018465686685,-0.02440354236969107,-0.00495014406636376,-0.022984131351480967,-0.023390269305573128,-0.005161018465686685,-0.02440354236969107,-0.00495014406636376,-0.022984131351480967,-0.019125246551027365,0.0013797690706835123,-0.0012985822007000936,-0.023712137700479863,-0.01652127353119983,-0.02857252540111559,-0.005210459548959134,-0.000949183505257677,-0.007045753260238086
2020-04-08,0.06538414984806296,0.042828327469983524,0.05988641131350888,0.03708980278931504,0.02767375890837629,0.04035487392269838,0.042828327469983524,0.05988641131350888,0.03708980278931504,0.02767375890837629,0.04035487392269838,0.04737890304707877,0.033195503261338646,0.038528021661698816,0.0416631378623733,0.042139904888112145,0.03436137782802389,0.029922337163998235,0.02947321988157108,0.03752472900867243
2020-04-09,0.04271222328922542,0.008619323059597318,0.00010225714444365205,0.003121560047198124,-0.005765201662003806,0.012797007201887256,0.008619323059597318,0.00010225714444365205,0.003121560047198124,-0.005765201662003806,0.012797007201887256,0.025608596276842824,-0.0052658806413208095,0.018345983390695087,0.01292821244052711,0.04338491261019917,0.046247106873936614,0.013037151403903737,0.011027603876995952,0.01922602664633515
2020-04-10,-0.08794491673247701,-0.08264989329381248,-0.06710519869113629,-0.08291790296003503,-0.0804054723388203,-0.07885564180655406,-0.08264989329381248,-0.06710519869113629,-0.08291790296003503,-0.0804054723388203,-0.07885564180655406,-0.09325040585988849,-0.07673951894906207,-0.09083865926817268,-0.08909139340316234,-0.0985708495401469,-0.09398407081566172,-0.09076004795386598,-0.08259014160616006,-0.09774665604564109
2020-04-11,0.009730878234617425,0.004663354691338739,0.005563783533143107,0.005487309408644491,0.003523837288964677,0.005401255588974292,0.004663354691338739,0.005563783533143107,0.005487309408644491,0.003523837288964677,0.005401255588974292,0.00241962859297129,0.004710942645762367,0.009016352961051322,0.0038420464323667873,0.0061305123719739025,0.011722007369604846,0.011627992678880709,0.005804055447524058,0.00961761587428216
2020-04-12,0.0065101246295758974,-0.0007278433509823935,0.006888692186468282,0.007566353931439142,0.005180487015385279,0.004749179427149712,-0.0007278433509823935,0.006888692186468282,0.007566353931439142,0.005180487015385279,0.004749179427149712,0.004422184660666439,0.0027944848849100782,0.001521812078276482,0.0006911794101372343,0.007649071202357723,-0.002357255023985761,0.0013645262514324625,0.005765606419588254,0.00071086071178128
