period,strategy,CAGR,Sharpe,Sortino,Calmar,Annualized Volatility,Maximum Drawdown,Hit Rate,Turnover,Exposure,Transaction Costs,Average Holdings,Best Month,Worst Month
2020-2021,pure_momentum,3.215083252779181,1.841748076713987,2.374269780601296,4.871627445033715,1.1664438900493033,-0.6599608219336918,0.5718194254445964,0.0667578659370725,1.0,0.122,5.090287277701778,0.9626533713463976,-0.416552902919558
2020-2021,random_forest__forward_rank,4.617404242173208,2.3217818082520814,3.162912242948808,8.367440416005934,0.9357113656945276,-0.551829951885962,0.5877742946708464,0.157680250783699,1.0,0.2515,5.493730407523511,0.9392628232747168,-0.2130034679818464
2022,pure_momentum,-0.9428616804828664,-2.083991855043613,-2.3758712803235267,-0.9934704568389826,1.069655195827106,-0.9490585995711008,0.4712328767123288,0.0723287671232876,1.0,0.066,5.131506849315069,0.1715512802430736,-0.7179951076438669
2022,random_forest__forward_rank,-0.6915086439356286,-1.068090443063024,-1.3960657172981024,-0.9527848167674112,0.7974822531284178,-0.7257763051701065,0.4931506849315068,0.1084931506849315,1.0,0.099,5.2465753424657535,0.2799454129121734,-0.3404125317361511
2023-2024,pure_momentum,0.5627339257882358,0.9521693959514328,1.5988701396688425,1.065000664610531,0.8099824675255108,-0.5283883329725683,0.5143638850889193,0.0749658002735978,1.0,0.137,5.123119015047879,0.6417349576991007,-0.2855640478967896
2023-2024,random_forest__forward_rank,1.3869896708348723,1.8949112808870097,3.035017509737585,4.792389364664902,0.5329411896304564,-0.289415063196113,0.5362517099863201,0.0465116279069767,1.0,0.0849999999999999,5.043775649794802,0.5944910408495567,-0.1975179543155556
2025-2026_holdout,pure_momentum,-0.5747825366484802,-0.6615609601538057,-0.9472543916369454,-0.698706057406162,0.8014336696936143,-0.8226385481503786,0.4579439252336448,0.0717757009345794,1.0,0.096,5.114018691588785,0.2197749032299079,-0.3217487396289409
2025-2026_holdout,random_forest__forward_rank,-0.2112588101039417,-0.1681796366703968,-0.2320262329367238,-0.3879137187077489,0.5407655200139801,-0.5446025750460826,0.5009345794392523,0.0299065420560747,1.0,0.04,5.007476635514019,0.2748536761831146,-0.2639006149524843
