feature_set,development_sharpe,holdout_sharpe,holdout_cagr,holdout_max_drawdown
price_only,1.136281857168226,-0.3698491484586009,-0.2589498380864294,-0.4797176845074271
price_liquidity,1.189606216509097,-0.1359801201230605,-0.1875914499668994,-0.5408934464779396
price_market,1.0499881381560356,0.1587952115872974,-0.0455454153436332,-0.4316304289875616
price_derivatives,1.2827101013605389,-0.1113704021664357,-0.1743348845368366,-0.4734852313875576
all_features,1.3750629026762389,-0.1681796366703968,-0.2112588101039417,-0.5446025750460826
volatility_scaled_weights,1.3750629026762389,-0.1681796366703969,-0.2112588101039418,-0.5446025750460826
volatility_targeting,1.556661885874886,-0.412723475328746,-0.2114728694601307,-0.5010141036574913
drawdown_brake,1.3131240827605042,-0.3390038321257286,-0.1293702920111404,-0.2971771793309963
vol_target_and_brake,1.7588689768626669,-0.044110791128066,-0.0388757988031638,-0.2839446369409067
