candidate,period,CAGR,Sharpe,Maximum Drawdown,Calmar,Annual Turnover,Exposure,positive_cagr,positive_regime_count
simple_vix_level_equity_momentum,2020_2021_bull,1.2118550865981264,1.9374671010526376,-0.2345927047768298,5.165783342457197,10.235978112175102,0.509233926128591,True,2
simple_vix_level_equity_momentum,2022_bear,-0.29102117074840816,-1.4845820352979178,-0.3489809823817661,-0.8339169910125559,7.0,0.18424657534246575,False,2
simple_vix_level_equity_momentum,2023_2024_recovery,0.528098575463309,1.3193658856093171,-0.270235205667242,1.9542182675990436,11.733926128590971,0.6785225718194254,True,2
simple_vix_level_equity_momentum,2025_2026_holdout,-0.13453364761576503,-0.30467803151780737,-0.3992215076074862,-0.3369899793776598,11.533457249070633,0.5065055762081785,False,2
simple_vix_change_equity_momentum,2020_2021_bull,1.8236208527096593,2.0589315044488896,-0.34648614915650966,5.263185432228981,14.230506155950751,0.6792065663474692,True,3
simple_vix_change_equity_momentum,2022_bear,-0.5946884771627257,-1.479329062346447,-0.6425563718586679,-0.9255039763165388,14.5,0.5321917808219178,False,3
simple_vix_change_equity_momentum,2023_2024_recovery,0.6509345482920648,1.5382809946701201,-0.20466324117747792,3.1805151943606402,17.22640218878249,0.667578659370725,True,3
simple_vix_change_equity_momentum,2025_2026_holdout,0.043411631423245334,0.29313765436822725,-0.26326682389547007,0.1648959438978984,18.657063197026023,0.5780669144981413,True,3
simple_equity_vol_equity_momentum,2020_2021_bull,1.9846967713531654,2.2964531848982697,-0.22054108784042037,8.999215478565413,10.235978112175102,0.5588235294117647,True,2
simple_equity_vol_equity_momentum,2022_bear,-0.28219810723410155,-1.3565234470003995,-0.33038600432647924,-0.854146675520917,7.5,0.2095890410958904,False,2
simple_equity_vol_equity_momentum,2023_2024_recovery,0.5361484703885835,1.3916618813405655,-0.20320381214916827,2.638476437612334,11.484268125854992,0.6367989056087552,True,2
simple_equity_vol_equity_momentum,2025_2026_holdout,-0.0892975029496349,-0.1573038951084163,-0.4008182212830299,-0.22278803259939428,9.158921933085502,0.47862453531598514,False,2
simple_vix_level_change_equity_momentum,2020_2021_bull,1.294865982506412,2.052617420375091,-0.17716920531699676,7.308640235697827,14.729822161422709,0.4852941176470588,True,2
simple_vix_level_change_equity_momentum,2022_bear,-0.3731063476299499,-1.2027937561675763,-0.427668668925993,-0.8724191757299739,13.5,0.3184931506849315,False,2
simple_vix_level_change_equity_momentum,2023_2024_recovery,0.4979576959517027,1.3071398197157134,-0.20466324117747703,2.4330587803009074,17.22640218878249,0.6162790697674418,True,2
simple_vix_level_change_equity_momentum,2025_2026_holdout,-0.001165379914021214,0.1576224860733206,-0.2603147468417316,-0.004476810968875888,18.996282527881043,0.5227695167286245,False,2
btc_eth_macro_gate_balanced,2020_2021_bull,0.9966461458690121,1.4421269128059007,-0.5188084556271118,1.9210291101834727,10.485636114911081,0.5878932968536251,True,3
btc_eth_macro_gate_balanced,2022_bear,-0.6761472011651272,-1.4887674959750998,-0.7007270612000187,-0.9649223479498598,12.0,0.7890410958904109,False,3
btc_eth_macro_gate_balanced,2023_2024_recovery,0.38711563994374165,1.6339374216187383,-0.15223717634526512,2.542845638871978,11.234610123119014,0.26299589603283174,True,3
btc_eth_macro_gate_balanced,2025_2026_holdout,0.2506806098543801,0.9700672636549106,-0.1841866027754544,1.3610143521675673,10.176579925650557,0.2894981412639405,True,3
