name,family,benchmark_group,split,cost_bps,selected_development_candidate,CAGR,Sharpe,Sortino,Calmar,Annualized Volatility,Maximum Drawdown,Hit Rate,Turnover,Exposure,Transaction Costs,Cash Allocation,Annual Turnover,Worst Month,Best Month,Average Holdings
pure_trend_scanning_weekly,Long BTC/ETH when the trend-scanning model predicts an upward BTC/ETH trend; cash otherwise.,pure_trend_scanning,development,10,False,0.38668865935507535,0.8696837041932078,1.1123000140333068,0.5639576713706742,0.5498707357182047,-0.6856696503750817,0.4225211758844046,0.018933731938216243,0.752366716492277,0.038,0.24763328350772296,6.9108121574489285,-0.4105176007687238,0.5171626168136121,1.630293971101146
pure_trend_scanning_weekly,Long BTC/ETH when the trend-scanning model predicts an upward BTC/ETH trend; cash otherwise.,pure_trend_scanning,holdout,10,False,-0.1823464923471836,-0.2555530284029901,-0.3248183912696685,-0.37244735403761114,0.42935281008745885,-0.4895899792827352,0.37174721189591076,0.02695167286245353,0.654275092936803,0.014499999999999999,0.34572490706319703,9.83736059479554,-0.19839173388641196,0.2811017817731227,1.4907063197026023
pure_trend_scanning_weekly,Long BTC/ETH when the trend-scanning model predicts an upward BTC/ETH trend; cash otherwise.,pure_trend_scanning,development,25,False,0.37239537237791365,0.8508263328377386,1.0892096083624685,0.5415334006427062,0.5498741423179513,-0.6876683357590593,0.42152466367713004,0.018933731938216243,0.752366716492277,0.09500000000000001,0.24763328350772296,6.9108121574489285,-0.4105176007687238,0.5171626168136121,1.630293971101146
pure_trend_scanning_weekly,Long BTC/ETH when the trend-scanning model predicts an upward BTC/ETH trend; cash otherwise.,pure_trend_scanning,holdout,25,False,-0.1944060058552467,-0.2897789462494515,-0.36911940247130665,-0.3929109716673348,0.4295634771762266,-0.49478385658276824,0.36988847583643125,0.02695167286245353,0.654275092936803,0.036250000000000004,0.34572490706319703,9.83736059479554,-0.19839173388641196,0.279658536584944,1.4907063197026023
pure_trend_scanning_weekly,Long BTC/ETH when the trend-scanning model predicts an upward BTC/ETH trend; cash otherwise.,pure_trend_scanning,development,50,False,0.3488689261854334,0.819337428490906,1.0506481447180438,0.504893099022286,0.5499204039377751,-0.6909758260927119,0.4200298953662182,0.018933731938216243,0.752366716492277,0.19000000000000003,0.24763328350772296,6.9108121574489285,-0.4105176007687238,0.5171626168136121,1.630293971101146
pure_trend_scanning_weekly,Long BTC/ETH when the trend-scanning model predicts an upward BTC/ETH trend; cash otherwise.,pure_trend_scanning,holdout,50,False,-0.21413632616014378,-0.3466913169042829,-0.4430397624050923,-0.425435718262492,0.42998438663383953,-0.5033341512430853,0.36988847583643125,0.02695167286245353,0.654275092936803,0.07250000000000001,0.34572490706319703,9.83736059479554,-0.19839173388641196,0.2772531279379795,1.4907063197026023
pure_trend_scanning_weekly,Long BTC/ETH when the trend-scanning model predicts an upward BTC/ETH trend; cash otherwise.,pure_trend_scanning,development,100,False,0.302906452605781,0.7561663656950799,0.9721492539698097,0.4342726928344272,0.5501650532517453,-0.697502876887699,0.4200298953662182,0.018933731938216243,0.752366716492277,0.38000000000000006,0.24763328350772296,6.9108121574489285,-0.4105176007687238,0.5171626168136121,1.630293971101146
pure_trend_scanning_weekly,Long BTC/ETH when the trend-scanning model predicts an upward BTC/ETH trend; cash otherwise.,pure_trend_scanning,holdout,100,False,-0.2522490290672318,-0.45990409046631625,-0.5907472328661698,-0.48307113519305844,0.43108695994271556,-0.5221778133492099,0.3680297397769517,0.02695167286245353,0.654275092936803,0.14500000000000002,0.34572490706319703,9.83736059479554,-0.19839173388641196,0.2724423106440501,1.4907063197026023
pure_trend_scanning_biweekly,Long BTC/ETH when the trend-scanning model predicts an upward BTC/ETH trend; cash otherwise.,pure_trend_scanning,development,10,False,0.47928636417378234,0.9883617908575983,1.245239932637048,0.6733619904916021,0.5499292310772605,-0.7117811384391763,0.43946188340807174,0.013452914798206279,0.7488789237668162,0.027000000000000003,0.2511210762331838,4.910313901345291,-0.4105176007687238,0.5171626168136121,1.6791230692575985
pure_trend_scanning_biweekly,Long BTC/ETH when the trend-scanning model predicts an upward BTC/ETH trend; cash otherwise.,pure_trend_scanning,holdout,10,False,-0.11887471331504507,-0.0687431405984201,-0.09006714047868052,-0.26876160249278486,0.44034201901288883,-0.44230541942179546,0.4144981412639405,0.020910780669144983,0.6789033457249071,0.01125,0.32109665427509293,7.632434944237919,-0.19839173388641196,0.25202515120949,1.6356877323420074
